Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"1971","","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Uncirculated","$19.95","$3 – $8","","",""
"2006","S","Quarter","50 State Quarters","South Dakota","Choice Proof 63","3.6","$4 – $12","","",""
"1959","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","21.95","$8 – $15","","",""
"2003","P","Dime","USA Invoice Import","Unmapped","Uncirculated","$2.75","","","",""
"1946","","","America Revisited Selection","1946 5-Coin Time Capsule Year Set","Circulated","$99.00","","","",""
"2000","S","Quarter","State and Territory Quarters","New Hampshire","Choice Proof 63","2.6","$4 – $10","","",""
"2015","P","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","2.00","$1.00 – $3.00","","",""
"1819","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Extremely Fine","$695.00","$450 – $650","","",""
"1838","","Penny","Coronet Head Large Cent","Liberty Head","Fine","$105.00","$35 – $55","","",""
"1936","","Cent","Lincoln Wheat Cent","America Revisited Selection","Circulated","$20.20","$0.15 – $0.50","","",""
"1849","","Dime","U.S. Dime Collection Selection","Stars","Good","$93.95","$15 – $25","","",""
"2023","S","Washington Quarter","American Women Quarters Program","Jovita Idar","Proof-63","$29.95","Pending","","",""
"2020D","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","$1.00 – $3.00","","",""
"2016","P","$1","Presidential $1 Coin Program","Gerald Ford","Uncirculated","2.95","$2 – $4","","",""
"1912","D","Barber Silver Dimes","Barber Dimes","Liberty Head","Good","$16.00","$3.50 – $6.00","","",""
"2007","D","Quarter","State and Territory Quarters","Idaho","Uncirculated","2.5","$0.50 – $1.50","","",""
"1924","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"2015","D","Quarter","America the Beautiful Quarters","Homestead National Monument of America","Uncirculated","","$0.25 – $1.50","","",""
"2021","P","Native American Dollar","Native American Dollar Series","Military Service","Uncirculated","$0.00","$1.50 – $3.00","","",""
"2004","S","1 Dollar","Sacagawea Dollar","Unmapped","Proof-63","$15.50","$10 – $18","","",""
"2023","S","Cent","USA Invoice Import","Unmapped","Choice Proof-63","$0.00","$3 – $7","","",""
"1974","S","Dollar","USA Invoice Import","Unmapped","Choice Proof-63","$0.00","$10 – $18","","",""
"","","Five Cents","The U.S. Nickel Collection","SHIPMENT 6","","$31.80","$1 – $5","","",""
"1864","O","Half Dollar","Liberty Seated","No Motto","Very Good","$148.50","$1,250 – $1,750","","",""
"1957","","Penny","Lincoln Head Cent","Unmapped","Proof-63","$6.75","$3 – $7","","",""
"1961","","Cent","Lincoln Memorial Cent","America Revisited Selection","Circulated","$18.30","$0.03 – $0.15","","",""
"2018","D","Quarter","National Park Quarters","Wisconsin Apostle Islands National Lakeshore","Uncirculated","$1.00","$0.50 – $1.50","","",""
"","","Five Cents","The U.S. Nickel Collection","Shipment 5","","$31.80","$1 – $5","","",""
"1976","S","Dime","Roosevelt Dimes","Unmapped","Choice Proof 63","3.25","$2 – $5","","",""
"1958","","Dime","USA Invoice Import","Unmapped","Choice Proof-63","$25.50","$4 – $8","","",""
"2022","P","1 Dollar","Native American Dollar","Ely Samuel Parker","Uncirculated","$3.50","$1.50 – $3.00","","",""
"","","","103-76BC Alexander Jannaeus Bronze Widow's Mite H469-70,72","Unmapped","fair good","$15.00","$15 – $30","","",""
"1954","","Five Cents","USA Invoice Import","Unmapped","Average Circulated","$1.80","","","",""
"1972","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$5.75","$1.00 – $3.00","","",""
"1972","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Proof-63","$31.35","$10 – $15","","",""
"2014","P","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","2.00","$1 – $3","","",""
"2013","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.25","$0.10 – $1.00","","",""
"2002","W","Dollar","Modern Commemorative","West Point Bicentennial","Choice Uncirculated-63","$105.00","","","",""
"1982","P","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$25.75","$1.50 – $4.00","","",""
"1942","P","Five Cents","USA Invoice Import","Wartime Nickel","Average Circulated","$10.55","","","",""
"2001","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.50","$1 – $3","","",""
"2000","S","Quarter","State and Territory Quarters","South Carolina","Choice Proof 63","2.5","$4 – $12","","",""
"1953","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"1992","","Dollar","American Eagle","Unmapped","Uncirculated","$72.95","$40 – $50","","",""
"2017","","Dollar","America the Beautiful Quarters","Unmapped","Ungraded","$71.00","$32 – $42","","",""
"2003","P","Quarter","State and Territory Quarters","Illinois","Uncirculated","4.95","$0.50 – $1.50","","",""
"1925","","Nickel","Buffalo Nickel","Native American & Buffalo","Fine","$6.75","Pending","","",""
"1936","","Nickel","Buffalo Nickel","America Revisited Selection","Circulated","$20.20","Pending","","",""
"1963","D","Dime","","Unmapped","Uncirculated","$17.10","$3 – $6","","",""
"1863-1867","","10 Cent Fractional Currency","Fractional Currency","Unmapped","Very Fine","$1,290.00","","","",""
"1974","S","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","2.95","$5 – $10","","",""
"2014","W","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$97.95","$45 – $65","","",""
"1849","O","Half Dollar","Liberty Seated","No Motto","Average Circulated","$148.00","Pending","","",""
"2025","S","Quarter Dollar","American Women Quarters","Juliette Gordon Low","Choice Proof-63","$34.95","","","",""
"1997","S","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","14.75","$5 – $10","","",""
"1900","","Penny","Indian Head Cent","Unmapped","Good","Points","$1.50 – $3.00","","",""
"1979","","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$4.75","$1.00 – $3.00","","",""
"2012","","Dollar","The Complete Original-Design Proof Silver Eagle Dollar Collection","American Eagle","Proof","$187.00","","","",""
"1976","D","Dollar","USA Invoice Import","Type 1 & Type 2 Set","Uncirculated","$27.00","","","",""
"1951","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $5.00","","",""
"2020P","","quarter","National Park Quarters","Unmapped","uncirculated","points","$0.25 – $1.50","","",""
"1938","D","Half Dollar","Liberty Walking Half Dollar","Unmapped","Fine","$235.00","Pending","","",""
"1930","","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Good","$32.95","Pending","","",""
"1900","O/CC","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","Very Choice Uncirculated","$1395.00","$1,100 – $1,600","","",""
"1980","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$6.95","$3 – $6","","",""
"1941","","Half Dollar","USA Invoice Import","Liberty Walking","Very Good","$0.00","","","",""
"1914","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"2022","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$1.95","$1.50 – $3.00","","",""
"1957","D","Penny","Lincoln Cent","Lincoln Head","Uncirculated (UNC)","$1.40","$1.00 – $3.00","","",""
"1829","","Capped Bust Half Dime","","Capped Bust Liberty","Very Fine","$250.00","$90 – $150","","",""
"2024","","Lincoln Cent","","Unmapped","Uncirculated","$0.00","$0.01 – $0.25","","",""
"2001","S","Quarter","State and Territory Quarters","Vermont silver","Choice Proof 63","47.0","$4 – $12","","",""
"2024","W","Dollar","American Eagle Silver Dollar","Unmapped","Proof-63","$120.00","$70 – $90","","",""
"2018","D","Quarter","America the Beautiful Quarters","Minnesota Voyageurs National Park","Uncirculated","$1.00","$0.25 – $1.50","","",""
"1962","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","points","$3 – $6","","",""
"1949","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1878","","1 Dollar","Morgan Silver Dollars","Unmapped","Very Choice Uncirculated","$850.00","$150 – $250","","",""
"1949","D","Penny","Lincoln Cent","Lincoln Memorial Reverse","Average Circulated","$1.75","$0.15 - $0.50","","",""
"1897","O","1 Dollar","Morgan Silver Dollars","Unmapped","Extremely Fine","$135.00","$350 – $450","","",""
"2024","P","Quarter Dollar","American Women Quarters","Pauli Murray","Uncirculated","$1.00","","","",""
"1998","P","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$0.00","$1.00 – $3.00","","",""
"1892","S","$1","Morgan Silver Dollar","Unmapped","About Uncirculated","3995","$12,000 – $25,000","","",""
"1948","","Cent","Lincoln Wheat Cent","America Revisited Selection","Circulated","$34.00","Pending","","",""
"2014","D","Kennedy Half Dollar","Kennedy Half Dollars","John F. Kennedy","Uncirculated","$1.95","$1.50 – $3.00","","",""
"1949","","Dime","USA Invoice Import","Unmapped","Uncirculated","$86.95","$8 – $15","","",""
"1979","S","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","5.95","$3 – $7","","",""
"2019","W","$1","America the Beautiful Quarters","Unmapped","PR70DCAM PCGS","647.0","$175 – $250","","",""
"1920","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"1948","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"2012","S","Quarter","National Park Quarters","Maine Acadia National Park","Uncirculated","$3.50","$3.00 – $6.00","","",""
"2023","P","Dollar","U.S. Innovation Dollar","Ohio Underground Railroad","Uncirculated","$0.00","$1.50 – $3.00","","",""
"1958","","Quarter","Washington Silver Quarter","Unmapped","Proof-63","32.50","$8 – $15","","",""
"1840","O","Seated Liberty Silver Half Dollar","Seated Liberty Half Dollar","Seated Liberty","Very Good","$238.00","Pending","","",""
"1827","","Capped Bust Silver Dime","Capped Bust Dime","Liberty Seated (Capped Bust)","Fine","$195.00","Pending","","",""
"2024","D","Washington Quarter","American Women Quarters","Celia Cruz","Uncirculated","$0.00","Pending","","",""
"1881","CC","1 Dollar","Morgan Dollar","Unmapped","Very Good","$518.00","Pending","","",""
"1872","S","Nickel","","Mintmark above Bow","Extremely Fine","$129.00","$1,100 – $1,500","","",""
"1907","O","Half Dollar","Barber","Liberty Head","Ungraded","$42.50","$25 – $450","","",""
"2004","D","Quarter","State and Territory Quarters","Michigan","Uncirculated","1.95","$0.50 – $1.50","","",""
"1830","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Very Good","$148.50","$75 – $110","","",""
"1824","","Half Dollar","Washington Quarter Club","Capped Bust","Extra Fine 40","$558.00","","","",""
"2013","S","Quarter","America the Beautiful Quarters","White Mountain National Forest","Proof-63 Cameo","$8.95","$3 – $7","","",""
"2016","D","Penny","America the Beautiful Quarters","Unmapped","Uncirculated","$0.25","$0.10 – $1.00","","",""
"1921","S","Penny","Lincoln Cent","Lincoln Head","Very Fine (VF)","$24.50","$1.50 – $3.50","","",""
"2017","D","Quarter","National Park Quarters","Iowa Effigy Mounds National Monument","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1973","D","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Uncirculated","$27.50","$1.50 – $4.00","","",""
"1936","","Five Cents","USA Invoice Import","Unmapped","Very Fine","$0.00","","","",""
"2004","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$6.75","Pending","","",""
"1935","","Quarter","Washington Silver Quarter","Unmapped","Extremely Fine","26.95","$10 – $15","","",""
"2009","","Penny","Lincoln Cent Series","Abraham Lincoln, Formative Years Reverse","Uncirculated","$0.30","Pending","","",""
"2009","P","Penny","Lincoln Cent","Lincoln Bicentennial, Professional Life Reverse","Uncirculated","$2.00","$0.50 - $2.00","","",""
"2023","P","U.S. Innovation Dollar","U.S. Innovation Dollar Program","Indiana / Automobile Industry","Uncirculated","$0.00","$1.50 – $3.00","","",""
"1973","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","Pending","","",""
"2015","S","Quarter","National Park Quarters","Louisiana Kisatchie National Forest","Uncirculated","$2.65","$2.00 – $4.00","","",""
"2019","P, D, S","Quarter Dollar","National Park Quarters","America the Beautiful","Uncirculated","$14.95","$0.50 – $3.00","","",""
"1949","","Nickel","Jefferson Nickel","Unmapped","Circulated","$22.40","$0.10 – $0.50","","",""
"2022","D","Dollar","Native American $1 Coin","Ely Samuel Parker","Uncirculated","$0.00","$1.50 – $3.00","","",""
"1846","O","Half Dollar","Liberty Seated","Medium Date","Very Good","$130.50","$75 – $110","","",""
"2024","D","Quarter Dollar","American Women Quarters","Patsy Takemoto Mink","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1883","CC","Morgan Silver Dollar","Morgan Silver Dollar","Unmapped","Ungraded","$795.00","$250 – $450","","",""
"1989S","","","Clad  Proof Set 5 coins","Unmapped","ch proog 63","$23.95","$4 – $8","","",""
"","","$1 Indian Territory Note","USA Invoice Import","Haileyville, Oklahoma","Crisp Unused","$65.50","$150 – $350","","",""
"2012","S","$1","Presidential $1 Coin Program","Benjamin Harrison","Choice Proof 63","45.00","$4 – $8","","",""
"1877","S","1 Dollar","Trade Dollar","Unmapped","Extra Fine 40","$495.00","$250 – $350","","",""
"2017","S","Quarter","National Park Quarters","Iowa Effigy Mounds National Monument","Proof-63","$11.75","$3 – $10","","",""
"2003","P","Quarter","State and Territory Quarters","Ohio","Uncirculated","2.5","$0.50 – $1.50","","",""
"2023","P","Dollar","Native American Dollar","Maria Tallchief","Uncirculated","$0.00","$1.50 – $3.00","","",""
"2024","D","Washington Quarter","American Women Quarters Program","Dr. Mary Edwards Walker","Uncirculated","$1.00","$1.00 – $3.00","","",""
"1878","CC","1 Dollar","Morgan Silver Dollar","Liberty Head","Fine","$225.00","Pending","","",""
"1993","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$58.50","Pending","","",""
"1952","S","Quarter","Washington Quarter","Unmapped","Very Fine","23.50","$6 – $9","","",""
"1963","","Dime","Roosevelt Dime","Unmapped","Circulated","$18.30","Pending","","",""
"2024","P","Quarter Dollar","American Women Quarters","Patsy Takemoto Mink","Uncirculated","$0.00","","","",""
"","","Kennedy Half Dollar","The Half Dollar Club","Unmapped","Ungraded","$407.58","$3 – $15","","",""
"2024","S","Washington Quarter","American Women Quarters Program","Pauli Murray","Proof-63","$29.95","$12 – $22","","",""
"2023","D","","U.S. Uncirculated Coin Mint Sets","Denver Mint Panel","Uncirculated","$39.95","","","",""
"2023","D","Quarter Dollar","American Women Quarters","Jovita Idar","Uncirculated","$1.00","","","",""
"2003","S","Quarter","State and Territory Quarters","Alabama","Choice Proof 63","22.5","$4 – $10","","",""
"1922","D","Penny","Lincoln Cent","Lincoln Portrait","Average Circulated","$58.50","$15 – $30","","",""
"2019","W","Dollar","America the Beautiful Quarters","Unmapped","Proof-63","$127.00","$65 – $95","","",""
"1956","","Dime","Roosevelt Dime","Unmapped","Circulated","$26.40","Pending","","",""
"1875","S","Half Dollar","Liberty Seated","With Motto","Good","$110.00","$35 – $55","","",""
"1985","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$12.25","$1.00 – $3.00","","",""
"1938","S","Quarter","Washington Silver Quarter","Unmapped","Fine","27.25","$10 – $15","","",""
"1907","O","Barber Silver Dimes","Barber Dimes","Liberty Head","Average Circulated","$24.50","Pending","","",""
"1997","","Dollar","American Eagle","Unmapped","Uncirculated","$73.95","$40 – $55","","",""
"1929","D","Cent","USA Invoice Import","Unmapped","Average Circ","$3.60","","","",""
"1839","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Extremely Fine","$480.00","Pending","","",""
"2023","S","Washington Quarter","American Women Quarters Program","Eleanor Roosevelt","Proof-63","$29.95","$12 – $22","","",""
"1924","","Five Cents","The U.S. Nickel Collection - Shipment 9","Unmapped","","$7.95","","","",""
"1920","S","Half Dollar","Walking Liberty Half Dollar","Unmapped","Very Good","$55.00","Pending","","",""
"2025","S","Quarter","American Women Quarters","Dr. Vera Rubin","Proof-63","$10.95","$3 – $7","","",""
"1970","D","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$43.95","$12 – $18","","",""
"1953","D","Penny","Lincoln Cent","Unmapped","Uncirculated","$3.50","$1.50 – $5.00","","",""
"2024","S","Washington Quarter","American Women Quarters Program","Celia Cruz","Proof-63","$29.95","Pending","","",""
"1923","S","Dollar","USA Invoice Import","Peace","Very Fine","$0.00","","","",""
"1911","S","Half Dollar","Barber Half Dollar","Liberty Head","Circulated","$47.75","$45 – $350","","",""
"1911","P","Barber Silver Dimes","Barber Dime","Liberty Head","Good","$16.00","$3 – $5","","",""
"1853","","Dime","Liberty Seated Dime","Unmapped","Fine","$495.00","$25 – $40","","",""
"1947","","Quarter","Washington Quarter","Unmapped","Circulated","$24.20","$6 – $9","","",""
"1964","","Cent","Lincoln Memorial Cent","Unmapped","Circulated","$5.99","$0.01 – $0.15","","",""
"2022","P","Quarter","US Women's Quarters","Wilma Mankiller","Uncirculated","$1.00","$1.00 – $3.00","","",""
"1930","D","Penny","Lincoln Head Cent","Unmapped","Genuine","$0.00","$0.50 – $3.00","","",""
"2009","S","Quarter","State and Territory Quarters","District of Columbia commemorative","Choice Proof 63","25.5","$4 – $12","","",""
"1947","P","Half Dollar","Liberty Walking Half Dollar","Unmapped","Fine","$40.95","Pending","","",""
"1911","","25 Cents","Barber Silver Quarters","Liberty Head","Ungraded","$25.25","$8 – $150","","",""
"1862","","Quarter","Liberty Seated","Unmapped","Very Fine","$108.00","$120 – $175","","",""
"1918","S","Dime","U.S. Dime Collection","Unmapped","Average Circulated","$29.25","","","",""
"1828","","Half Cent","Classic Head","13 stars","Extremely Fine","$240.00","Pending","","",""
"1904","S","1 Dollar","Morgan Silver Dollars","Unmapped","Very Fine","$189.00","Pending","","",""
"2019D","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","","","",""
"2024","","Morgan Silver Dollar","","Unmapped","Ungraded","$229.00","Pending","","",""
"2018","D","Quarter","National Park Quarters","Michigan Pictured Rocks National Lakeshore","Uncirculated","$1.00","$0.50 – $1.50","","",""
"2007","D","$1","Presidential $1 Coin Program","James Madison","Uncirculated","5.50","$1.50 – $3.00","","",""
"1959","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","Points","$3 – $8","","",""
"1936","S","Quarter","Washington Quarters","Unmapped","Choice Uncirculated","245.00","$150 – $225","","",""
"2022","D","1 Dollar","Native American Dollar","Ely Samuel Parker","Uncirculated","$3.50","Pending","","",""
"1965","","Dime","USA Invoice Import","Unmapped","Uncirculated","$3.25","","","",""
"2020","","Dollar","American Innovation Dollar","Vermont Pennacook","Uncirculated","$5.95","$1.50 – $3.00","","",""
"2024","P","Washington Quarter","American Women Quarters Program","Dr. Mary Edwards Walker","Uncirculated","$1.00","$0.25 – $1.50","","",""
"1993","S","Dime","Roosevelt Dimes","Unmapped","Choice Proof 63","29.95","$3 – $7","","",""
"2003","P","Quarter","State and Territory Quarters","Alabama","Uncirculated","2.5","$0.50 – $1.50","","",""
"2010","S","Quarter","America the Beautiful Quarters","Yellowstone National Park","Proof-63 Cameo","$26.00","$8 – $15","","",""
"2024","P","1 Quarter","American Women Quarters Program","Zitkala-Sa","Uncirculated","$1.00","$0.50 – $2.00","","",""
"2015","P","$1","Presidential $1 Coin Program","Lyndon B. Johnson","Uncirculated","2.95","$2.00 – $4.00","","",""
"1977","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.25","$1.50 – $3.50","","",""
"1936","D","Quarter","Washington Silver Quarter","Unmapped","Average Circ","24.95","$40 – $75","","",""
"1972","D","Nickel","Jefferson Nickel Series","Thomas Jefferson","Uncirculated","$1.10","$0.25 – $1.50","","",""
"1952","D","Quarter","Washington Silver Quarter","Unmapped","Extremely Fine","25.50","$8 – $12","","",""
"1973","S","Dollar","","Unmapped","Uncirculated","$0.00","$12 – $18","","",""
"1968-98","","","31 different US proof sets","Unmapped","ch proof 63","$599.00","$120 – $180","","",""
"2006S","","","Clad Proof Set 14 Coins","Unmapped","ch proof 63","$92.50","$25 – $35","","",""
"1898","","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","About Uncirculated 50","$0.00","$45 – $55","","",""
"1990","","Five Cents","The U.S. Nickel Collection - Shipment 13","Unmapped","","$7.95","","","",""
"2006","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.00","$1 – $3","","",""
"1964","D","Quarter","Washington Silver Quarter","Unmapped","Average Circulated","points","Pending","","",""
"1883","CC","$1","Morgan Silver Dollar","Unmapped","Uncirculated","695.0","$325 – $450","","",""
"1994","S","Penny","Lincoln Memorial Cent","Lincoln Head","Proof-63","$6.50","$3 – $7","","",""
"1942","D","Dime","","Unmapped","Extremely Fine","$18.20","$6 – $10","","",""
"1928","D","Dime","U.S. Dime Collection Selection","Mercury","Average Circulated","$37.50","","","",""
"1931","","Dime","USA Invoice Import","Unmapped","Fine","$27.50","","","",""
"1949","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"","","Half Dollar","The Half Dollar Club","Unmapped","","$407.58","","","",""
"1911","","Penny","Lincoln Cent","Lincoln Head","Genuine","$0.00","$0.50 – $2.00","","",""
"1821","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Very Fine","$299.00","Pending","","",""
"1939","","Cent","Lincoln Wheat Cent","Unmapped","Circulated","$20.60","Pending","","",""
"2019P","","quarter","National Park Quarters","Unmapped","uncirculated","$1.75","$0.25 – $1.50","","",""
"2023","D","U.S. Innovation Dollar","American Innovation $1 Coin Program","Ohio / Underground Railroad","Uncirculated","$0.00","$1.50 – $3.00","","",""
"1908","S","25 Cents","Barber Quarters","Liberty Head","Very Good","$95.00","$1,100 – $1,400","","",""
"1907","S","Dime","U.S. Dime Collection Selection","Barber","Average Circulated","$27.00","","","",""
"2023","P","Quarter","American Women Quarters Program","Jovita Idar","Uncirculated","$1.00","Pending","","",""
"1914","Pending","Dime","Barber Series","Liberty Head","Fine","$28.95","Pending","","",""
"1909","S","1 Cent","Lincoln Cent","Abraham Lincoln","Very Good","$795.00","Pending","","",""
"2021","S","Five Cents","America the Beautiful Quarters","Unmapped","Choice Proof-63","$0.00","","","",""
"2001","S","Quarter","State and Territory Quarters","Rhode Island","Choice Proof 63","8.5","Pending","","",""
"1926","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","Pending","","",""
"1911","S","Penny","Lincoln Wheat Cent","Abraham Lincoln","Very Good","","Pending","","",""
"1921","D","Dollar","Morgan Silver Dollar","The Only Denver Mint","","$199.00","","","",""
"2017","D","Quarter","America the Beautiful Quarters","District of Columbia Frederick Douglass National Historic Site","Uncirculated","$1.00","Pending","","",""
"1825","","Quarter","Capped Bust","Unmapped","Very Good","$350.00","Pending","","",""
"1905","S","Dime","Barber Series","Liberty Head","Average Circulated","$22.50","$65 – $110","","",""
"1961","","Nickel","Jefferson Nickel","America Revisited Selection","Circulated","$18.30","Pending","","",""
"2019","P","Quarter","America the Beautiful Quarters","Lowell National Historical Park","Uncirculated","$1.00","$0.25 – $1.50","","",""
"2023","D","Quarter","American Women Quarters","Bessie Coleman","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1909","D","1 Cent","Lincoln Cent (Wheat Reverse)","Abraham Lincoln","Choice About Uncirculated","$700.00","Pending","","",""
"1944","D","Penny","Lincoln Head Penny","Unmapped","Uncirculated","$4.50","Pending","","",""
"2018","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$0.00","","","",""
"1908","","Penny","Indian Head Cent","Indian Head","Good","$8.25","$1.50 – $3.00","","",""
"1880","","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","About Uncirculated 50","$105.00","$45 – $55","","",""
