Country,Year,Mint Mark,Denomination,Quantity,Program/Series,Theme/Subject,Condition,Strike Type ,Holder Type (if applicable),Grading Service,Certification Number,Metal Content,Purchase Cost,Purchase Date,Retailer/Website,Retailer Item No.,Retailer Invoice #,Variety,Personal Notes I,Personal Reference #,Storage Location,Original Description from source,Series Start Year,Designer/Engraver,Scarcity/Key Status
,1921,P,Dime,,Mercury Dime,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Adolph A. Weinman,Key Date
,1921,D,Dime,,Mercury Dime,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Adolph A. Weinman,Key Date
,1917,P,Quarter Dollar,,Standing Liberty,,,,,,,90% Silver,,,,,,Type 1 / Type 2 Transition,,,,,1916,Hermon A. MacNeil,Common Date
,1918,S,Quarter Dollar,,Standing Liberty,,,,,,,90% Silver,,,,,,8 Over 7 Overdate,,,,,1916,Hermon A. MacNeil,Key Date Variety
,1921,P,Quarter Dollar,,Standing Liberty,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Hermon A. MacNeil,Key Date
,1923,S,Quarter Dollar,,Standing Liberty,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Hermon A. MacNeil,Key Date
,1916,P,Half Dollar,,Walking Liberty,,,,,,,90% Silver,,,,,,First Year,,,,,1916,Adolph A. Weinman,Key Date
,1921,P,Half Dollar,,Walking Liberty,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Adolph A. Weinman,Key Date
,1921,D,Half Dollar,,Walking Liberty,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Adolph A. Weinman,Key Date
,1921,S,Half Dollar,,Walking Liberty,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Adolph A. Weinman,Key Date
,1938,D,Half Dollar,,Walking Liberty,,,,,,,90% Silver,,,,,,Key Date,,,,,1916,Adolph A. Weinman,Key Date
,1948,P,Half Dollar,,Franklin Half,,,,,,,90% Silver,,,,,,First Year,,,,,1948,John R. Sinnock,Common Date
,1961,P,Half Dollar,,Franklin Half,,,,,,,90% Silver,,,,,,Doubled Die Reverse,,,,,1948,John R. Sinnock,Popular Variety
,1964,P,Half Dollar,,Kennedy Half,,,,,,,90% Silver,,,,,,Accented Hair (Proof),,,,,1964,Gilroy Roberts,Key Variety
,1998,S,Half Dollar,,Kennedy Half,,,,,,,90% Silver,,,,,,Matte Finish,,,,,1964,Gilroy Roberts,Rare Variety
,1881,S,One-Dollar Coin,,Morgan Dollar,,,,,,,90% Silver,,,,,,Common Date / High Luster,,,,,1878,George T. Morgan,Common Date
,1893,S,One-Dollar Coin,,Morgan Dollar,,,,,,,90% Silver,,,,,,Ultra-Key Date,,,,,1878,George T. Morgan,Ultra-Key
,1889,CC,One-Dollar Coin,,Morgan Dollar,,,,,,,90% Silver,,,,,,Key Date,,,,,1878,George T. Morgan,Key Date
,1878,P,One-Dollar Coin,,Morgan Dollar,,,,,,,90% Silver,,,,,,8 Tail Feathers,,,,,1878,George T. Morgan,Key Variety
,1878,P,One-Dollar Coin,,Morgan Dollar,,,,,,,90% Silver,,,,,,7 Over 8 Tail Feathers,,,,,1878,George T. Morgan,Key Variety
,1921,P,One-Dollar Coin,,Peace Dollar,,,,,,,90% Silver,,,,,,High Relief,,,,,1921,Anthony de Francisci,Key Date
,1928,P,One-Dollar Coin,,Peace Dollar,,,,,,,90% Silver,,,,,,Key Date,,,,,1921,Anthony de Francisci,Key Date
,1934,S,One-Dollar Coin,,Peace Dollar,,,,,,,90% Silver,,,,,,Key Date,,,,,1921,Anthony de Francisci,Key Date
,1934,D,One-Dollar Coin,,Peace Dollar,,,,,,,90% Silver,,,,,,Doubled Die Obverse,,,,,1921,Anthony de Francisci,Major Variety
,1907,P,20 Dollars,,Saint-Gaudens Double Eagle,,,,,,,.900 Gold,,,,,,"High Relief, Roman Numerals",,,,,1907,Augustus Saint-Gaudens,Ultra-Key
,1933,P,20 Dollars,,Saint-Gaudens Double Eagle,,,,,,,.900 Gold,,,,,,The Forbidden Coin,,,,,1907,Augustus Saint-Gaudens,Ultra-Rarity
,1908,P,20 Dollars,,Saint-Gaudens Double Eagle,,,,,,,.900 Gold,,,,,,No Motto,,,,,1907,Augustus Saint-Gaudens,Common Date
,1911,D,2.50 Dollars,,Indian Head Gold,,,,,,,.900 Gold,,,,,,Key Date,,,,,1908,Bela Lyon Pratt,Key Date
,1848,CAL,2.50 Dollars,,Liberty Head Gold,,,,,,,.900 Gold,,,,,,CAL Inscription,,,,,1840,Christian Gobrecht,Ultra-Key
,1870,S,3 Dollars,,Indian Princess Gold,,,,,,,.900 Gold,,,,,,Unique Rarity,,,,,1854,James B. Longacre,Ultra-Rarity
,1875,P,One-Dollar Coin,,Gold Dollar,,,,,,,.900 Gold,,,,,,Key Date,,,,,1856,James B. Longacre,Key Date
,1861,P,20 Dollars,,Liberty Head Gold,,,,,,,.900 Gold,,,,,,Paquet Reverse,,,,,1849,James B. Longacre,Rare Variety
,2000,P,One-Dollar Coin,,Sacagawea / Quarter Mule,,,,,,,Manganese-Brass / Cupro-Nickel,,,,,,Mule Error,,,,,2000,Glenna Goodacre,Ultra-Rarity
,1975,No S,Dime,,Roosevelt Dime,,,,,,,Cupro-Nickel Clad,,,,,,No S (Proof),,,,,1946,John R. Sinnock,Ultra-Rarity
,1968,No S,Dime,,Roosevelt Dime,,,,,,,Cupro-Nickel Clad,,,,,,No S (Proof),,,,,1946,John R. Sinnock,Rare Error
,1983,No S,Dime,,Roosevelt Dime,,,,,,,Cupro-Nickel Clad,,,,,,No S (Proof),,,,,1946,John R. Sinnock,Rare Error
,1990,No S,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,No S (Proof),,,,,1959,Frank Gasparro,Rare Error
,1976,S,One-Dollar Coin,,Eisenhower Dollar,,,,,,,40% Silver,,,,,,Type 1 / Type 2 Mix-up,,,,,1975,Frank Gasparro,Key Variety
,1943,D,One-Cent Coin,,Lincoln Cent,,,,,,,Zinc-Coated Steel,,,,,,D Over D (RPM),,,,,1909,Victor D. Brenner,Popular Variety
,1956,P,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,BIE Variety (Clogged Die),,,,,1909,Victor D. Brenner,Minor Variety
,1996,W,Dime,,Roosevelt Dime,,,,,,,Cupro-Nickel Clad,,,,,,West Point Anniversary,,,,,1946,John R. Sinnock,Key Date
,2019,W,One-Cent Coin,,Lincoln Cent,,,,,,,Copper-Plated Zinc,,,,,,West Point Lincoln,,,,,1959,Frank Gasparro,Key Date
,2020,W,5-Cent Coin,,Jefferson Nickel,,,,,,,Cupro-Nickel,,,,,,West Point Nickel,,,,,1938,Felix Schlag,Key Date
,1982,P,Quarter Dollar,,Washington Quarter,,,,,,,Cupro-Nickel Clad,,,,,,No Mint Sets Issue,,,,,1932,John Flanagan,Key Date
,1983,P,Quarter Dollar,,Washington Quarter,,,,,,,Cupro-Nickel Clad,,,,,,No Mint Sets Issue,,,,,1932,John Flanagan,Key Date
,2009,P,One-Cent Coin,,Lincoln Bicentennial,,,,,,,Copper-Plated Zinc,,,,,,Log Splitter Doubled Die,,,,,2009,Charles Vickers,Popular Variety
,2005,P,5-Cent Coin,,Bison Nickel,,,,,,,Cupro-Nickel,,,,,,Detached Leg,,,,,2004,Jamie Franki,Minor Variety
,1955,P,5-Cent Coin,,Jefferson Nickel,,,,,,,Cupro-Nickel,,,,,,DDR Monticello,,,,,1938,Felix Schlag,Major Variety
,1964,P,Dime,,Roosevelt Dime,,,,,,,90% Silver,,,,,,SMS Special Strike,,,,,1946,John R. Sinnock,Ultra-Rare
,1964,P,5-Cent Coin,,Jefferson Nickel,,,,,,,Cupro-Nickel,,,,,,SMS Special Strike,,,,,1938,Felix Schlag,Ultra-Rare
,1922,P,One-Dollar Coin,,Peace Dollar,,,,,,,90% Silver,,,,,,Die Break (Ear Ring),,,,,1921,Anthony de Francisci,Minor Variety
,1953,D,Half Dollar,,Franklin Half,,,,,,,90% Silver,,,,,,Bugs Bunny Die Clash,,,,,1948,John R. Sinnock,Popular Variety
,1957,D,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Library Error (Die Break),,,,,1909,Victor D. Brenner,Minor Variety
,1941,S,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Large S,,,,,1909,Victor D. Brenner,Popular Variety
,1960,P,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Small Date,,,,,1959,Frank Gasparro,Key Variety
,1960,D,One-Cent Coin,,Lincoln Cent,,,,,,,95% Copper,,,,,,Small Date Over Large Date,,,,,1959,Frank Gasparro,Major Variety
