Country,Year,Mint Mark,Denomination,Quantity,Program/Series,Theme/Subject,Condition,Strike Type ,Holder Type (if applicable),Grading Service,Certification Number,Metal Content,Purchase Cost,Purchase Date,Retailer/Website,Retailer Item No.,Retailer Invoice #,Variety,Personal Notes I,Personal Reference #,Storage Location,Original Description from source
USA,1986.0,W,50 Dollars,1.0,American Eagle Gold,Saint-Gaudens,MS-70,Burnished,Velvet Pouch,Raw, ,.9999 Fine Gold,75.0,2025-05-05,JM Bullion,86-AGE-50,JMB-7731, ,1 oz Gold Bullion; Roman numerals.,US-86-AGE,SDB,
USA,1997.0,W,100 Dollars,1.0,American Eagle Platinum,Freedom of Religion,MS-70,High Relief,Slab,NGC,1928374-001,.9995 Palladium,125.0,2025-07-20,Heritage Auctions,97-APE-100,HA-44910,VAM-1A (Clashed E),First year of Platinum Eagles.,US-97-APE,SDB,
USA,2017.0,W,25 Dollars,1.0,American Eagle Palladium,Winged Liberty,PR-70,Proof,Slab,PCGS,77281930,.9999 Fine Gold,35.0,2024-11-11,ModernCoinMart,17-APD-25,MCM-552,Small Date,High relief; low mintage.,US-17-PAL,SDB,
USA,2006.0,W,50 Dollars,1.0,Gold Buffalo,Indian Head,MS-64,Business,Slab,PCGS,33819204,.9999 Fine Gold,75.0,2025-01-20,US Mint,06-GB-50,USM-0091,Large Date Over Small,First 24k gold coin from US Mint.,US-06-GBF,SDB,
USA,2023.0,P,100 Dollars,1.0,American Liberty High Relief,Bristlecone Pine,MS-66 RD,Business,Mint Box,Raw, ,.9999 Fine Gold,150.0,2023-08-15,US Mint,23AL,USM-1182,Doubled Die,Modern art series; 1 oz gold.,US-23-LIB,Safe Box B,
USA,2007.0,W,10 Dollars,1.0,First Spouse Gold,Martha Washington,PR-68,Proof,Slab,NGC,2102938-012,.9999 Fine Gold,15.0,2024-04-14,eBay,07-FS-MW,EB-8812, ,First spouse release; 1/2 oz gold.,US-07-FS,Safe Box B,
USA,2025.0,W,50 Dollars,1.0,DC Comics Bullion,Batman,PR-69 RD,Business,Air-Tite Capsule,Raw, ,.9999 Fine Gold,75.0,2025-06-01, ,25-DC-BT,APX-9902,Missing Edge Lettering,"Part of the ""Trinity"" collection.",US-25-DC,Display Case,
USA,2026.0,W,5 Dollars,1.0,2026 FIFA World Cup,World Cup Gold,MS-66,Proof,Slab,PCGS,99281034,.900 Fine Gold,7.0,2026-05-20,ModernCoinMart,26-FIFA-5,MCM-101, ,Commemorative for 2026 Cup.,US-26-WCP,Safe Box A,
USA,2027.0,S,Half Dollar,1.0,2027 Youth/Paralympic,Surfing,PR-70,Uncirculated,Slab,NGC,7710293-001,.9999 Fine Gold,1.0,2027-08-15,GovMint,27-YSP-SURF,GVM-441, ,Future release; silver proof.,US-27-PARA,Album 3,
USA,2032.0,P,One-Dollar Coin,1.0,American Innovation $1,Final Release,MS-67,Proof,Roll,Raw, ,Manganese-Brass Clad,2.0,2032-12-31,US Mint,32-AI-FIN,USM-9999,"Privy Mark ""250""",Completes the Innovation series.,US-32-INO,Storage Bin B,
,,,,,,,,,,,,,,,,,, ,,,,
