id,Year,Mint Mark,Denomination,Condition,Theme/Subject,Country,Variety,PCGS Number,Source Collection,Grading Service,Cert Number,Program/Series,Enrichment Status
138a2e9a-c6d9-4fda-af82-3741bf86b6d6,2019D,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
142728b2-1111-4ded-8228-f585ffb0879f,1929,,$10 Federal Reserve Bank Note,Fine,,USA,,,coins,,,Federal Reserve Bank Note,Enriched from Firestore
142be403-d9ab-48d3-8c24-0ee6b17e9247,1976,,Quarter,,Shipment # 4,USA,,5714,coins,,,Historic U.S. Silver Coins,Enriched from Firestore
15986db0-f76b-46c3-afe7-060a0d1bcb80,2018D,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
1617b122-60b9-448b-9c8b-ddd2f97a7631,1934,A,$500 Federal Reserve Note,Fine (F-12),$500 Federal Reserve Note,USA,,,coins,,,American Paper Money Club,Enriched from Firestore
16514dac-1400-4c41-8b91-9a22ea5c5191,1983S,,Proof/Mint Set,ch proog 63,,US,,,coins,,,Clad  Proof Set 6 coins,Enriched from Firestore
1743465c-90e0-4de1-aa9b-6a57cd911f3a,1826,,$50,Extremely Fine or Better,New York Marble Manufacturing NY-1705-G22,USA,,,coins,,,Obsolete Note,Enriched from Firestore
174b1ff2-8dbb-4e36-b7ce-5a316bcdb489,2022,,$1,,Illinois,USA,,188857,coins,,,The Statehood Innovation Dollar Coin Collection,Enriched from Firestore
17ad0010-5ef9-474f-9e71-0e0d8fc6436e,1864-1869,,25C Fractional Currency,Crisp Uncirculated,,USA,,,coins,,,Fractional Currency,Enriched from Firestore
17e6602f-f930-4872-b7da-1a8916a108fb,1990,,Mixed,Choice Proof-63,Eisenhower Centennial,USA,,,coins,,,Prestige Proof Set,Enriched from Firestore
1863c887-9198-4a3c-93d4-60f76b409483,2016S,,quarter,CH-proof 63,,US,,,coins,,,National Park Quarters,Enriched from Firestore
1a70cac2-718a-446b-aa63-62419182326e,,,,,Shipment # 6,USA,,,coins,,,The World War II U.S. Coin Collection,Enriched from Firestore
1b8edd54-3863-44e8-b070-67abcd004759,Multiple,,$1,Ungraded,,US,,,coins,,,Morgan Silver Dollar Set,Enriched from Firestore
1bbbd3b5-d201-4da3-b06d-270926a44f93,1958,,,Circulated,America Revisited Selection,USA,,,coins,,,Time Capsule Year Set,Enriched from Firestore
1c8e7e49-e355-49b6-a922-a3d96b1ad113,1866,,,VF/EF,,US,,,coins,,,,Enriched from Firestore
1dc6f633-98ac-4c3c-8c9b-92fc20b8302f,1940,,,Circulated,5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
1e3ea95e-c750-4b62-90a4-01e9eaa87404,,,multiple,,,US,,,coins,,,25 Mixed Peace Dollars AU/BU,Enriched from Firestore
1eb36854-333f-4af1-a9fe-8d1f00357fae,2018P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
1ee8d860-c65d-4bd6-9628-626c8067d3d9,2016D,,quarter,Uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
1f4f3ec7-bc2e-45af-a216-d1867eb6c3a7,1943,,,Circulated,Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
1f7ba50e-bc59-479d-a489-f73f0ee221e0,1953,,$5 Silver Certificate,Very Fine,Silver Certificate,USA,Interior Gutter Fold,,coins,,,USA Invoice Import,Enriched from Firestore
20608ad7-b0d3-43d7-8475-e12be0a8b35b,1935,F,$1 Silver Certificate,Crisp Uncirculated,,USA,Star Note,,coins,,,USA Invoice Import,Enriched from Firestore
213d6d81-55d3-4d29-bfcf-4929630b5a64,,,$10,MS-65,,US,,,coins,NGC,,American Gold Eagle,Enriched from Firestore
216a48f3-cf16-4e8a-98d4-820c45e6f93f,Pending,Pending,Dime,Fine,,US,,,coins,,,Barber Series,Enriched from Firestore
225eff64-3701-433c-a59e-58202bb20c05,,,$5,MS-65,,US,,,coins,NGC,,American Gold Eagle,Enriched from Firestore
2341396f-cd47-479a-b8a6-7a478eb8dcc6,,,Five Cents,,SHIPMENT 7,USA,,,coins,,,The U.S. Nickel Collection,Enriched from Firestore
23c66695-3d0d-4269-a8f8-c93775d7e4fa,2018P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
24712445-a2b9-477f-ab46-4663d5834f35,2014S,,14-Coin Proof Set,ch proog 63,,US,,,coins,,,Clad  Proof Set 14 coins,Enriched from Firestore
24a2cc34-8f52-4f1e-a33a-08ccfd681bae,1907,,$5 Legal Tender Note,Very Fine / Extremely Fine,,USA,"""PCBLIC"" Engraving Error Reverse",,coins,,,American Paper Money Club Selection,Enriched from Firestore
26593890-b192-4809-aad1-e5b3eb53f157,2017P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
26621b10-220a-40d1-b8e4-e2fece0c4d5b,2015S,,quarter,CH-Proof 63,,US,,,coins,,,National Park Quarters,Enriched from Firestore
27653b41-f822-4107-b085-6e18a570ab8a,1964,,Year Set,Circulated,Time Capsule Year Set,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
28672832-4ae2-4cb2-a564-d0dd00876425,2023,,$1,,Mississippi,USA,,198246,coins,,,The Statehood Innovation Dollar Coin Collection,Enriched from Firestore
2903ee22-fc82-47b8-ae0a-26cb796ea815,N/A,,Nickel,Ungraded,,US,,,coins,,,Liberty Head Nickel,Enriched from Firestore
2956ca78-f4e5-4e23-861f-c98f6951bd6f,1953,,,Circulated,America Revisited Selection,USA,,,coins,,,Time Capsule Year Set,Enriched from Firestore
2a0ab362-6564-47a3-af76-b3a506f7eca7,1969,D,$1 Federal Reserve Note,Choice Crisp,Federal Reserve Note,USA,,,coins,,,American Paper Money Club Selection,Enriched from Firestore
2a1a38e6-1fe5-43a3-91e4-287fa6483b1e,,,Five Cents,,Shipment 12,USA,,,coins,,,The U.S. Nickel Collection,Enriched from Firestore
2a1b08ea-2886-4b74-889c-8ab5ba1ab446,2024,,$1,,Michigan,USA,,346862,coins,,,The Statehood Innovation Dollar Coin Collection,Enriched from Firestore
2a57691e-f3a9-44df-9119-435defb60f12,1976,,$2 Federal Reserve Note,Choice Crisp,Federal Reserve Note,USA,,,coins,,,American Paper Money Club Selection,Enriched from Firestore
2a8c1216-3d15-4dfa-a282-0e5f659c65e3,1863-1867,,10C Fractional Currency,Very Fine,w/surcharge 0-63,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
2b11cb2b-d8f7-4e92-aeda-09871302d46f,Multiple,,$1,Uncirculated,,US,,,coins,,,Morgan Silver Dollar,Enriched from Firestore
2c63c6b1-9747-4ab2-983b-4fca8a52d23b,1962,,,Circulated,Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
2e822906-c26a-4dd3-8fda-d61d10989660,1870,,Cent,Extremely Fine,,US,,1317,coins,,,,Enriched from Firestore
304dd485-fe36-479a-985d-bf726fad9f17,2019,D,Native American $1 Coin,Uncirculated,Space Program,US,,,coins,,,Native American $1 Coin Program,Enriched from Firestore
30a88fa5-4791-4d49-89bf-d40d45bc5a3e,1869,,,Extremely Fine,,US,,,coins,,,,Enriched from Firestore
3156dcf7-0338-4c27-815b-d8a33b335632,2016P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
31cf4601-c9b1-4da1-bfd3-da27619c50c1,2020S,,Dollar,ch proof 63,,US,,,coins,,,AI$ Proof Set,Enriched from Firestore
320e8d05-f13a-4047-a453-0f6a04544e15,1921,,$1,MS-65,,,,,coins,,,Morgan Silver Dollar Set,Enriched from Firestore
32fd4983-6705-4e13-bc5f-05a22ef7b3db,1940-1941,S,Mixed,Average Circ,Shipment #2,USA,,,coins,,,The World War II U.S. Coin Collection,Enriched from Firestore
3396a17b-ded9-4c84-ad61-1b6b0dd00d5f,1885,,,Extremely Fine,,US,,,coins,,,,Enriched from Firestore
344378a4-de23-41a0-ae35-b8a5e824081c,1966,,Proof/Mint Set,uncirculated,,US,,,coins,,,Special Mint Set Hard Holder,Enriched from Firestore
3490d26d-6220-4cfb-8005-b7513da11070,1882,,$5 National Bank Note Large Size,Fine/Very Fine,Portland Maine Brown Back,USA,,,coins,PMG,,USA Invoice Import,Enriched from Firestore
34b661ba-0ced-481a-8f6d-f44d6ded4f1c,1874-1876,,50C Fractional Currency,Crisp Uncirculated,,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
34b77373-ec98-4e4a-8b50-e000802be978,,,,,Shipment # 2,USA,,,coins,,,The World War II U.S. Coin Collection,Enriched from Firestore
373ab304-8b26-4da5-be58-1f7dc1b2bdf3,1914,,$10 Federal Reserve Note,Very Fine,Large Size,USA,,,coins,,,Federal Reserve Note,Enriched from Firestore
37b23c58-23ba-40eb-b648-1384be8bb707,2022,D,Various,Uncirculated,Denver Mint Panel,USA,,,coins,,,U.S. Uncirculated Coin Mint Sets,Enriched from Firestore
37f7441e-2252-4d2d-81f4-57defce571ec,1907-2013,,Five Cents,,Shipment 11,USA,,,coins,,,The U.S. Nickel Collection,Enriched from Firestore
37f87905-4645-4276-a853-3c86b1086509,1928,A,$1 Silver Certificate,Uncirculated-64 Premium,Funnyback Star Note EPQ,USA,Star Note,,coins,PMG,,USA Invoice Import,Enriched from Firestore
3885ba86-1c74-4024-b6d7-4ef257566ffa,2021,S,Native American $1 Coin,Proof-63,Military Service,US,,,coins,,,Native American $1 Coin Program,Enriched from Firestore
393be615-0383-4b0d-95d6-3a9e372935df,,,Nickel,fine,,US,,,coins,,,Buffalo Nickel 3 coin All Mint set,Enriched from Firestore
39b04e68-45a8-4b80-9c88-d0901d621e20,2021,,Quarter,Ungraded,Zitkala-Sa,US,,393975,coins,,,Celebrating America Coin Collection,Enriched from Firestore
3ac52092-ab2a-454d-9823-5a62daebf5c8,2018S,,10-Coin Proof Set,ch proog 63,,US,,,coins,,,Clad  Proof Set 10 coins,Enriched from Firestore
3baddf53-e57c-4280-9c12-25f6aa3935b1,2006S,,10-Coin Proof Set,ch proof 63,,US,,,coins,,,Silver Proof set 10 coins,Enriched from Firestore
3bd433ba-c622-4918-a7d2-1011039a0e1d,,,Five Cents,,Shipment 2,USA,,,coins,,,The U.S. Nickel Collection,Enriched from Firestore
3c5e01fb-5c60-4371-86fd-32bf0774f740,1961,,,Circulated,Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
3c7ce9a7-8e5a-4193-bf41-aed48d3facfd,1940-1941,,Mixed,,Shipment # 3,USA,,,coins,,,The World War II U.S. Coin Collection,Enriched from Firestore
3c85311b-2391-4b6f-84ba-52a2cef9d096,2000S,,10-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad Proof Set 10 Coins,Enriched from Firestore
3dc38d3b-56b5-4e33-bc27-2399f263ed1c,2018P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
3de5494d-1597-4a58-8176-bbae2873cc92,1907,,$10 Gold Certificate,EF-45 Premium,,USA,,,coins,PMG,,Large Size,Enriched from Firestore
3e6928de-4d41-4d5c-ac6e-d0ea4a937353,,,Five Cents,,Shipment 4,USA,,,coins,,,The U.S. Nickel Collection,Enriched from Firestore
3f9e56bf-da12-4c8e-9af4-2988ba4cec43,2019S,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
3fcb26fa-aa11-40e1-b403-009497ca19c3,2019S,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
41a697a1-2a51-4b08-a3ba-0f6ad94e230f,19th & 20th century,,Penny,extra fine,,US,,,coins,,,Indian Head Cent 2 coin set with case,Enriched from Firestore
44d81853-f14f-472d-bfb1-f6682e5a98a1,1887,,,Extremely Fine,,US,,,coins,,,,Enriched from Firestore
45088d4f-82b4-4158-977b-499ff2b3740c,2020D,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
4583bee5-e188-46f6-bec7-991df646c3b2,1971-78,,Dollar,unc Proog 63,,US,,,coins,,,Eisenhower Dollar set 16 coins with lbum,Enriched from Firestore
460cb844-4ddf-4190-bba6-64a916b7af94,2018P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
46428d70-a128-497a-8c7a-62b8036b1404,1930,S,Decade Set,Circulated,1930's Decade Set,USA,,,coins,,,Year Sets: America Revisited Selection,Enriched from Firestore
470a298a-d0f9-405d-91ac-e87ea160fdeb,1928,A,$50 Federal Reserve Note,Very Fine,,USA,Series 1928A,,coins,,,Federal Reserve Note,Enriched from Firestore
47a03832-f9ce-44a2-9c9e-0f97a0df62e4,1864-1869,,5C Fractional Currency,Choice AU-58,,USA,,,coins,PMG,,USA Invoice Import,Enriched from Firestore
47ac9913-3be2-4934-88f0-c9e88e48a010,1964-2012,,,MS60,,US,,,coins,,,Kennedy 50 cent year set  48 coins including 2005 coin,Enriched from Firestore
48109f69-6f91-4acb-9d8d-2b05dfe969e6,,,Proof/Mint Set,uncirculated,,US,,,coins,,,Mint Set,Enriched from Firestore
48b0b256-c74e-4dde-9cea-09a88fa30af2,1963,,,Circulated,5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
4a2a1631-38fe-44e7-bb88-12d38fbd2c5c,1952,,,Circulated,5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
4b608086-063a-4f7e-870b-14538d71d791,1883,,Quarter,very ch unc,,US,,5156,coins,,,Hawaiian Silver Quarter PCGS,Enriched from Firestore
4b8a2d7e-29d9-4616-853a-0cd69e8acec0,1867,,,Extremely Fine,,US,,,coins,,,,Enriched from Firestore
4d7dcedd-9637-44ff-b833-d42b40be151d,,,,Ungraded,,,,,coins,,,,Enriched from Firestore
4d8ba60a-47fe-43e0-94c7-6cb2b2127622,1960,,,Circulated,America Revisited Selection,USA,,,coins,,,Time Capsule Year Set,Enriched from Firestore
4dd5b864-fd8c-4e4b-9a9e-d94b9ee5e074,,,,,Shipment # 4,USA,,,coins,,,The World War II U.S. Coin Collection,Enriched from Firestore
4f0396fa-cd5d-44a7-8e22-c62d716bcb6f,1778,,$50 Continental Currency,Fine,,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
4f0fb657-0640-495a-a4e0-b4ccb16f1f01,,D,Morgan Silver Dollar,Ungraded,,US,,,coins,,,Morgan Silver Dollar,Enriched from Firestore
4fd69601-e1c2-4be9-895a-e2c4de974695,2016P,,quarter,Uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
50587c4e-9fb7-4f8b-a078-8faab1a69c9c,2018-20,,,uncirculated,,US,,,coins,,,P&D American Innovation Set (18),Enriched from Firestore
50fd7f72-4416-4779-be91-5ca3b5d82381,1972S,,5-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad Proof set 5 coins,Enriched from Firestore
5178b172-48fb-4240-8dd0-12b58429e5f8,1935,,$1 Silver Certificate,Crisp Uncirculated,,USA,,,coins,,,Silver Certificate,Enriched from Firestore
51d275d7-fa78-4e27-986f-b7350d8c9b78,1899,,$1 Silver Certificate,AU58 Premium,Eagle Large Size,USA,,,coins,PCGS,,USA Invoice Import,Enriched from Firestore
522797ed-82cc-4ca2-937a-d92fd312f778,1954,,5-Coin Set,Circulated,Time Capsule Year Set,USA,,,coins,,,America Revisited Club,Enriched from Firestore
52dd36ca-9026-4ea6-b9c1-362bda67fa6d,1937,,,Circulated,5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
530211bf-d177-40a1-b84c-e759d045103b,2021S,,Proof/Mint Set,ch proof 63,,US,,,coins,,,Clad Proof Set7 coins,Enriched from Firestore
53595b63-0b7c-4715-9c24-e324de3aeb17,1983,S,Mixed (Proof Set),Ch Proof-63,,US,,,coins,,,Clad Proof Set,Enriched from Firestore
537b08c8-95c6-4311-9599-fbd96fe5f16c,1916-1920,,,,,US,,,coins,,,5 Different Mint Weat Cents,Enriched from Firestore
53e3ba95-7b25-47a7-bbf2-bb5bdf1c5e2a,,P,Barber Quarter,Ungraded,,US,,,coins,,,Historic U.S. Silver Coins,Enriched from Firestore
53e6fb84-74c2-4e7d-b461-e3ab60d47038,1959,,5-Coin Set,Circulated,Time Capsule Year Set,USA,,,coins,,,Year Sets: America Revisited Selection,Enriched from Firestore
55f1bafd-dd46-49ae-b130-d833ce46445e,1942,,Various,Circulated,1942 Year Set,USA,,,coins,,,Time Capsule Year Set,Enriched from Firestore
5620bc6b-1206-486f-bbae-5b4bec6fca5f,1978S,,Proof/Mint Set,ch proog 63,,US,,,coins,,,Clad  Proof Set 6 coins,Enriched from Firestore
56965cd9-fcd6-4110-9db1-1de8bd398505,2003S,,10-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad Proof Set 10 Coins,Enriched from Firestore
572a6433-b6e3-4a40-9218-4a24f69e2f0c,2023,P,Proof/Mint Set,Uncirculated,Philadelphia Mint Panel,USA,,,coins,,,U.S. Uncirculated Coin Mint Sets,Enriched from Firestore
576da6a9-dc09-4896-8bdf-ee66f690a3e5,1874,,,Extremely Fine,,US,,,coins,,,,Enriched from Firestore
594aaaef-70f6-4d77-8443-4da736df9153,1996S,,5-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad proof set 5 coins,Enriched from Firestore
5a7b24ac-e282-4cbc-bd2f-576f3c33bff1,1968-98,,Quarter,Ungraded,,,,,coins,,,Washington Silver Quarter,Enriched from Firestore
5a8135fd-a9c0-4de5-88bd-ec1313c6d3c5,1941,,,Circulated,Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
5ac17b5e-244d-43ca-9c19-89a8e637c473,2016S,,quarter,Uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
5b0e227f-48f5-455f-826f-7369743e0373,1942-1943,S,Mixed,,Shipment # 6,USA,,,coins,,,The World War II U.S. Coin Collection,Enriched from Firestore
5b13cbdc-6cb4-4595-91e7-65475ff4e52a,1961,,5-Coin Set,Circulated,,USA,,,coins,,,Time Capsule Year Set,Enriched from Firestore
5b577912-33ec-48fe-ab70-3453d830a725,1947,,,Circulated,5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
5b64a7b3-3b7f-4f75-b234-ab1daf966b28,2024,P,Proof/Mint Set,Uncirculated,Philadelphia Mint Panel,USA,,,coins,,,U.S. Uncirculated Coin Mint Sets,Enriched from Firestore
5be92e3b-a928-4835-8625-a7d2fd8e3c5c,2024,,$1,,Alabama,USA,,346862,coins,,,The Statehood Innovation Dollar Coin Collection,Enriched from Firestore
5bfd2a89-7bbd-4f78-b828-a88e574e340a,1998S,,5-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad Proof Set 5 coins,Enriched from Firestore
5c67ea8b-eed0-4e3f-a00d-caa7a1d68a66,1918,,$1 Federal Reserve Bank Note,Crisp Uncirculated,Large Size,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
5c8412e8-1bc6-48ab-8d58-73438a51be06,2023,,Quarter,Ungraded,Eleanor Roosevelt,US,,199027,coins,,,Celebrating America Coin Collection,Enriched from Firestore
5c8bd99f-cdbc-40bf-9f0e-d20747f0c685,1942,,Birth Year Set,,1942 Birth Year Coin and Silver Commemorative Set,USA,,,coins,,,Birth Year Sets,Enriched from Firestore
5c8d8ba5-cf98-44a2-b9a4-a2b723a08d15,1905,,,Good,,US,,,coins,,,,Enriched from Firestore
5cfd9020-ef60-4a9c-b8e8-6ccfc4eb1b45,2005S,,Proof/Mint Set,ch proof 63,,US,,,coins,,,Clad Proof set  11 coins,Enriched from Firestore
5da7c607-ca11-483f-802f-54f73e8fef93,2024,,$1,,Maine,USA,,346862,coins,,,The Statehood Innovation Dollar Coin Collection,Enriched from Firestore
5de66bea-05b5-4c3c-9ce4-620689d8852b,1968S,,5-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad Proof Set 5 coins,Enriched from Firestore
5edb5533-83a1-42df-bb53-9db4a7292f2c,,,,,Shipment # 3,USA,,,coins,,,Historic U.S. Silver Coins,Enriched from Firestore
5f29df5a-a99a-44ae-9fa3-8307e4a22613,,,,,Shipment # 2,USA,,,coins,,,Historic U.S. Silver Coins,Enriched from Firestore
5fa0d24f-5c00-4c06-ac82-08cdb9df3c79,1776,,$1/6 Continental Currency,Circulated,,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
611b2815-02c1-4daa-83d0-43b2230d530c,1942,,,Circulated,5-Coin Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
6160361d-1478-40e5-aa04-3982e43ffaae,1899,,$1 Silver Certificate,Very Fine,Large Size Eagle,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
622ee8e1-ac75-41a1-a5bb-cc0312a7f5d4,1955,,,Circulated,Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
63698d2f-c0f4-447f-ae9d-169733515d85,1942,,,,Shipment #4,USA,,,coins,,,The World War II U.S. Coin Collection,Enriched from Firestore
641893e0-fbc0-40d8-a290-024aa4ec2726,1884,,,Very Fine,,US,,,coins,,,,Enriched from Firestore
65596277-cdc8-4be1-86ea-2eaf31870b66,1939,,,Circulated,Time Capsule Year Set,USA,,,coins,,,America Revisited Selection,Enriched from Firestore
65b471d0-a182-4cd5-971b-f2121e93898d,,,Nickel,,,US,,,coins,,,Buffalo Nickel,Enriched from Firestore
66337686-4b68-4879-8a72-92c3f1bc1aff,,,,Uncirculated,21st Century Penny and Nickel Transition Set,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
66a04b65-f60c-466f-9387-4937a0160687,,,$1,Crisp Unused,"Indian Territory Note Lutie, Oklahoma",USA,,,coins,,,American Paper Money Club Selection,Enriched from Firestore
68d1ece9-2bd2-4657-a766-a1534c7e0892,1928,,$2 Legal Tender Note,Choice Crisp,,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
6a4b0ac2-123e-42c4-9a0b-fe97ff49c7c4,2022S,,10-Coin Proof Set,ch proof 63,,US,,,coins,,,Clad Proof Set 10 coins,Enriched from Firestore
6cde1819-09ad-452d-a7f3-0ce24f67a52d,2019P,,quarter,uncirculated,,US,,,coins,,,National Park Quarters,Enriched from Firestore
6f58bdb9-cfeb-4e3e-9c23-c7c786f6f445,,,$5 Bank Note,Crisp Unused,VT Jamaica,USA,,,coins,,,West River Bank Note,Enriched from Firestore
71692645-e377-4760-b4f5-814b888016b5,1979S,,Proof/Mint Set,ch proof 63,,US,,,coins,,,Clad Proof Set 6 coins,Enriched from Firestore
71f71910-ff08-4582-90f3-7141811e53b4,2021S,,Quarter,proof,,US,,,coins,,,Washington Crossing the Delaware silver,Enriched from Firestore
729600da-8a78-457c-994f-8469dc6c27b9,2015-2024,P or D,Dime,Uncirculated,,USA,,,coins,,,USA Invoice Import,Enriched from Firestore
739baa56-197f-414a-8df1-dd40c29fdbcf,2006P,,Dollar,ch proof 63,,US,,,coins,,,"Franklin dollar commemorative ""Scientist"" no case PR63",Enriched from Firestore
7511d92d-e71d-430b-83a9-1838a8332fed,1929,,$20 Federal Reserve Bank Note,Fine,,USA,,,coins,,,Federal Reserve Bank Note,Enriched from Firestore
7610d5ee-2e66-4fe3-94cd-8b51f2c79e1a,1934,C,$10 Federal Reserve Note,Very Fine,Federal Reserve Note,USA,,,coins,,,American Paper Money Club Selection,Enriched from Firestore
