doc_id,description,denomination,type,year,friedberg,grade,cost
61bcfefd-bf62-4d10-add6-0030308a2e75,$10 National Bank Note Type 1 Newport NH $3404,$10,National Bank Note,1929,,fine #2 qual,$275.00
6253c998-455f-4f21-9d5e-b9a852edd01f,$1 Siver Certificate Eagle Large Size Star Note,$1,,1899,,very good,$495.00
64182a73-681a-4d78-ab37-1af82e70e44b,$5 Falls Village Connecticut Iton Bank (CT120G10C),$5,,1850's-1860's,,crisp unused,$907.00
673c2847-1ed3-4406-b29e-a8637fd7512a,$1silver certificate large size Eagle,$1,,1899,,choice crisp,$675.00
6a1c2e6d-08b4-4782-9862-f12a2f6110ab,$1Federal Reserve Note,$1,,1963A,,Choice Crisp,$14.00
6c8f4b81-851b-44b7-ab9d-213c28eb8395,$10 gold certificate large size,$10,Gold Certificate,1922,,very fine #2,$369.00
6d74462d-36de-45fb-bb15-cfac379602ec,$5 State of Louisiana Single Bond with red serial number,$5,,"1880""s",,crisp unused,$33.25
70481d94-aa04-4dec-b9eb-3c9936258eab,$5 National Bank Note Large size Atlanta GA Charter #5045,$5,National Bank Note,1902,,good,$269.00
727a1c07-4b0f-46c0-81e7-9123bf8a44ff,5c Gractional currency,5,,1862-1869,,very good,$97.00
72b536b4-f6da-4ce5-bb67-d83ab14d0578,State Bank of New Brunswick $1 Uncut sheet of 4,$1,,19th century,,crisp unused,$639.00
73ea66b9-1630-4572-bbce-5242c0c86389,$1Federal Reserve Note,$1,,1969B,,Choice Crisp,$13.50
793b8f3e-115e-4f9b-a70f-7c0a311c2e2e,$5Legal Tender Note,$5,,1953B,,fine,$42.50
7c7c4065-c113-4aeb-8c6b-a0321e6fbd5d,Obsolete Currency,,Obsolete Currency,1900 Century,,,$69.50
7da5e7f2-9f87-48d7-942e-9f463c499dde,$10 National Bank Note Type 1,$10,National Bank Note,1929,,good,$108.00
80ca03d0-b340-4c16-bc7f-b877a9004c98,"#10 National Bank Note Type 1 Zanesville, Ohio charter #5760",,National Bank Note,1929,,choice crisp,$375.00
848ec127-f51c-4870-b438-5e468bf5168f,$10 canal Bank New Orleans Note with Bank,$10,,1800's,,crisp unused,$85.00
8623bb2f-6d9f-4c85-88b4-eb9176f4b367,$100New York Marble Manufacturing Obsolete Bote NY 1705-024,$100,Obsolete Currency,1826,,extra fine P,$225.00
8a457305-0b05-4766-be46-f8aa48e8cc41,$10 Falls Village Iton Bank (CT120G14C) PMG EDQ63,$10,,1850's-1860's,,gem,$1701.00
8dc33722-02b1-4ed4-886c-9b65d3135c74,$5 Farmers and Merchants National Bank of Fort Branch Indiana #9077,$5,National Bank Note,1902,,Extra Fine/ABT,$2350.00
8dd18743-92d4-4843-a98a-9c4b0b5e4281,"The West River Bank Jamaica Vermont Uncut sheet of 4 ($1, $2, $3, & $5)",$1,,1850's-1860's,,about Unc,$1061.00
92fe14e6-968e-456c-a80e-b8c40d5b2325,"W-CT- 250 CT Nank of NewEngland Uncut sheet 1,1,2,5 USO 20",,,,,E Fine or Better,$268.00
949919fa-ce5d-4db2-8265-bf424c4c24fb,$10 Gold Certificate,$10,Gold Certificate,1928,,Very Good,$210.00
9934eed2-537a-42b8-87ed-9806982bd3e9,$5 National Bank Note T1,$5,National Bank Note,1929,,very fine,$187.00
a4619e29-fd5c-4e2e-812b-b26d57288f21,$5 Federal Rserve Note,$5,,1914,,good/very good,$140.00
a4970d83-0f18-47c4-b568-3343766109c6,$5 National Bank Note t1,$5,National Bank Note,1929,,very good,$123.00
a7c7b0c3-5fb5-4255-ae4e-2fa788ba24f8,$20 Gold Certificate,$20,Gold Certificate,1928,,Fine,$245.00
a8433dfe-cdef-4e97-ac88-97a27e592676,$1 Ferderal Reserve Note,$1,,1969D,,choice crisp,$14.50
ae619cb4-d90b-4bbd-9e63-56d90f24e5d7,$1 Bank of America State of Rhode Island W_RI-820-001-00108,$1,,1860,,crisp inised,$129.00
b0efe82b-310a-4286-b5ef-73084dd0bcbf,$10 State of Georgia Note From Milledgeville,$10,,1865,,crisp unused,$99.00
b448cf38-44d7-4541-a32b-ac378c67c185,$1 Fedreral Reserve Note,$1,,1963A,,choice crisp,$15.00
b79e9dcb-5626-44ce-a69d-0474e02faea1,$1 Ferderal Reserve Star Note,$1,,2003A,,choice crisp,$8.50
bb777fe7-7a21-49dd-aea3-77cbf34ef035,50 Conferate Note,,,1864,,Crisp unised,$150.00
bdd37684-5796-46b9-87b5-7240eabd21c7,$20 National Bank Note Large size third issue (Plain back),$20,National Bank Note,1902,,fine,$315.00
bf35ce79-068d-4d96-8b49-70efed55acdc,#3 West River Bank Vermont Note Jamaica,,,1850's,,crisp unused,$299.00
c0f11f40-29a8-4503-908a-5ba0d269e2c0,$1 Bamk of Windsor Vermont PMG,$1,,1830's,,gem unc-66,$129.00
c1b68828-53c5-4b9d-ab69-3eb3b636f69e,$10 Confederate Note,$10,Confederate,1864,,E Fine or BE,$96.00
c1c65d19-ea92-4829-9baf-9962bba1c97f,$5 National Bank Note Dennison Ohio charter #6843,$5,National Bank Note,1902,,very fine,$325.00
c67a200d-53e4-4f2d-8e6a-2dba272364bd,$2 Confederate Note,$2,Confederate,1864,,E. Fine or Be,$242.00
cb217e2d-811f-48ca-87be-559b82694809,$1 federal reservve note,$1,,1969B,,choice crisp,$14.95
d27ddc4f-063d-4adf-bfcd-9392e40239fa,$5 Confederate Note,$5,Confederate,1864,,crisp unused,$129.00
d3f76b10-1455-42dc-bb89-c0e3b4696ece,$5 National Bank Note large size Lewiston ME charter #330,$5,National Bank Note,1902,,fine/very Fi,$425.00
d62d2ace-b967-40e3-84aa-5f45f6edfb5c,"$10 National Bank Note Type 2 Nashua, NH charter # 1310",$10,National Bank Note,1929,,about unc 50,$536.00
d7833c80-d073-4949-94bc-c4d535d86107,$1 Silver Cerificate Large Size,$1,,1923,,Fine,$85.00
d9d75c78-21dc-4776-a872-44f8ac66dd34,5 National Bank Note Oakland Maryland #13776  V fine/EF,,National Bank Note,1929,,VF/XF,$399.00
d9d96ac1-417b-4088-96ea-7aa1f39aea10,#2 Leal Tender Star Note,,,1963,,choice crisp,$128.00
da735250-20a9-4f50-a215-6bf6728a727d,$20 Gold Certificate Large Size,$20,Gold Certificate,1922,,very good,$426.00
dbf777f4-fba3-4f66-b9a5-15fc7bfd3d90,$20 National Bank Note Large size Third Issue (Plain Back),$20,National Bank Note,1902,,Fine #2 Qual,$308.00
de0e80de-ebf3-4ac8-9998-6a87514be086,$5 Confederate Note Cut Cancelled,$5,Confederate,1861,,Circulated,$235.00
df2e6ec8-ca64-4930-afaa-76c7a55e38a4,$500 3rd Bank of the United States Philadelphia PA Haxby 3 PCGS,$500,,,,Very Fine or,$1231.00
dfea2ebd-8b66-43c8-a21a-02cc02b6aa64,$5Legal Tender Note,$5,,1953C,,fine,$42.50
eb22cb95-582b-4a94-b78e-6d81ae7cb4a8,$1 Federl Reserve Note 4 Subject Sheet with Withrow Courtsey Autograph,$1,,1999,,choice crisp,$60.00
ed88d202-b144-475a-83ac-7ae8e405b0d6,$20 National Bank Note T2,$20,National Bank Note,1929,,fine,$143.00
f282ec15-bcaf-4b7d-bdb5-297b597797aa,$10 National Bank Note Type 1 Waynesboro PA charter #11866 PMG  EPQ 64,$10,National Bank Note,1929,,unc 64 Prem,$295.00
f4189966-2354-4e73-9d3c-f67cd095b365,$1 Ferderal Reserve Note,$1,,1969B,,choice crisp,$12.95
f4aa820a-2f49-484e-987b-98fbc2a83188,7 note set West Riverbank Jamaica VT,,,1850-60's,,crisp unused,$2400.00
fa5d4adf-6e69-4904-a06f-bf0665a80a19,19th Century Obsolete Currency,,Obsolete Currency,,,,$137.00
ffb71e8c-3646-4d9e-b468-2d01b8d929d1,$1 federal reservve note,$1,,1969B,,choice crisp,$12.95
