id,Year,Mint Mark,Denomination,Condition,Theme/Subject,Country,Variety,PCGS Number
1dc6f633-98ac-4c3c-8c9b-92fc20b8302f,1940,,,Circulated,5-Coin Time Capsule Year Set,USA,,
1e3ea95e-c750-4b62-90a4-01e9eaa87404,,,multiple,,,US,,
1eb36854-333f-4af1-a9fe-8d1f00357fae,2018P,,quarter,uncirculated,,US,,
1ee8d860-c65d-4bd6-9628-626c8067d3d9,2016D,,quarter,Uncirculated,,US,,
1f4f3ec7-bc2e-45af-a216-d1867eb6c3a7,1943,,,Circulated,Time Capsule Year Set,USA,,
1f7ba50e-bc59-479d-a489-f73f0ee221e0,1953,,$5 Silver Certificate,Very Fine,Silver Certificate,USA,Interior Gutter Fold,
20608ad7-b0d3-43d7-8475-e12be0a8b35b,1935,F,$1 Silver Certificate,Crisp Uncirculated,,USA,Star Note,
213d6d81-55d3-4d29-bfcf-4929630b5a64,,,$10,MS-65,,US,,
216a48f3-cf16-4e8a-98d4-820c45e6f93f,Pending,Pending,Dime,Fine,,US,,
225eff64-3701-433c-a59e-58202bb20c05,,,$5,MS-65,,US,,
2341396f-cd47-479a-b8a6-7a478eb8dcc6,,,Five Cents,,SHIPMENT 7,USA,,
23c66695-3d0d-4269-a8f8-c93775d7e4fa,2018P,,quarter,uncirculated,,US,,
24712445-a2b9-477f-ab46-4663d5834f35,2014S,,,ch proog 63,,US,,
24a2cc34-8f52-4f1e-a33a-08ccfd681bae,1907,,$5 Legal Tender Note,Very Fine / Extremely Fine,,USA,"""PCBLIC"" Engraving Error Reverse",
26593890-b192-4809-aad1-e5b3eb53f157,2017P,,quarter,uncirculated,,US,,
26621b10-220a-40d1-b8e4-e2fece0c4d5b,2015S,,quarter,CH-Proof 63,,US,,
27653b41-f822-4107-b085-6e18a570ab8a,1964,,Year Set,Circulated,Time Capsule Year Set,USA,,
28672832-4ae2-4cb2-a564-d0dd00876425,,,$1,,Mississippi,USA,,
2903ee22-fc82-47b8-ae0a-26cb796ea815,N/A,,Nickel,Ungraded,,US,,
2956ca78-f4e5-4e23-861f-c98f6951bd6f,1953,,,Circulated,America Revisited Selection,USA,,
2a0ab362-6564-47a3-af76-b3a506f7eca7,1969,D,$1 Federal Reserve Note,Choice Crisp,Federal Reserve Note,USA,,
2a1a38e6-1fe5-43a3-91e4-287fa6483b1e,,,Five Cents,,Shipment 12,USA,,
2a1b08ea-2886-4b74-889c-8ab5ba1ab446,,,$1,,Michigan,USA,,
2a57691e-f3a9-44df-9119-435defb60f12,1976,,$2 Federal Reserve Note,Choice Crisp,Federal Reserve Note,USA,,
2a8c1216-3d15-4dfa-a282-0e5f659c65e3,1863-1867,,10C Fractional Currency,Very Fine,w/surcharge 0-63,USA,,
2b11cb2b-d8f7-4e92-aeda-09871302d46f,Multiple,,$1,Uncirculated,,US,,
2c63c6b1-9747-4ab2-983b-4fca8a52d23b,1962,,,Circulated,Time Capsule Year Set,USA,,
2e822906-c26a-4dd3-8fda-d61d10989660,1870,,,Extremely Fine,,US,,
304dd485-fe36-479a-985d-bf726fad9f17,2019,D,Native American $1 Coin,Uncirculated,Space Program,US,,
30a88fa5-4791-4d49-89bf-d40d45bc5a3e,1869,,,Extremely Fine,,US,,
3156dcf7-0338-4c27-815b-d8a33b335632,2016P,,quarter,uncirculated,,US,,
31cf4601-c9b1-4da1-bfd3-da27619c50c1,2020S,,,ch proof 63,,US,,
320e8d05-f13a-4047-a453-0f6a04544e15,,,$1,MS-65,,,,
32fd4983-6705-4e13-bc5f-05a22ef7b3db,1940-1941,S,Mixed,Average Circ,Shipment #2,USA,,
3396a17b-ded9-4c84-ad61-1b6b0dd00d5f,1885,,,Extremely Fine,,US,,
344378a4-de23-41a0-ae35-b8a5e824081c,1966,,,uncirculated,,US,,
3490d26d-6220-4cfb-8005-b7513da11070,1882,,$5 National Bank Note Large Size,Fine/Very Fine,Portland Maine Brown Back,USA,,
34b661ba-0ced-481a-8f6d-f44d6ded4f1c,1874-1876,,50C Fractional Currency,Crisp Uncirculated,,USA,,
34b77373-ec98-4e4a-8b50-e000802be978,,,,,Shipment # 2,USA,,
373ab304-8b26-4da5-be58-1f7dc1b2bdf3,1914,,$10 Federal Reserve Note,Very Fine,Large Size,USA,,
37b23c58-23ba-40eb-b648-1384be8bb707,2022,D,Various,Uncirculated,Denver Mint Panel,USA,,
37f7441e-2252-4d2d-81f4-57defce571ec,1907-2013,,Five Cents,,Shipment 11,USA,,
37f87905-4645-4276-a853-3c86b1086509,1928,A,$1 Silver Certificate,Uncirculated-64 Premium,Funnyback Star Note EPQ,USA,Star Note,
3885ba86-1c74-4024-b6d7-4ef257566ffa,2021,S,Native American $1 Coin,Proof-63,Military Service,US,,
393be615-0383-4b0d-95d6-3a9e372935df,,,Nickel,fine,,US,,
39b04e68-45a8-4b80-9c88-d0901d621e20,2021,,,Ungraded,Zitkala-Sa,US,,
3ac52092-ab2a-454d-9823-5a62daebf5c8,2018S,,,ch proog 63,,US,,
3baddf53-e57c-4280-9c12-25f6aa3935b1,2006S,,,ch proof 63,,US,,
3bd433ba-c622-4918-a7d2-1011039a0e1d,,,Five Cents,,Shipment 2,USA,,
3c5e01fb-5c60-4371-86fd-32bf0774f740,1961,,,Circulated,Time Capsule Year Set,USA,,
3c7ce9a7-8e5a-4193-bf41-aed48d3facfd,1940-1941,,Mixed,,Shipment # 3,USA,,
3c85311b-2391-4b6f-84ba-52a2cef9d096,2000S,,,ch proof 63,,US,,
3dc38d3b-56b5-4e33-bc27-2399f263ed1c,2018P,,quarter,uncirculated,,US,,
3de5494d-1597-4a58-8176-bbae2873cc92,1907,,$10 Gold Certificate,EF-45 Premium,,USA,,
3e6928de-4d41-4d5c-ac6e-d0ea4a937353,,,Five Cents,,Shipment 4,USA,,
3f9e56bf-da12-4c8e-9af4-2988ba4cec43,2019S,,quarter,uncirculated,,US,,
3fcb26fa-aa11-40e1-b403-009497ca19c3,2019S,,quarter,uncirculated,,US,,
41a697a1-2a51-4b08-a3ba-0f6ad94e230f,19th & 20th century,,Penny,extra fine,,US,,
44d81853-f14f-472d-bfb1-f6682e5a98a1,1887,,,Extremely Fine,,US,,
45088d4f-82b4-4158-977b-499ff2b3740c,2020D,,quarter,uncirculated,,US,,
4583bee5-e188-46f6-bec7-991df646c3b2,1971-78,,Dollar,unc Proog 63,,US,,
460cb844-4ddf-4190-bba6-64a916b7af94,2018P,,quarter,uncirculated,,US,,
46428d70-a128-497a-8c7a-62b8036b1404,1930,S,Decade Set,Circulated,1930's Decade Set,USA,,
470a298a-d0f9-405d-91ac-e87ea160fdeb,1928,A,$50 Federal Reserve Note,Very Fine,,USA,Series 1928A,
47a03832-f9ce-44a2-9c9e-0f97a0df62e4,1864-1869,,5C Fractional Currency,Choice AU-58,,USA,,
47ac9913-3be2-4934-88f0-c9e88e48a010,1964-2012,,,MS60,,US,,
48109f69-6f91-4acb-9d8d-2b05dfe969e6,,,,uncirculated,,US,,
48b0b256-c74e-4dde-9cea-09a88fa30af2,1963,,,Circulated,5-Coin Time Capsule Year Set,USA,,
4a2a1631-38fe-44e7-bb88-12d38fbd2c5c,1952,,,Circulated,5-Coin Time Capsule Year Set,USA,,
4b608086-063a-4f7e-870b-14538d71d791,1883,,,very ch unc,,US,,
4b8a2d7e-29d9-4616-853a-0cd69e8acec0,1867,,,Extremely Fine,,US,,
4d7dcedd-9637-44ff-b833-d42b40be151d,,,,Ungraded,,,,
4d8ba60a-47fe-43e0-94c7-6cb2b2127622,1960,,,Circulated,America Revisited Selection,USA,,
4dd5b864-fd8c-4e4b-9a9e-d94b9ee5e074,,,,,Shipment # 4,USA,,
4f0396fa-cd5d-44a7-8e22-c62d716bcb6f,1778,,$50 Continental Currency,Fine,,USA,,
4f0fb657-0640-495a-a4e0-b4ccb16f1f01,,D,Morgan Silver Dollar,Ungraded,,US,,
4fd69601-e1c2-4be9-895a-e2c4de974695,2016P,,quarter,Uncirculated,,US,,
50587c4e-9fb7-4f8b-a078-8faab1a69c9c,2018-20,,,uncirculated,,US,,
50fd7f72-4416-4779-be91-5ca3b5d82381,1972S,,,ch proof 63,,US,,
5178b172-48fb-4240-8dd0-12b58429e5f8,1935,,$1 Silver Certificate,Crisp Uncirculated,,USA,,
51d275d7-fa78-4e27-986f-b7350d8c9b78,1899,,$1 Silver Certificate,AU58 Premium,Eagle Large Size,USA,,
522797ed-82cc-4ca2-937a-d92fd312f778,1954,,5-Coin Set,Circulated,Time Capsule Year Set,USA,,
52dd36ca-9026-4ea6-b9c1-362bda67fa6d,1937,,,Circulated,5-Coin Time Capsule Year Set,USA,,
530211bf-d177-40a1-b84c-e759d045103b,2021S,,,ch proof 63,,US,,
53595b63-0b7c-4715-9c24-e324de3aeb17,1983,S,Mixed (Proof Set),Ch Proof-63,,US,,
537b08c8-95c6-4311-9599-fbd96fe5f16c,1916-1920,,,,,US,,
53e3ba95-7b25-47a7-bbf2-bb5bdf1c5e2a,,P,Barber Quarter,Ungraded,,US,,
53e6fb84-74c2-4e7d-b461-e3ab60d47038,1959,,5-Coin Set,Circulated,Time Capsule Year Set,USA,,
55f1bafd-dd46-49ae-b130-d833ce46445e,1942,,Various,Circulated,1942 Year Set,USA,,
5620bc6b-1206-486f-bbae-5b4bec6fca5f,1978S,,,ch proog 63,,US,,
56965cd9-fcd6-4110-9db1-1de8bd398505,2003S,,,ch proof 63,,US,,
572a6433-b6e3-4a40-9218-4a24f69e2f0c,2023,P,,Uncirculated,Philadelphia Mint Panel,USA,,
576da6a9-dc09-4896-8bdf-ee66f690a3e5,1874,,,Extremely Fine,,US,,
594aaaef-70f6-4d77-8443-4da736df9153,1996S,,,ch proof 63,,US,,
5a7b24ac-e282-4cbc-bd2f-576f3c33bff1,1968-98,,Quarter,Ungraded,,,,
5a8135fd-a9c0-4de5-88bd-ec1313c6d3c5,1941,,,Circulated,Time Capsule Year Set,USA,,
5ac17b5e-244d-43ca-9c19-89a8e637c473,2016S,,quarter,Uncirculated,,US,,
5b0e227f-48f5-455f-826f-7369743e0373,1942-1943,S,Mixed,,Shipment # 6,USA,,
5b13cbdc-6cb4-4595-91e7-65475ff4e52a,1961,,5-Coin Set,Circulated,,USA,,
5b577912-33ec-48fe-ab70-3453d830a725,1947,,,Circulated,5-Coin Time Capsule Year Set,USA,,
5b64a7b3-3b7f-4f75-b234-ab1daf966b28,2024,P,,Uncirculated,Philadelphia Mint Panel,USA,,
5be92e3b-a928-4835-8625-a7d2fd8e3c5c,,,$1,,Alabama,USA,,
5bfd2a89-7bbd-4f78-b828-a88e574e340a,1998S,,,ch proof 63,,US,,
5c67ea8b-eed0-4e3f-a00d-caa7a1d68a66,1918,,$1 Federal Reserve Bank Note,Crisp Uncirculated,Large Size,USA,,
5c8412e8-1bc6-48ab-8d58-73438a51be06,,,,Ungraded,Eleanor Roosevelt,US,,
5c8bd99f-cdbc-40bf-9f0e-d20747f0c685,1942,,Birth Year Set,,1942 Birth Year Coin and Silver Commemorative Set,USA,,
5c8d8ba5-cf98-44a2-b9a4-a2b723a08d15,1905,,,Good,,US,,
5cfd9020-ef60-4a9c-b8e8-6ccfc4eb1b45,2005S,,,ch proof 63,,US,,
5da7c607-ca11-483f-802f-54f73e8fef93,,,$1,,Maine,USA,,
5de66bea-05b5-4c3c-9ce4-620689d8852b,1968S,,,ch proof 63,,US,,
5edb5533-83a1-42df-bb53-9db4a7292f2c,,,,,Shipment # 3,USA,,
5f29df5a-a99a-44ae-9fa3-8307e4a22613,,,,,Shipment # 2,USA,,
5fa0d24f-5c00-4c06-ac82-08cdb9df3c79,1776,,$1/6 Continental Currency,Circulated,,USA,,
611b2815-02c1-4daa-83d0-43b2230d530c,1942,,,Circulated,5-Coin Time Capsule Year Set,USA,,
6160361d-1478-40e5-aa04-3982e43ffaae,1899,,$1 Silver Certificate,Very Fine,Large Size Eagle,USA,,
622ee8e1-ac75-41a1-a5bb-cc0312a7f5d4,1955,,,Circulated,Time Capsule Year Set,USA,,
63698d2f-c0f4-447f-ae9d-169733515d85,1942,,,,Shipment #4,USA,,
641893e0-fbc0-40d8-a290-024aa4ec2726,1884,,,Very Fine,,US,,
65596277-cdc8-4be1-86ea-2eaf31870b66,1939,,,Circulated,Time Capsule Year Set,USA,,
65b471d0-a182-4cd5-971b-f2121e93898d,,,Nickel,,,US,,
66337686-4b68-4879-8a72-92c3f1bc1aff,,,,Uncirculated,21st Century Penny and Nickel Transition Set,USA,,
66a04b65-f60c-466f-9387-4937a0160687,,,$1,Crisp Unused,"Indian Territory Note Lutie, Oklahoma",USA,,
68d1ece9-2bd2-4657-a766-a1534c7e0892,1928,,$2 Legal Tender Note,Choice Crisp,,USA,,
6a4b0ac2-123e-42c4-9a0b-fe97ff49c7c4,2022S,,,ch proof 63,,US,,
6cde1819-09ad-452d-a7f3-0ce24f67a52d,2019P,,quarter,uncirculated,,US,,
6f58bdb9-cfeb-4e3e-9c23-c7c786f6f445,,,$5 Bank Note,Crisp Unused,VT Jamaica,USA,,
71692645-e377-4760-b4f5-814b888016b5,1979S,,,ch proof 63,,US,,
71f71910-ff08-4582-90f3-7141811e53b4,2021S,,,proof,,US,,
729600da-8a78-457c-994f-8469dc6c27b9,2015-2024,P or D,Dime,Uncirculated,,USA,,
739baa56-197f-414a-8df1-dd40c29fdbcf,2006P,,Dollar,ch proof 63,,US,,
7511d92d-e71d-430b-83a9-1838a8332fed,1929,,$20 Federal Reserve Bank Note,Fine,,USA,,
7610d5ee-2e66-4fe3-94cd-8b51f2c79e1a,1934,C,$10 Federal Reserve Note,Very Fine,Federal Reserve Note,USA,,
7669c6c6-d6cf-42fd-971c-2ee266812015,1907,,$5 Legal Tender Note Large Size,Fine/Very Fine,Legal Tender Note,USA,,
767bca45-aabb-46ea-ac10-14c94118134c,2007S,,,ch proof 63,,US,,
769de267-4b57-4805-b9dd-a3b17040b77e,2010-2021,,,Uncirculated,,USA,,
775483fd-f96c-42ba-80f0-eaa25023a0a3,1863-1867,,25C Fractional Currency,Unc-64 Premium,,USA,EPQ,
782d600f-041e-4d29-bb2f-819205fe4260,2009,,,,,US,,
79183f43-2e88-430d-bf52-144b56257e8a,1889,,,Extremely Fine,,US,,
7abcb158-4b0e-4b23-8150-4d3c8376412e,2020S,,Quarter,ch proof 63,,US,,
7afa9416-4e1e-45c6-9c86-242716e90e3e,2013S,,,ch proof 63,,US,,
7c9c1f09-38f4-4ee7-a2f6-63bfdbf428d6,1921,"P, D, S",$1,MS-65,,US,,
7d33a2ce-c0cd-40d8-a2d3-906cc80617cd,2006S,,,ch proof 63,,US,,
7d3495f3-d1eb-4878-b6df-042d5ceae5d1,1934,A,$100 Federal Reserve Note,Fine,,USA,Series 1934A,
7d47d5d4-95c7-4161-a62a-25614c5adf85,1934,A,$10 Silver Certificate,Unc-66 Prem,Yellow Seal BA Block,USA,,
7d9660cf-9b6d-4bda-9cc8-65cb3c14b901,1944,,,Circulated,Time Capsule Year Set,USA,,
7dcba4e6-d9d5-4698-a630-9c0adf868090,1890,,,Average Circulated,,US,,
7e07d8a3-0260-4e10-8a0d-fa30667096f9,1939,,5-Coin Set,Circulated,Time Capsule Year Set,USA,,
7e3abe35-fdfa-4c10-9d38-760794c784e2,2020P,,quarter,uncirculated,,US,,
7f19e971-5b6b-48f3-846d-3fef79b2616e,1936,,,Circulated,Time Capsule Year Set,USA,,
7f961fc0-f591-4646-af9e-622649a567a0,2019P,,quarter,uncirculated,,US,,
807bd1ea-d0ae-4b16-8ead-3a8da252b6f9,1943,D,,,World War II,USA,,
80aa32b3-2227-4faf-b490-e1bc2dc4fc27,1943-46,,Penny,average circ,,US,,
80bdf654-7187-46cd-8b29-025af073c16d,1971S,,,ch proog 63,,US,,
810449e9-409a-4e40-b185-211ab9af083a,1885,CC,multiple,,,US,,
81d0ccc0-0ebd-44e7-a644-7ff7ce9cc5f7,,,$1,Ungraded,Celia Cruz,US,,
81e326be-ff2e-4239-8214-649fbbd6471c,1957,,,Circulated,5-Coin Time Capsule Year Set,USA,,
83203916-5509-47aa-9131-d639ba17ed4e,2013S,,,ch proof 63,,US,,
8350fb79-863f-4242-acc4-b04f359ba426,1910-2005,,Five Cents,,Shipment 10,USA,,
83ba22b0-4bb3-43cf-8560-d27e65a694bd,2015S,,,ch proof 63,,US,,
83bd153d-6845-4b6a-8386-8cdf15cdccc6,,,Dollar,,Texas,USA,,
85b79947-de6f-4222-8dba-edb3c9fe7fd3,,,,uncirculated,,US,,
85da41ca-de40-4ce6-bc57-960f60b15fcb,1912-1992,,Five Cents,,Shipment 12,USA,,
8621db5f-243f-4509-b3ad-1aea83370e18,1934,,$1 Silver Certificate,Fine,Funnyback,USA,Star Note,
86f060d8-d0b1-4df9-8f13-ec6b4cc54718,1927-2004,,Five Cents,,Shipment 4,USA,,
86f24f51-1fec-4171-8292-25028cc2f274,1870,,,Fine,,US,,
8882aed7-ea7b-4281-a4cc-5c876589a58f,,,Dime,Average Circulated,,,,
89330453-b34b-480e-a63d-408f807293d7,1882,,$5 National Bank Note,Fine/Very Fine,Large Size Portland Maine Brown Back,USA,,
8cc01cf4-2b46-43ee-8d87-fc48fc37c9e3,,,,,Eisenhower Dollar and Stamp,USA,,
8ddeca4d-31b2-4d8e-91e5-24f8ffd7600d,1902-2009,,Five Cents,,Shipment 18,USA,,
8e1ee2d0-4c16-4763-9b8f-c728c2216855,1877,,,Good,,US,,
8e499d3c-48b2-439d-9f82-b1dee89a73f0,1891,,$1 Treasury Note,Fine 15,Large Size,USA,,
8e5737da-a9a8-46cb-a14a-3387122def34,1886,,,Fine,,US,,
8fb30fc1-8a61-48c6-bd35-e5511ad31798,1987S,,Dollar,,,US,,
913843cd-501f-4313-99ea-0cee59036aa3,1956,,,Circulated,5-Coin Time Capsule Year Set,USA,,
91a7135e-d1a7-42b6-a244-d6908dde8dab,1909,,,Average Circulated,,US,,
925e6556-54c6-41fd-b303-d0aac5db7bb8,,,,63,,US,,
92b05314-f3e3-469d-b058-bbf4a8a5433b,1872,,,Very Good,,US,,
95bde4b8-f5d8-4999-a102-5e9ee61a9fc3,1873,,,Extremely Fine,,US,,
9628ad20-f869-4d70-94ad-5118180aabf0,,,$5 West River Bank Note,Crisp Unused,VT Jamaica,USA,,
977e9860-69e8-4068-9cde-d98d991c1837,1894,,,Very Fine,,US,,
982eca4c-8d07-447e-bbda-176c20c39e93,1934,A,$500 Federal Reserve Note,Fine,Federal Reserve Note,USA,,
9831e233-1a10-498e-b3e6-7208c1f37bd5,,,Five Cents,,SHIPMENT 8,USA,,
99046f2e-7d32-4957-acce-01f8e46399dc,1995S,,,ch proog 63,,US,,
99b9b27b-9926-4c39-99e8-849c73a561d8,1990,,Prestige Proof Set,Choice Proof-63,Eisenhower Centennial,USA,,
9caa9df1-62be-476f-8b8c-934eb78e89f1,1948,,,Circulated,Time Capsule Year Set,USA,,
9d8a41ed-ea68-43e9-a7fe-41dbc704e5b7,,,Five Cents,,Shipment 13,USA,,
9e308217-3d57-4fd1-bfeb-c6e7d9d7fe57,1935,C,$1 Silver Certificate,Fine,,USA,,
9e9cc96d-e1e0-401a-b2db-3f4d324696b6,1980S,,,ch proog 63,,US,,
9eb832ea-ac12-4742-9cc0-bb0fbb45fabe,1878,,,About Uncirculated,,US,,
9f000dc4-7c43-4c56-afa4-3508e636581e,2018S,,quarter,uncirculated,,US,,
a006457e-bf96-40bd-9064-fa201321cf34,2018D,,quarter,uncirculated,,US,,
a1637fdd-11b7-4447-9c6b-7971e9cce64d,,,,,American Independence,USA,,
a21f8395-029b-4251-831b-fd5f955d8ee3,1934,,,Circulated,5-Coin Time Capsule Year Set,USA,,
a22ec360-35e4-463b-885b-6e28b53ca8c8,2019S,,quarter,uncirculated,,US,,
a309093b-e598-420a-a268-b7a45fae02ff,2018S,,,uncirculated,,US,,
a34d398d-792c-40b8-a35e-4cb895462543,2001S,,,ch proog 63,,US,,
a37b736b-7e6b-4cd4-a3b0-ccbac9381941,2020P,,quarter,uncirculated,,US,,
a51a5054-788f-457f-b29f-54d787de7acc,1982S,,,ch proog 63,,US,,
a6356219-98a3-4f2c-90c8-d51f06d8973b,1936,,Mixed,Circulated,5-Coin Year Set,USA,,
a71c2853-651f-44ec-90d4-36d0e8014b84,,,$500 3rd Bank of the United States,Fine 15,Philadelphia PA Haxby 3-G14,USA,,
a7e2f803-1ccd-46ea-a7c1-7be33f4ee08b,1981S,,,ch proof 63,,US,,
a7f0264e-5327-4164-a1ad-1242ec1d129f,,,,Ungraded,,US,,
aa9be0fd-f8a2-439b-8408-e3611bc85909,,,$1,,Texas,USA,,
aba9c78e-dd1f-4c6d-b141-5ad291ffdebe,1956,,5-Coin Set,Circulated,,USA,,
abde55bf-a51a-49be-a344-303d271e3cf1,2021P,,,uncirculated,,US,,
ac023324-941d-4407-9ba6-823f7cf84f94,2018-20,,,uncirculated,,US,,
ac6bb748-b5e9-46e2-b37f-06c67b56bb20,1977S,,,ch proog 63,,US,,
acdfa271-9d92-428f-8625-8d7d2adf08ac,2018-20,,,circulated,,US,,
ad75b6a4-88e7-46e8-b6fd-df50a0b957a2,2019P,,quarter,uncirculated,,US,,
ae6dd0e8-5f2c-4a49-9b70-01f05e35c9d4,,,,,Shipment # 7,USA,,
ae6e1169-6e44-4504-beb0-31d437f08bd7,,,$1,,Arkansas,USA,,
b25c8741-0651-4791-91d7-bcc644100337,,,Dollar,,Arkansas,USA,,
b2cffe39-88c2-4dd6-b09b-cff247e99883,2009S,,,ch proof 63,,US,,
b3adf0c3-5c6b-4a65-892a-accf5bc3c813,2002S,,,ch proof 63,,US,,
b4024931-11e2-4f84-b297-c30293873752,,,Dime,average circ,,US,,
b4c8ee37-1d97-4ff3-a9ff-98a7d39265db,Multiple,,Multiple,Ungraded,"Morgan silver dollars (7 1883 coins, 5 1884 coins, 8 1885O coins)",,,
b4ed25aa-ce68-4fd5-a7d8-b4b997d144dd,1908,S,,Very Good,,US,,
b63a6b75-4fe3-41fc-a5d2-0bb2110745bf,,,$1,,Missouri,USA,,
b7b05393-971d-481a-90d7-b5e889b287d4,1951,,5-Coin Set,Circulated,,USA,,
b80b5d47-6147-445e-83a8-c40c2e096903,1893,,,Average Circulated,,US,,
b89c6024-4454-4083-9719-4fc235300fed,1907,,$5 Legal Tender Note,Fine/Very Fine,Large Size,USA,,
b97b09d3-c61a-482b-9311-63cf8cbeac7f,2008S,,,ch proof 63,,US,,
bb8e982d-39b5-4616-bcce-6d5f283be3de,,,$500,Fine 15,3rd Bank of the United States Philadelphia PA,USA,Haxby 3-G14,
bc6487c3-baef-4e4b-b789-59802b29d672,1967,,,uncirculated,,US,,
bd3ae2cc-9632-4b12-8f98-d27455af431e,1941-45,,,average circ,,US,,
be97654e-f07d-4c4d-aeca-43523b4e3d3b,,,Dollar,Ungraded,,US,,
bf4154b9-1542-420e-b20e-3a0b11340ad3,1963,A,$1 Federal Reserve Note,Crisp Uncirculated,Federal Reserve Note,USA,,
c02e6065-8e88-46a7-b1f0-f79714c14ae5,,D,Dime,Uncirculated,,US,,
c0699946-4625-46ef-ad1e-32dec04f60f9,2004S,,,ch proog 63,,US,,
c0f3e041-8454-47f0-9a23-2b4b7f745cbf,1937-2004,,Five Cents,,Shipment 1,USA,,
c10f3083-3a74-4996-99eb-bf897215636d,1963,,$1 Federal Reserve Note,Crisp Uncirculated,Federal Reserve Note,USA,,
