priority,flag,coin_id,year,program,denomination,mint_mark,condition,cost,quantity,description,personal_notes,source_file,question_for_AJ
1,Possible CURRENCY — should be in currency collection,b29e3734-1142-4765-b0bd-31a85865e9a3,1905,Barber Dimes,Barber Silver Dimes,S,Average Circulated,$22.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,d3c04415-fbfa-48cf-a184-e8e1c51ea153,1905,Barber Dimes,Barber Silver Dimes,P,Good,$23.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,77a005b6-2b89-489d-9995-d085a24512d8,1906,Barber Dimes,Barber Silver Dimes,P,Very Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,ddb214f0-c93a-4c62-bd88-e841df64e8d5,1906,Barber Dimes,Barber Silver Dimes,D,Average Circulated,$21.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,094a1155-bafe-4a8d-8a9c-b0238b8cd6c3,1907,Barber Dimes,Barber Silver Dimes,O,Average Circulated,$24.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,321139d1-3f1f-4202-8116-be3cadf01f6d,1907,Barber Dimes,Barber Silver Dimes,P,Good,$22.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,d9174e4b-b73b-4a2e-ac44-c9a0abc55ec0,1908,Barber Dimes,Barber Silver Dimes,P,Very Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,e8736fe8-20ff-4313-a6f8-240580b16a9f,1908,Barber Dimes,Barber Silver Dimes,D,Very Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,24c4cb97-aacd-42f2-8ec9-edcee04f6013,1909,Barber Dimes,Dime,P,Very Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,6be4f6df-c090-4e06-b972-f74ba1c11975,1910,Barber Dimes,Dime,D,Fine,$26.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,733a8c33-66d7-49bc-871d-42ae6b469f50,1910,Barber Dimes,Barber Silver Dimes,P,Very Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,09b67b4f-28ec-4c2f-ad22-e0a2d0c0b89f,1911,Barber Dimes,Barber Silver Dimes,P,Good,$16.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,3beb3978-b129-49d9-95e9-f085ba5f4122,1911,Barber Dimes,Barber Silver Dimes,D,Very Good,$18.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,8a42c290-5d18-44b1-8581-64faaa2de24b,1911,Barber Dimes,Dime,D,,$0.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f0196f02-8321-4db8-b136-36624f366c11,1911,Barber Dimes,Barber Silver Dimes,S,Good,$24.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,025d67c8-4c84-4db5-baa4-d7a8e7fafc64,1912,Barber Dimes,Barber Silver Dimes,D,Good,$16.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,22f7b0bd-bbab-4659-b240-75d9f8c2156e,1912,Barber Dimes,Barber Silver Dimes,P,Very Good,$17.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,2c68f0d4-86af-42d1-862e-9907fe01a488,1912,Barber Dimes,Dime,S,Good,$22.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,dd525b4e-3c3c-4662-9f89-2e0a6441b27c,1912,Barber Dimes,Barber Silver Dimes,P,Average Circulated,$19.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,2cb78b7e-871f-439e-bbc6-09d41790ab5b,1913,Barber Dimes,Barber Silver Dimes,P,Very Good,$14.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,ecd7c033-f1ec-4c33-8c97-8019612b984a,1913,Barber Dimes,Barber Silver Dimes,S,Fine,$267.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,37757e3c-42d8-411a-aeed-6615db5a9f84,1914,Barber Dimes,Barber Silver Dimes,D,Very Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,740a3560-421e-45ea-a580-2cba2aaad907,1914,Barber Dimes,Barber Silver Dimes,S,Very Good,$27.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,ee95f948-9d05-4d20-b767-925f6606683e,1914,Barber Dimes,Barber Silver Dimes,P,Fine,$28.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,0c9fc9c8-139f-4bf0-855f-b4c82aa796a5,1915,Barber Dimes,Dime,P,Very Good,$26.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,7a3827d0-27e0-4245-a3a1-94558f59f067,1915,Barber Dimes,Barber Silver Dimes,S,Very Good,$46.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,0cfab2fa-0247-4da2-bc64-f2c801675b7f,1916,Barber Dimes,Dime,S,Good,$22.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,a5986126-b11d-4884-8b7b-4d97d6a54d3e,1916,Barber Dimes,Barber Silver Dimes,P,Fine,$28.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,216a48f3-cf16-4e8a-98d4-820c45e6f93f,Pending,Barber Series,Dime,Pending,Fine,$235.00,1,,Variety noted (specific type not detailed).,,
1,Year is a range '11914-16' — which specific year(s)?,ed7ca15b-e10b-4f6a-bdc4-2e3ab23c394b,11914-16,Buffalo Nickel 3 coin mint set,,,average circ,points,1,Buffalo Nickel 3 coin mint set,,miscellaneous purchases.xlsx,
1,SET with Qty=2 — needs individual coin breakdown,d160cd11-15a8-48b3-8d3e-32c6326f920e,1937,Buffalo Nickel Series,Nickel,,Very Fine,$0.00,2,,,gs://studio-9101802118-8c9a8-uploads/invoices/e28d8a64-fa39-489b-b0c3-d356c132b097_1769970708_Scan_20260128 (13).pdf,
1,Year is a range '2018-20' — which specific year(s)?,ac023324-941d-4407-9ba6-823f7cf84f94,2018-20,Complete 50 Native American Quarters and folder,,,uncirculated,$259.00,1,Complete 50 Native American Quarters and folder,,miscellaneous purchases.xlsx,
1,Year is a range '1971-78' — which specific year(s)?,4583bee5-e188-46f6-bec7-991df646c3b2,1971-78,Eisenhower Dollar set 16 coins with lbum,,,unc Proog 63,points,1,Eisenhower Dollar set 16 coins with lbum,,miscellaneous purchases.xlsx,
1,Possible CURRENCY — should be in currency collection,c88df2f6-830f-4246-8dea-db43d5c47c42,,George Washimgtom Coin Note and stamp set,,,,$29.95,1,George Washimgtom Coin Note and stamp set,,miscellaneous purchases.xlsx,
1,SET with Qty=5 — needs individual coin breakdown,4ee8b016-5897-44a7-aef8-c549cc88cd98,1897,Indian Head Cent,Penny,,Average Circulated,$42.50,5,,Set of 5 Indian Head Cents with years ranging from 1897-1907,,
1,SET with Qty=12 — needs individual coin breakdown,7c55bbbc-56b3-466f-be78-c7169272c46f,1897,Indian Head Cent,Penny,,Good,$99.00,12,,"Indian Head Cent Set with album, 12 coins, covering years 18",,
1,Year is a range '1964-2012' — which specific year(s)?,47ac9913-3be2-4934-88f0-c9e88e48a010,1964-2012,Kennedy 50 cent year set  48 coins including 2005 coin,,,MS60,$450.00,1,Kennedy 50 cent year set  48 coins including 2005 coin,,miscellaneous purchases.xlsx,
1,Possible CURRENCY — should be in currency collection,83368242-b01f-48ca-a15f-39f9d7000615,1864,Kennedy Half Dollar,Kennedy Half Dollar,,Proof-63 Cameo,$42.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,3bdb6eb5-bb5e-41bd-a4fd-67d39e6fd76b,1964,Kennedy Half Dollar,Kennedy Half Dollar,,Uncirculated,$38.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,61646bdd-f232-4600-ae29-c8509e64c30a,1968,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$23.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,595279c1-d8fa-40fa-9587-07479daa8911,1969,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$22.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,098160b4-4aa6-44ee-9300-8832098e8d1a,1970,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$43.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f92adfad-da58-469c-a3e4-6fa0a662af74,1970,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$25.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,bfd58d2b-a748-4884-b72a-e096f4e2e2da,1971,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$9.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,4198d208-a2dd-4ac7-a69e-025dc3857289,1972,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$11.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,7e8eec0c-c520-4c64-ba80-735ad8925cbe,1972,Kennedy Half Dollar,Kennedy Half Dollar,,Uncirculated,$6.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,9882135d-1823-4ed3-aa8e-90f1e857f0b4,1973,Kennedy Half Dollar,Kennedy Half Dollar,,Uncirculated,$6.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,a6bb9331-11eb-420e-98a8-adac945f14d7,1973,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$4.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,236a963d-50c6-4c09-bd2b-63fda33c072a,1974,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$4.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,76839cf3-a9f4-405a-926f-cdb8e1ca164b,1974,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$6.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,b33aa09e-8e58-41c4-984a-622f297cb604,1975,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$8.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,6ba9abfa-f3d2-4965-85f9-fc9d44612e8e,1976,Kennedy Half Dollar,Kennedy Half Dollar,S,Uncirculated,$17.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,a1f431c3-57ff-42d8-b84b-acb22e48917f,1977,Kennedy Half Dollar,Kennedy Half Dollar,,Uncirculated,$5.25,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,939ec0ee-633e-4ae9-9d46-f3b610ce0615,1978,Kennedy Half Dollar,Kennedy Half Dollar,,Uncirculated,$7.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,b9d43be8-f541-4833-afdd-ec8a6a589e1c,1978,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$6.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f06fd46f-869a-4fe2-bd00-9c5ef5de5bd7,1978,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$9.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,042783eb-301e-429f-9982-e9f5d4bc3688,1979,Kennedy Half Dollar,Kennedy Half Dollar,,Uncirculated,$4.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,04954a65-0be9-46a8-a115-5e33e72adf3a,1980,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$6.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,150a2445-dc2b-4f08-b595-122f4203866c,1980,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$4.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,0351a721-1c56-4157-8070-5932da0ae16b,1982,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$25.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,a18cbcc2-258b-4ad6-b4f9-3135b6384684,1982,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$7.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,e5ccd297-b5b9-40f3-abb2-79149ee1c3b5,1982,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$19.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,65006940-bc73-4ffe-b7ca-9254ae7b9f00,1983,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$16.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,a357f6d1-7487-499e-8630-d359184c4ee4,1983,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$19.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,baa64fe4-4fd8-4db0-8381-d92e40a7933e,1983,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$9.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,353f7e79-5f5e-4881-8f9b-2d9f8d96a4ea,1984,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$15.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f29c140a-2ec6-4505-ac46-9f469c80f2e1,1984,Kennedy Half Dollar,Kennedy Half Dollar,O,Uncirculated,$5.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,dd481c39-5cdb-42b6-8fa7-3a1db4f279de,1986,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$13.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f23610ab-40cb-4fe8-bdeb-8545a0ac4f63,1986,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$15.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,491b3864-3319-432a-812b-ebe3aed3c2ec,1987,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$10.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,a0f912a9-27bf-40dd-a9d6-afcfb2cd843c,1987,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$9.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,59172075-8df1-4301-a14e-6d020fff15e2,1988,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$12.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,1752bdce-5b01-45e7-aa2e-a7cb51d79bb0,1989,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$5.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,9c917a21-ab9f-4b36-8baa-cc9afe671101,1989,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$7.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,3ca085d9-dfde-4881-bb76-c88d0087d959,1990,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$6.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,680e7262-26c2-4028-b19a-090e1692ffb4,1991,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$8.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,3b74bc80-80c2-462a-b9a5-d0f40acec985,1992,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$48.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,08b08f44-5f9c-4232-8dca-43cc930e1646,1993,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$58.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,97141782-34b3-4ecf-bd76-37a8d4e4c9d8,1993,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$4.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,4d9525fd-bce7-4d90-9ea1-ceaf1ce6cb72,1994,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$65.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f568babf-7f08-4342-a455-d47e29e87ad2,1994,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$4.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,35d67a7b-87ec-4791-8ab9-b4c73947ca17,1995,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$53.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,adef800d-48b4-43c4-82a2-7b9273471da1,1996,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$5.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,fac01f18-9ec0-4bbc-b437-07796ca45df5,1996,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$25.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,770e81a0-e3f8-4864-b962-2942941a80a4,1997,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$56.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,1f4f85cb-9d67-402d-9949-c5c8af0bf8d3,1998,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$34.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,d2f978e3-3418-45d7-b01e-7322aa376b6d,1998,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$6.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,3c38c571-25ee-4b37-ad3c-9b113c3cf618,1999,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$78.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,39520341-c049-4558-a7dd-60ae0d5b78a0,2000,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$8.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,bb810877-b233-49be-abd4-2a41310dbb95,2000,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$8.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,ad479072-d76a-43b3-9aac-d37f35b2020f,2001,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$56.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,663641dc-13d7-4c51-a357-33aa49d78f9f,2002,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$5.25,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,b3c86ff8-d948-45fb-b29e-259934d9d4f0,2002,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63,$48.00,1,,PR63 noted in description,,
1,Possible CURRENCY — should be in currency collection,71482ba2-702a-4bfb-8fc9-8a726eee2323,2003,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$48.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,554c8405-40cd-45e9-b313-3c1e919f4468,2004,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$25.00,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,19461371-cb45-48a4-9b96-01da1ddf1267,2005,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$56.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,557c539d-83fc-465b-a14a-b78339cd70f5,2005,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$4.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f3650b48-a76c-4fcc-9f5e-59aa060a51fa,2006,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$30.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,aa39f65b-254c-41d2-89b7-ba3c3b698fd1,2007,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$56.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,d36b351a-f556-426f-8eca-334e12a3ab41,2008,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$5.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,e858823c-90e1-4278-8770-c7e27322e77f,2008,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$56.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,d4a12f7f-f784-4b7c-80d2-080bd695e106,2009,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$47.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,b58610e7-0813-4333-bebd-7bb1ec13c5a3,2010,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$42.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,719e8387-94b0-48a5-b0d6-feab0cf4126f,2011,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$18.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f28e7611-5da4-452a-8d60-6201aac8a1e3,2013,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$30.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,56c1782c-4fea-4286-803b-16200c92fe6a,2015,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$5.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,c11cf2c4-9ebb-4d4c-a2be-37d61330f5d7,2015,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$1.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f7b2bf64-b511-4e25-8a6b-a526ef220332,2015,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$1.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,71b08e78-b8f9-4f96-891e-6548e24ac0d0,2016,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$5.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,a27431cd-0d8d-4028-9215-18c66800014a,2016,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$1.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,f32cd5bd-877d-46e5-b7d2-18ba6d83a20c,2016,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$1.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,fbeb7fcb-43cd-4b1f-9802-a2f3f9e50fd2,2016,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$26.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,14bc9446-de8e-4391-932a-fc87cc817fe5,2017,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$5.75,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,35551020-fdfd-4961-bda3-c2a282a2b86d,2017,Kennedy Half Dollar,Kennedy Half Dollar,S,Proof-63 Cameo,$26.50,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,7ae9d565-4a30-4c56-bfff-57569cf78862,2017,Kennedy Half Dollar,Kennedy Half Dollar,D,Uncirculated,$1.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,86bcbcd7-9e5f-4192-a1be-927e87172bb9,2017,Kennedy Half Dollar,Kennedy Half Dollar,P,Uncirculated,$1.95,1,,Notes,,
1,Possible CURRENCY — should be in currency collection,dfc03870-3ee1-4846-884c-fd4b6bdec396,2004,Kennedy Half Dollar Series,Kennedy Half Dollar,S,Choice Proof 63,$48.00,1,,PR63 noted in description,,
1,Year is a range '1936-38' — which specific year(s)?,0e48a7da-5939-45cb-a1bd-3d31bb35ce97,1936-38,Last seven Buffalo Nickels,,,genuine or B,$47.50,1,Last seven Buffalo Nickels,,miscellaneous purchases.xlsx,
1,Possible CURRENCY — should be in currency collection,9bc88edf-d8b5-4785-9a69-34570fa689f5,1906,Liberty Head Nickel,Nickel,,About Good,$8.75,1,,Quality noted as 'average rc'. 'AG' (About Good) assigned ba,,
1,SET with Qty=15 — needs individual coin breakdown,229a5c32-8b00-4920-86cb-eaa95e5e0a15,N/A,Liberty Head Nickel,Nickel,,Ungraded,$159.00,15,,Lot of 15 coins from the 1883-1912 Liberty Head Nickel serie,,
1,SET with Qty=15 — needs individual coin breakdown,2903ee22-fc82-47b8-ae0a-26cb796ea815,N/A,Liberty Head Nickel,Nickel,,Ungraded,$168.00,15,,Lot of 15 coins from the 1883-1912 Liberty Head Nickel serie,,
1,Possible CURRENCY — should be in currency collection,09bcd5e1-759c-4570-8fba-8b2a87a8379a,1853,Liberty Seated Silver Dime,Dime,,Fine,$495.00,1,,No arrows variety; condition noted as fine/very F1,,
1,Possible CURRENCY — should be in currency collection,9785460a-5903-46cc-9754-cbe45338dd6d,1887,Liberty Walking Half Dollar,Half Dollar,P,Extremely Fine,$49.50,1,,Note: Year 1887 is inconsistent with 'Liberty Walking Half D,,
1,Possible CURRENCY — should be in currency collection,b0a58589-9b79-4fb4-9cf1-d12660ef231c,1889,Liberty Walking Half Dollar,Half Dollar,P,Extremely Fine,$36.00,1,,Note: Year 1889 is inconsistent with 'Liberty Walking Half D,,
