doc_id,description,denomination_parsed,series_year_parsed,type_parsed,issuer_parsed
1fd6da68-d96f-4183-95b7-dfe5ea094e09,$2 Legal Tender Note,$2,,Legal Tender Note,
20999425-4077-4887-9ff0-e819dceb3086,$10 National bank note large size plainback,$10,,National Bank Note,
21131bc4-b62d-4243-8fdb-e3155aeefbb7,$5 egal Tender Note,$5,,,
225340ee-e21d-433e-8b0c-0ac83414bbe9,National Bank Note Type 1 Beatrice NE charter #2357,,,National Bank Note,
257a0f1b-5f4c-4a9b-8d2d-2e2c745d4157,$5 Confederate Note,$5,,Confederate,
25b98a47-09f2-4bc8-a75c-42e85a1345a2,10C Fractional currency,10,,Fractional Currency,
262f5088-541a-4192-bf5c-05338eb37873,$20 Federal Reserve Note Hawaii,$20,,Federal Reserve Note,
26c67b3a-23c9-4148-b3a1-e1841e83ca5a,$10 Federal Reserve Note arge size,$10,,Federal Reserve Note,
2703275c-04a1-402f-95b6-fefa991973a4,$1 Legal Tender Note Large Size,$1,,Legal Tender Note,
28a51acd-4908-4f61-aab6-4ed308a65d17,$5 Federal Reserve Star Note,$5,,,
299ef9a9-97e9-4721-9f57-1582a48fb36b,$20 Gold Certificate Latge size,$20,,Gold Certificate,
29b89ec5-170a-4a04-b038-03b555639b2d,$10 Silver Certificate,$10,,Silver Certificate,
2a21b798-9aaa-4802-a1bf-789dbd959b71,$1 silver certificate,$1,,Silver Certificate,
2a8bb3b5-9ec5-48b1-bc24-35c506b4cbc1,$2 Legal Tender Star Note,$2,,Legal Tender Note,
2ba2e6f7-ebbc-43d3-a279-f38bce0b66c4,$1 Federal Reserve Star Note,$1,,,
2ba8c63d-566a-424f-8616-15af3dc51390,$40 continental currency,$40,,,
2cc5cf72-2f53-4046-9b93-4665f8199bc1,$1 Federal Reserve Note,$1,,Federal Reserve Note,
2cfcc7b7-7afb-4618-b45c-612bcf7c4024,15C Fractional Currency,15,,Fractional Currency,
2e44c61a-c88f-4f92-9455-bf39d18e7af4,$2 Legal Tender Star Note,$2,,Legal Tender Note,
2ea45a00-908d-477b-8eeb-20a127ae6db2,$500 confederate note PMG,$500,,Confederate,
2ff4b0dc-2b94-4ff1-a6c5-a88b3a8155b2,$10 legal tender Note Bison,$10,,Legal Tender Note,
30e04d0e-972c-4d2e-815b-ae4fcd6b24f2,$1 Farmers Bank of Bucks County Bank Note Hulmeville PA (181-Teen's),$1,,,
329298f6-ecd7-46d7-9bae-026b3b559451,50C Fractional Currency PMG EPQ CHUNC 63,50,,Fractional Currency,
3370b2ba-7f9d-4750-8128-620d0cfd21f3,$2 Federal reserve Note first day of issue with stemp,$2,,Federal Reserve Note,
35843f61-f70a-4517-a683-14e542e84053,$1 Federal Reserve Note,$1,,Federal Reserve Note,
3705fe86-132c-4542-a00c-0ebe2962fbe1,$1 Silver Certificate large size Educational,$1,,Silver Certificate,
38295d75-d028-40fb-b736-d8a947189328,$5 Legal Tender Note,$5,,Legal Tender Note,
382cf23c-b60d-4bff-8b1e-f0f96b1b1c60,$10 Federal Reserve Note,$10,,Federal Reserve Note,
38dbe211-2888-425d-aedb-c62756996087,$1 Silver Certificate Funnyback,$1,,Silver Certificate,
38f79268-6312-4e7b-9080-7f146190c0fc,$2 Confederate Note,$2,,Confederate,
3905a42b-53b9-4d07-8299-27a4f9d3e62b,$1 Silver Certificate Funnyback,$1,,Silver Certificate,
396a98c6-24d0-4208-b348-c13498690c49,ilver Certificate Large Size,,,,
39deb9dc-fc84-48bb-bf80-bc338472ab25,$5 Legal Tender Note Large Size,$5,,Legal Tender Note,
39e15347-e2eb-4af6-a621-fa3650e9dbe4,"$5, $10, and $20  Farmer's Bank of Kentucky three note set",$5,,,
3a267b43-b7f1-4f5e-a9b0-6845fb611870,$1 Silver Certificate Funnyback,$1,,Silver Certificate,
3b8f8399-1d73-42f7-882e-d540b977ac0f,$20 Confedwrate Note,$20,,,
3bcee5ba-02a3-4636-98c0-483765d25b48,$10 silver certificate,$10,,Silver Certificate,
3c649910-6e54-4d7b-9e71-b2919979a92d,$10 Silver Certificate,$10,,Silver Certificate,
3cb72c6a-9ca1-40a6-aab3-9fbbe4cfdf1a,$10 Federal Reserve Note,$10,,Federal Reserve Note,
3d3f7001-af69-47f2-b347-6c4137abda1b,10 Silver Certificate Yellow Seal BA Block PMG EPQ65,,,Silver Certificate,
3ec35374-d5ed-4f0a-b123-d151089c441d,$20 Confederate Note,$20,,Confederate,
3f6c909c-2825-4cfc-9ed0-db18c7bdd83d,$2 Federal Reserve Note,$2,,Federal Reserve Note,
3fb23610-e584-4ef7-8f49-936a54a99398,10 Silver Certificate Star Note,,,Silver Certificate,
3fc92f3a-55ce-4894-87de-a03ff6648030,$2 Legal Tender note,$2,,Legal Tender Note,
3fe512dc-0f10-47c7-9316-c963487db94c,$1 Federal Reserve Star Note,$1,,,
4087d404-6155-4e83-be53-4532d4be65f1,$1 federal reserve Note,$1,,Federal Reserve Note,
411ec589-ae64-49e9-98d7-516fff2e64a2,$1 Silver Certificate large size PCGS  PPQ66 2 consecutive serial #s (FR237),$1,,Silver Certificate,
4132586e-7905-4f23-a102-b4c6a08d92c6,$20 Federal Reserve Note,$20,,Federal Reserve Note,
417a6cce-7799-48a1-8538-966248dbf53c,$1 silver cert star note,$1,,Silver Certificate,
41e83d61-5845-4448-a2c0-faec23cca8a2,$2 Federal Reserve Note,$2,,Federal Reserve Note,
425945a6-d082-4c8f-aefc-d03c4fa95ad0,$2 Legal Tender Note,$2,,Legal Tender Note,
425e75fa-21a2-413f-aa8b-e0ac6e7b4c09,$1Federal Reserve Note,$1,,,
42ae44e7-3673-49e4-a611-c5ffd2a173f6,$5 National Bank Note T2,$5,,National Bank Note,
42ee64e9-7340-4c66-854f-b727c3579570,$2 Silver Certificate Largensize Educational,$2,,Silver Certificate,
433f9c5d-223d-4ba4-b6b7-df2be99957f0,"$5 Ledal Tender Note ""PCBLIC"" Engraving error Reverse",$5,,Error Note,
44c4dbbf-eddd-4f94-a78c-b86b61577d73,$5 Federal Reserve Note,$5,,Federal Reserve Note,
44fc8897-4d07-414d-b660-e31cf4ed449d,$1 Federal Reserve Star Note,$1,,,
454d69cb-d53d-4630-87be-19f2be04fa80,$1 silver certificate larhe size educational,$1,,Silver Certificate,
463e04af-d451-4206-84a1-8041a347d174,$1 Silver Certificate Star Note,$1,,Silver Certificate,
472fe365-3508-437a-8b4f-e86e10dea664,$50 gold certificate large size,$50,,Gold Certificate,
4744c145-d6eb-4137-991d-f08b152fe47a,$1 federal reserve  note,$1,,Federal Reserve Note,
48ca39e0-9e3b-4f38-9a66-987f6cb3875f,$2 Federal Reserve Note - 1st Date of Issue with Stamp,$2,,Federal Reserve Note,
4920074b-5bb5-4e9a-b2f8-26927c564083,$5 National bank notr,$5,,National Bank Note,
498b1b5f-45e3-42c5-be38-4cbc3efea64d,$10 Federal Reserve Note,$10,,Federal Reserve Note,
4aac02fd-b73a-4048-891c-1e4eec816c54,$20 Federal Reserve Note,$20,,Federal Reserve Note,
4ca0b227-da9f-47a7-8c7d-8f884abb4efa,$1 Federal Reserve Star Note,$1,,,
4d73a2d7-19ee-4baa-88d6-d34c1c809a4e,$1 Federal Reserve Note,$1,,Federal Reserve Note,
4d74ac8d-d73c-4ba7-a787-63d80a3531c4,$20 National Bank Note T1,$20,,National Bank Note,
4dabb022-435d-4c22-bd5e-37fb1cac6bb1,$2 Federal Reserve Note,$2,,Federal Reserve Note,
4db3fb0a-6b24-42b4-8d9a-da61e1edad16,$1 Legal Tender Note large size PCGS,$1,,Legal Tender Note,
4e095c3d-e10a-46aa-ad6b-4b95196879c9,$20 Federal Reserve Red Seal Note Large size,$20,,,
507f4608-e353-44e7-92eb-af1de7b69d99,1 Federal Reserve Note,,,Federal Reserve Note,
51617d29-1663-49cb-ac07-d37d01fc8dab,2 Continental Currency,,,,
5244942c-f0e4-4bed-a0ab-d8de37c55bcd,10C Fractional Currency,10,,Fractional Currency,
52a3f15d-84ac-42cf-8393-c51f9bf7277f,$1 Silver Certificate,$1,,Silver Certificate,
52b37bdf-b876-47ef-904a-db30ee5eff6e,$5 National Bank Note Large size Bronkville PA charter #3051,$5,,National Bank Note,
53a95a8f-86ff-449f-912e-d0178b2ae9cc,1$ Federal Reserve Star Note,,,,
53f2d258-d5ad-4dca-b1e5-a1949cc60935,$100 Confederate Note,$100,,Confederate,
542578a1-c29a-41bd-bec4-425eac6d5e1d,$5 Legal Tender Note,$5,,Legal Tender Note,
54cce273-e8b3-4f2d-a2f1-8903f8ca5fef,$1 federal reserve Note,$1,,Federal Reserve Note,
5594e24b-556f-4eb9-a37e-ad8f80c1bfe7,10C Fractional currency,10,,Fractional Currency,
5615c7fc-25e8-410d-9807-79d794bf7cfe,$1 Federal Reserve Note,$1,,Federal Reserve Note,
579c33da-3c39-4488-87b7-656dd128bf2a,$100 Confederate Note,$100,,Confederate,
57ac3665-0dc3-4bc2-9984-56b14541d9c9,$1 Silver Certificate,$1,,Silver Certificate,
57d6d7d3-6422-4208-a397-9910da623526,$2 Federal Reserve Note 1st day of issue with stamp,$2,,Federal Reserve Note,
57de6f90-cbe5-4471-b2c4-03fd8ed805ea,$1 Legal Tender Note Funny Back,$1,,Legal Tender Note,
587ea6ab-87fe-443f-b219-f3bd8ef0f690,$1 Silver Certificate Large size PCGS PPQ63 2 consecutive #s (FR238),$1,,Silver Certificate,
588e615b-f9df-4cea-ae32-762ba042a9f8,$1 Federal Reserve Note,$1,,Federal Reserve Note,
591341bb-4e48-432f-8df1-2850b7d321ef,$1 Legal Tender Note Large Size,$1,,Legal Tender Note,
59f0965f-0126-463f-a86b-ad5b847fbd8f,$1Federal Reserve Note,$1,,,
5aa08b79-11af-4fda-b36f-3d3add60886d,$1 Silver Cerificate Large Size Eagle,$1,,,
5be37438-84eb-40db-8aca-8bf56f624dc0,$1 Federal Reserve Binary Radar Note,$1,,,
5c213b63-dceb-4ed7-95b0-7d34c7a88b8b,$5 Federal Reserve Bank Note,$5,,Federal Reserve Bank Note,
5c7a805d-ca39-4cd1-95d9-110fbe46c100,$10 Fereral Reserve Bank Note,$10,,,
5c8d9883-6aa3-4cf2-aea7-9630adfe1260,$5 National Bank Note Large size third issue (Plain back),$5,,National Bank Note,
5d491a05-d21c-496a-aeca-84916f2c72db,$2 legal tender note,$2,,Legal Tender Note,
5d4f37e3-026b-4af1-8c0d-e841fd64c08b,"Union County Bank of Plainfield NJ (2) $1, $2, $3 uncut sgeet of 4",$1,,,
5da6f840-f718-438d-8da5-0d79b222c5c7,$1 Federal Reserve Note,$1,,Federal Reserve Note,
5db38a87-41d9-45fb-a5c8-c5b8c0436672,$1Federal Reserve Note,$1,,,
5e2abea1-9fbc-4e1c-8f86-9ade1bcb1829,$5 Federal Reserve Note,$5,,Federal Reserve Note,
5ebc8a7c-f4bc-4abc-9f45-470538d9e377,$5 Federal Reserve Binary Repeated Note,$5,,,
5f4694e5-8396-4fa9-a5fe-88cad22bcf9c,Federal Reserve Note Hawaii LB Block PMG,,,Federal Reserve Note,
6004dcd6-634e-4cc0-ba5e-41542ae84226,$20 Federal Reserve Bank Note,$20,,Federal Reserve Bank Note,
6009ee2d-d8dd-4c20-98ac-b0b2c53f4788,$5 National Bank Note Type 1 Honolulu HI Charter #5550,$5,,National Bank Note,
61bcfefd-bf62-4d10-add6-0030308a2e75,$10 National Bank Note Type 1 Newport NH $3404,$10,,National Bank Note,
61c6df36-dde6-49b0-89e7-beae9aef4c22,$1 Federal Reserve Star Note,$1,,,
6237c14b-50d7-42ad-bd87-13a521ebbc4b,$5 Federal Reserve Star Note,$5,,,
6253c998-455f-4f21-9d5e-b9a852edd01f,$1 Siver Certificate Eagle Large Size Star Note,$1,,,
6270e28f-43e0-4fbe-aa9a-c87966e98a58,$2 Federal Reserve Star Note,$2,,,
639f2928-9b75-4237-a310-bcbe5d92dc94,$2 Legal Tender Note Large Size,$2,,Legal Tender Note,
64182a73-681a-4d78-ab37-1af82e70e44b,$5 Falls Village Connecticut Iton Bank (CT120G10C),$5,,,
646c999c-2492-4b7e-87ba-9895a1d2eb30,$1 Federal Reserve Star Note,$1,,,
653fc0f5-ad69-4ba3-b3f6-4f68e4b58157,$1 Federal Reserve Note,$1,,Federal Reserve Note,
65819e0b-14ce-4941-aaeb-726ab07aaea8,$5 Silver Certificate,$5,,Silver Certificate,
670d2624-2ec4-4eee-b1e3-361df0a947d5,$1 Federal Reserve Star Note,$1,,,
673c2847-1ed3-4406-b29e-a8637fd7512a,$1silver certificate large size Eagle,$1,,,
6751ef19-bbd9-4e35-8390-765d6cd8f255,$1 Federal Reserve Star Note,$1,,,
676c6a20-014d-484b-90d1-a63db856ce33,10C Fractional Currency,10,,Fractional Currency,
68b0d5e1-d993-4aca-bf79-61b7f3d0989b,10C Fractional Currency,10,,Fractional Currency,
698a8687-8ba9-444a-a5d0-ec15bd8bd95c,$2 federal reserve note first day of issue with stemp,$2,,Federal Reserve Note,
69a7acfb-a845-4af4-8913-72f39479323a,$20 Federal Reserve Note Lg.Sz,$20,,Federal Reserve Note,
6a1c2e6d-08b4-4782-9862-f12a2f6110ab,$1Federal Reserve Note,$1,,,
6bcd4e92-f7d0-44cf-9344-6bbb4da340aa,$1 Federal Reserve Note,$1,,Federal Reserve Note,
6c58710e-52f8-415c-8d6e-5c46884aef32,$1 Federal Reserve Note,$1,,Federal Reserve Note,
6c8f4b81-851b-44b7-ab9d-213c28eb8395,$10 gold certificate large size,$10,,Gold Certificate,
6cad1a04-6b0d-4826-b6d2-2b0a54faf2b8,$1 Federal Reserve Star Note,$1,,,
6d74462d-36de-45fb-bb15-cfac379602ec,$5 State of Louisiana Single Bond with red serial number,$5,,,
6f21b915-7899-404f-8ff4-4456f0ecc032,$5 Legal Tender Star Note,$5,,Legal Tender Note,
6f8e56f2-d103-4626-801b-39ca6a12623c,$5 Legal Tender Star Note,$5,,Legal Tender Note,
70481d94-aa04-4dec-b9eb-3c9936258eab,$5 National Bank Note Large size Atlanta GA Charter #5045,$5,,National Bank Note,
714ac8a9-a2f5-4504-b67f-15f480e2815b,$10 Silver Certificate,$10,,Silver Certificate,
71981b7b-fd61-4843-ac3e-905d79663bc9,$1 federal reserve note,$1,,Federal Reserve Note,
723c3c09-d901-487e-ac28-e860ec08d1c8,$1 Federal Reserve Split Quads Note,$1,,,
724ddaf4-b9ab-4d48-ba20-5ed6908778ef,$1 Silver Certificate,$1,,Silver Certificate,
727a1c07-4b0f-46c0-81e7-9123bf8a44ff,5c Gractional currency,5,,,
72b536b4-f6da-4ce5-bb67-d83ab14d0578,State Bank of New Brunswick $1 Uncut sheet of 4,$1,,,
72d31b0c-433a-497e-9823-068a848d91ba,$2 Federal Reserve Bank Note Large size,$2,,Federal Reserve Bank Note,
72dd4025-dc06-4d6e-9f6e-f540d58f978c,$1 Federal Reserve Note,$1,,Federal Reserve Note,
736e295f-fb3e-4dd9-9cfe-5c70d5bae1ee,$1 Federal Reserve Star Note,$1,,,
73ea66b9-1630-4572-bbce-5242c0c86389,$1Federal Reserve Note,$1,,,
7498dc89-e0cf-458f-a1ec-88a4a15fff55,Hawaii and Yellow Seal Silver certificate Set,,,Silver Certificate,
75313ed3-3b32-4fe1-b8b7-ab79a2b9c251,$5 legal tender note,$5,,Legal Tender Note,
761917c7-3508-49b8-ab5b-aa552204f1a6,25C Fractional Currency,25,,Fractional Currency,
76d98c8f-9d98-4a84-887a-278ee8381ab1,$1 Federal Reserve Binary Repeater Note,$1,,,
76e16bf9-d317-4548-9051-13a3eb00fd89,$1 federal reserve star note,$1,,,
78964ea8-f910-4c99-aad1-09b056a5da87,$1 Federal Reserve Note,$1,,Federal Reserve Note,
793b8f3e-115e-4f9b-a70f-7c0a311c2e2e,$5Legal Tender Note,$5,,,
7bae5024-e8eb-49e3-9bef-dd692676dced,$1 Federal Reserve Star Note,$1,,,
7bf39641-6a05-4ab3-b713-6d23bf5e3bb1,$10 silver certificate,$10,,Silver Certificate,
7c284f7d-dfb5-459e-bdcb-1ffc5dd0de4b,$1 Federal Reserve Star Note,$1,,,
7c7c4065-c113-4aeb-8c6b-a0321e6fbd5d,Obsolete Currency,,,,
7d4afa4b-1995-438e-94f8-1ca6074194e2,$2 Legal Tender Note,$2,,Legal Tender Note,
7da5e7f2-9f87-48d7-942e-9f463c499dde,$10 National Bank Note Type 1,$10,,National Bank Note,
7f6a8a62-63f0-4554-8e91-d94f242b5b2d,$1 silver certificate large size Three consecutive Serial Numbers (FR237),$1,,Silver Certificate,
80ca03d0-b340-4c16-bc7f-b877a9004c98,"#10 National Bank Note Type 1 Zanesville, Ohio charter #5760",,,National Bank Note,
82830af1-ae4b-43f9-9f3d-f3e72c0da18f,$1 Federal Reserve Star Note,$1,,,
82f1cccd-23c1-4c70-9a77-a733ab04a3db,$5 Legal Tender Note Large Size,$5,,Legal Tender Note,
83d00497-0d52-4dc3-aab1-0bd191285a02,$1 Federal Reserve Note,$1,,Federal Reserve Note,
841d190b-01de-43b8-8f5d-b1d496eebe7d,$20 Federal Reserve Note small size DD Block Inverted Back error FR1978 PMG,$20,,Federal Reserve Note,
8462ba93-c72d-4dcd-971f-de0ddbb1b509,$!  Military Payment certificate,,,,
846f58f9-9736-4a9a-ac44-ce27f9447595,$2 Legal Tender Note,$2,,Legal Tender Note,
84847e94-c510-461e-826f-6f97148d1307,$2 Federal reserve Note,$2,,Federal Reserve Note,
848ec127-f51c-4870-b438-5e468bf5168f,$10 canal Bank New Orleans Note with Bank,$10,,,
858bd0d0-3c85-468c-9644-87d89aa75e0e,$2 federal reserve Note,$2,,Federal Reserve Note,
8623bb2f-6d9f-4c85-88b4-eb9176f4b367,$100New York Marble Manufacturing Obsolete Bote NY 1705-024,$100,1705,,
8686be42-0159-48d8-a923-e341cfc7f342,$2 Silver Certicate large size,$2,,Silver Certificate,
87189b96-278e-43de-8a20-efe597886f50,$1 silver certificate large size eagle,$1,,Silver Certificate,
8a12443b-5e5b-4035-be63-cfbdf7277e86,$1 Federal Reserve Star Note,$1,,,
8a457305-0b05-4766-be46-f8aa48e8cc41,$10 Falls Village Iton Bank (CT120G14C) PMG EDQ63,$10,,,
8a6d31c3-865b-4455-b7d1-4319ea7d7254,WWII Hawaii & Yellow Seal Silver Cert. Set,,,Silver Certificate,
8a91b37c-d7e6-465a-b9e3-c9e1f39e3914,$1 Federal Reserve Star Note,$1,,,
8b79528a-719b-4fe4-a526-8fe4225a5bc0,$1 Federal Reserve Radar Note,$1,,,
8b809532-3fcf-4940-a2ff-f5bfc749d709,$5 Legal Tender Note,$5,,Legal Tender Note,
8c02cf6c-7cd7-423f-99e6-bc934e8bf4de,$1 Treasury Note Large size,$1,,Treasury Note,
8d727753-884c-4a40-af67-e33df1c4fbab,$5 Silver Certificate,$5,,Silver Certificate,
8dc33722-02b1-4ed4-886c-9b65d3135c74,$5 Farmers and Merchants National Bank of Fort Branch Indiana #9077,$5,,National Bank Note,
8dd18743-92d4-4843-a98a-9c4b0b5e4281,"The West River Bank Jamaica Vermont Uncut sheet of 4 ($1, $2, $3, & $5)",$1,,,
8e0ac89a-d7be-4587-bc28-35b153ee841b,5 Legal Tender Note,,,Legal Tender Note,
8e566f52-1849-4925-820f-566c9c658513,$1 Federal Reserve Note,$1,,Federal Reserve Note,
8fe20fb4-3ae9-45c1-9a44-c2d18c4156bb,$10 Silver Certificate,$10,,Silver Certificate,
90a93666-7791-4085-8ebb-6e3df9e90ef8,"$1 Federal Reserve Note - New York ""911"" serial number",$1,,Federal Reserve Note,
90dc83e8-3467-43bf-86b3-695b2192a197,$10 silver certificate Star note,$10,,Silver Certificate,
90dfb6b0-23ba-46b2-8ed0-cec8357721d8,$1 Federal Reserve Note,$1,,Federal Reserve Note,
92a5779f-f1fc-4908-973f-f0d742366a31,$50 Federal Reserve Note Large Size,$50,,Federal Reserve Note,
92b098d0-a20c-43bf-96d8-530355c6e2aa,$1 federal reserve star note,$1,,,
92fe14e6-968e-456c-a80e-b8c40d5b2325,"W-CT- 250 CT Nank of NewEngland Uncut sheet 1,1,2,5 USO 20",,,,
931605ae-2aa6-4b1d-a87a-98a6b32307a1,$10 Legal Tender Note Large Size,$10,,Legal Tender Note,
949919fa-ce5d-4db2-8265-bf424c4c24fb,$10 Gold Certificate,$10,,Gold Certificate,
94ea8b99-f9c1-43f4-b1cf-2a9083cec95e,$1 Silver Certificate,$1,,Silver Certificate,
9506c607-310c-4b9c-896c-1b5dc0f3720b,$1 Federal Reserve Star Note,$1,,,
98681453-46f4-48ab-adcf-caef5796358e,$1 Federal Reserve Quad Center Radar note,$1,,,
99237bf6-b21c-433c-9ad3-262c2f6cb150,$5 Military Payment Certificate,$5,,,
9934eed2-537a-42b8-87ed-9806982bd3e9,$5 National Bank Note T1,$5,,National Bank Note,
997f2950-8bda-4d90-a8ec-06b33a37e063,$10 Silver Certificate,$10,,Silver Certificate,
99b043be-b979-44b5-8014-96fc88985f8b,$1 federal reserve Note,$1,,Federal Reserve Note,
99d9085e-2896-427e-950a-f9e94b2e2939,$5 Silver Certificate,$5,,Silver Certificate,
9a1a7689-e753-4199-9db8-ea4d90ecc18d,$5 Federal Reserve Note,$5,,Federal Reserve Note,
9a1cf314-9cab-4f8e-8fb6-581fb59b81ea,$1 Federal Reserve Star Note,$1,,,
9b09ff02-81c1-46c6-9c2f-b53ffa8bf53f,$5 Legal Tender Star Note,$5,,Legal Tender Note,
9e7414d5-6ba0-4a67-b153-97d8f1d0d311,$5 Silver Certificate,$5,,Silver Certificate,
9eadf37c-a7ae-4630-8723-6bc2ab77629e,$1 silver ceertificate Large size educational,$1,,Silver Certificate,
9f7e5d43-c246-4c5b-9eed-12bfc40a3949,$2 Legal Tender Note Large Size,$2,,Legal Tender Note,
9fafab17-5eeb-478b-9935-156a8b525f08,$1 Federal Reserve Note,$1,,Federal Reserve Note,
a178a481-fdbd-4aa4-9814-8c9e98e53863,$5 Federal Reserve Note Hawaii,$5,,Federal Reserve Note,
a22becee-0cbd-459b-a3c1-cf8e321d9707,$10 Federal Reserve Note,$10,,Federal Reserve Note,
a305e205-af44-460e-8d98-54e1ebd3891a,$20 Federal Reserve Note Hawaii,$20,,Federal Reserve Note,
a410eb60-daf4-4f6f-826b-25943ac6a4e4,$1 Silver Certificate,$1,,Silver Certificate,
a42c9fcc-fb3e-4d31-b0c2-089594b46a16,$2 legal tender note,$2,,Legal Tender Note,
a4619e29-fd5c-4e2e-812b-b26d57288f21,$5 Federal Rserve Note,$5,,,
a4970d83-0f18-47c4-b568-3343766109c6,$5 National Bank Note t1,$5,,National Bank Note,
a590dc39-caf4-4854-b91f-587fd022c0c4,$1 Federal Reserve Note,$1,,Federal Reserve Note,
a5b47d85-cc8f-4b1a-9d16-0b4abb40e69e,$1 Federal Reserve Note,$1,,Federal Reserve Note,
a66cf39b-a92b-4c9e-8228-5804bd2f1e83,$1 silver certicate,$1,,Silver Certificate,
a71f5749-c9ea-4fa3-8b82-59238b7e9c19,50C Fractional currency,50,,Fractional Currency,
