year,mint,series,name,denom,est_value,index_key,coin_id
2000S,,State and Territory Quarters,Quarter,Quarter,Pending,,01fc4a2a-b688-4346-b821-70e5766671a2
2015P,,Roosevelt Dimes,Dime,Dime,Pending,,020dc9cd-7274-435b-8cc3-74c878ede964
1819,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,0228b3c9-7819-4d43-b7ac-a41ee5206345
1838,,Coronet Head Large Cent,Penny,Penny,Pending,,022afaf3-ed23-4438-8c74-367d12971cab
2016P,,Presidential Dollars,1,1,Pending,,025d43fc-1ba2-4b7c-a1a2-02e8a7f2bc6d
2007D,,State and Territory Quarters,Quarter,Quarter,Pending,,0262c3ba-ff61-408c-8e36-9b89b03987cd
1924,,Lincoln Wheat Cent,Penny,Penny,Pending,,026384a0-8178-45bb-a817-beb1adb2c873
2015,D,America the Beautiful Quarters,Quarter,Quarter,Pending,,028baac3-1ae7-4103-ba2c-4bf7baf81fe1
2021,P,Native American Dollar Series,Native American Dollar,Native American Dollar,Pending,,0290aba9-e88a-4e35-9efe-7d3ea779efc6
2004,S,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,0292753a-f249-48b1-a7dc-bee0c167b0a0
1864,O,Liberty Seated,Half Dollar,Half Dollar,Pending,,02b81895-c48a-4998-8b67-abc6787939f1
1957,,Lincoln Head Cent,Penny,Penny,Pending,,02c44141-c07f-411c-84e0-b78fc40a8679
2018,D,National Park Quarters,Quarter,Quarter,Pending,,02dee8e0-e443-4da0-9e3c-5102ffcfc6dc
1976S,,Roosevelt Dimes,Dime,Dime,Pending,,02e88fd5-f3b4-4c0e-b249-36d5835d3726
2022,P,Native American Dollar,1 Dollar,1 Dollar,Pending,,0315369f-a8b5-4518-b137-4a9d5ea73ff9
1972,D,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,0328c217-7311-4fd0-8dfc-2598d23ec605
1972,S,Eisenhower Dollar,Dollar,Dollar,Pending,,03368cca-ca64-4136-880f-eb79343fa80e
2014P,,Roosevelt Dimes,Dime,Dime,Pending,,033fd7af-bb33-4867-991c-ea4c7dbe0f6c
2013,,Lincoln Cent Series,Penny,Penny,Pending,,034270f3-8db9-4576-889f-e90b5ec58504
2001D,,Roosevelt Dimes,Dime,Dime,Pending,,035b2081-765d-48b5-aa7b-96d768179d5c
2000S,,State and Territory Quarters,Quarter,Quarter,Pending,,0361606e-d790-4ee5-9f6b-f4bf5459cf03
1992,,American Eagle,Dollar,Dollar,Pending,,0391fb3c-2971-4e49-919a-3d1c6ae92ce1
2003P,,State and Territory Quarters,Quarter,Quarter,Pending,,039caf76-d82d-4bd3-b275-b8daa6550df4
1925,,Buffalo Nickel,Nickel,Nickel,Pending,,03b000ab-6b06-4f5f-9065-4d6b0d219088
1963,D,,Dime,Dime,Pending,,03c8fc5c-c3c5-46d1-ab72-47713cbe1289
1974S,,Washington Silver Quarter,Quarter,Quarter,Pending,,03f05e3f-fea9-4291-bfc1-6b37b0956c62
1849,O,Liberty Seated,Half Dollar,Half Dollar,Pending,,040ab6db-378a-4e36-aff7-ee12f6cfc6c2
1997S,,Washington Silver Quarter,Quarter,Quarter,Pending,,040dbb75-ca27-49b8-9340-3d8c67eed861
1979,,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,042783eb-301e-429f-9982-e9f5d4bc3688
1951,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,0461d3a7-06ef-4f40-ba45-1dfa5bb89e24
1938,D,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,047a6fd4-c186-4f9d-b5b5-98d28c6370af
1930,,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,0484d4e3-8679-4c9c-8a9d-5298fe0a1eef
1900,O/CC,Morgan Silver Dollar,Dollar,Dollar,Pending,,04876333-ae18-45be-92aa-5b891ebe44dc
1980,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,04954a65-0be9-46a8-a115-5e33e72adf3a
1914,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,04afc157-35ff-4962-bb32-879858f54a47
2022,D,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,04c0a01a-463d-406d-991f-c7033a5be601
1957,D,Lincoln Cent,Penny,Penny,Pending,,04cdb343-2a74-49b2-94c6-5568e09cd40f
1829,,Capped Bust,Nickel,Nickel,Pending,,04ce9a3f-6541-435c-a7a9-9c9f61a43d24
2024,,,Lincoln Cent,Lincoln Cent,Pending,,04cec483-c64f-4873-b423-f7779b2ea634
2001S,,State and Territory Quarters,Quarter,Quarter,Pending,,04d29224-14f1-45af-a02a-28d6b290ac65
2024,W,American Silver Eagle,Dollar,Dollar,Pending,,04d755b7-4772-4440-a6b2-dc071327c360
2018,D,America the Beautiful Quarters,Quarter,Quarter,Pending,,04ebba68-168d-4d42-9b83-99e2834d9da5
1962,,Roosevelt Dimes,Dime,Dime,Pending,,04fa8a2b-1f99-4c62-af04-1b7a33bf2c0f
1897,O,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,052a2b6b-26ef-4c0a-b22e-5de56eaa9003
1998,P,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,0555d26a-d746-4bab-af7d-aa3848bf78fc
1892,S,Morgan Silver Dollar,1,1,Pending,,056790d9-97b7-481a-984a-9fcaf9ea4174
1979S,,Washington Silver Quarter,Quarter,Quarter,Pending,,05bbede0-c0ac-4d99-b0e8-7b0213f9341a
2019,W,Destination silver eagle signed by Tom Cleveland,1,1,Pending,,05e24b62-a3a9-4fb9-b1fa-5e6c671aae1e
1920,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,060ae0b0-47ff-4b39-a517-50638aafa6aa
2012,S,National Park Quarters,Quarter,Quarter,Pending,,063ce872-f0b7-4c7d-9736-c90c2718c8a4
1958,,Washington Silver Quarter,Quarter,Quarter,Pending,,064a2644-04ac-4a4f-baf0-3507b54f2985
1840,O,Seated Liberty Half Dollar,Seated Liberty Silver Half Dollar,Seated Liberty Silver Half Dollar,Pending,,064e838a-57a5-4182-8414-5b859f4c7502
1827,,Capped Bust Dime,Capped Bust Silver Dime,Capped Bust Silver Dime,Pending,,0675bf13-ed9e-4fc2-b09d-7c81cd94ed9a
1881,CC,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,069072ab-8e57-4f3b-a74f-aa08a78b80a5
1872,S,,Nickel,Nickel,Pending,,06a59662-67b3-4882-9fef-2ad8e6fbf439
1907,O,Barber,Half Dollar,Half Dollar,Pending,,06ab5f2c-3a56-466d-9f76-d3639e3bdd17
2004D,,State and Territory Quarters,Quarter,Quarter,Pending,,06ab9d59-59bb-40b5-9e17-671e46c05dab
1830,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,06ad0831-cbb6-4013-8729-9cd6fe719eaf
2013,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,06bef47f-31b0-4364-968a-f9ea1c9a2e2a
2016,D,Lincoln Shield Cent,Penny,Penny,Pending,,06c2e073-7364-46d8-879c-158c1327f557
1921,S,Lincoln Cent,Penny,Penny,Pending,,06cf3236-39ea-47c7-a0cc-65f10923ef7c
2017,D,National Park Quarters,Quarter,Quarter,Pending,,06ee208a-0c09-435a-86d8-c177187be309
1973,D,Eisenhower Dollar,Dollar,Dollar,Pending,,06f087dd-e2d0-45d4-af45-1658ee22b9a9
2004,D,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,07296777-b838-4573-b9ac-cf2ef123ee31
1935,,Washington Silver Quarter,Quarter,Quarter,Pending,,0734eace-1bff-4190-a5ff-b9aa3a88ca9c
2023,P,U.S. Innovation Dollar Program,U.S. Innovation Dollar,U.S. Innovation Dollar,Pending,,0772deaf-946d-4ffa-adce-6bdbf66b5d80
1973,S,Eisenhower Dollar,Dollar,Dollar,Pending,,077931ce-b10c-4c80-8e4f-b0e52335a759
2015,S,National Park Quarters,Quarter,Quarter,Pending,,07995067-a080-4db4-a0fc-a12873c2b3f8
1846,O,Liberty Seated,Half Dollar,Half Dollar,Pending,,07b952d2-a867-4c50-a8f1-c0b61eedaed7
1883,CC,Morgan Silver Dollar,Morgan Silver Dollar,Morgan Silver Dollar,Pending,,07bb1599-7e3d-4b44-8aba-bd6d6ce8f6c2
2012S,,Presidential Dollars,1,1,Pending,,0800eb55-bdad-498a-9f93-438745e1cd18
1877,S,Trade Dollar,1 Dollar,1 Dollar,Pending,,083bb99a-0d9a-4017-a900-b8786705272d
2017,S,National Park Quarters,Quarter,Quarter,Pending,,084051f8-5e2f-4934-9cc4-e8dc5e9045ff
2003P,,State and Territory Quarters,Quarter,Quarter,Pending,,0845d9ea-b7a4-4735-bb6b-77fab2a5622b
1952S,,Washington Silver Quarter,Quarter,Quarter,Pending,,08b816ae-18ae-49a8-9683-3826ba654466
,,The Half Dollar Club,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,08d6845d-0557-4b67-b259-543c0d55662a
2003S,,State and Territory Quarters,Quarter,Quarter,Pending,,091870ef-6aa0-4c41-9b90-1200ebf2ac92
1922,D,Lincoln Head Penny,Penny,Penny,Pending,,091ae224-dabd-4913-8813-1c0bd4f40486
1875,S,Liberty Seated,Half Dollar,Half Dollar,Pending,,09238b0b-e8df-4fef-9124-a9dc6c049ac7
1985,P,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,0924c3d7-a35f-449d-b359-2b7aba7ec78d
1938S,,Washington Silver Quarter,Quarter,Quarter,Pending,,09437b69-d50b-46ff-a6ed-17f99ffb0122
1907,O,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,094a1155-bafe-4a8d-8a9c-b0238b8cd6c3
1997,,American Eagle,Dollar,Dollar,Pending,,094ee33e-6e42-4896-8884-205f737290f2
1920,S,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,09769e05-e97a-40a9-a40a-ac85d7530f76
1970,D,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,098160b4-4aa6-44ee-9300-8832098e8d1a
1953,D,Lincoln Head Cent,Penny,Penny,Pending,,0983ccc8-c09b-4345-95bb-48d2fb6b2fe4
1911,S,Barber,Half Dollar,Half Dollar,Pending,,09b327a0-12c5-40ae-8477-5313a22317d3
1911,P,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,09b67b4f-28ec-4c2f-ad22-e0a2d0c0b89f
1853,,Liberty Seated Silver Dime,Dime,Dime,Pending,,09bcd5e1-759c-4570-8fba-8b2a87a8379a
2022,P,US Women's Quarters,Quarter,Quarter,Pending,,09cee99a-e846-4abc-9b76-4434f89e8929
1930,D,Lincoln Head Cent,Penny,Penny,Pending,,09d6e25d-c9ce-442f-a791-e97d55de685d
2009S,,State and Territory Quarters,Quarter,Quarter,Pending,,09d8a267-cee2-47c1-a9da-fac38b124964
1947,P,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,09da4dca-c164-45bd-b5fa-a7508e69b419
1911,,Barber Silver Quarters,25 Cents,25 Cents,Pending,,09f9ae67-0a24-4f63-8ff7-ebfed3cd6eed
1862,,Liberty Seated,Quarter,Quarter,Pending,,09fe0421-fbea-49be-b5e2-dd67845f49d6
1904,S,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,0a15583e-8232-494a-b45e-10005821cf1d
2024,,,Morgan silver dollar,Morgan silver dollar,Pending,,0a23b38d-d086-4cca-81b6-983c14f49995
2018,D,National Park Quarters,Quarter,Quarter,Pending,,0a252113-dfc5-4379-bde4-7349369252f1
2007D,,Presidential Dollars,1,1,Pending,,0a4c14f9-3e34-47d8-9757-5e365ca27457
1959D,,Roosevelt Dimes,Dime,Dime,Pending,,0a4d18f3-c08f-4ad7-b4f5-d76744b1b436
1936S,,Washington Silver Quarter,Quarter,Quarter,Pending,,0a577706-ec05-441f-8572-662b5d38aae9
2022,D,Native American Dollar,1 Dollar,1 Dollar,Pending,,0a58e3af-b897-427f-b3c9-7dde22cf2d2d
2020,,American Innovation Dollar,Dollar,Dollar,Pending,,0a63ee8f-ecd2-4684-ae0a-cb0d12dc4492
1993S,,Roosevelt Dimes,Dime,Dime,Pending,,0a756c5d-b588-4985-8793-9fadcbec18d9
2003P,,State and Territory Quarters,Quarter,Quarter,Pending,,0a87151f-735e-4fab-9be3-3a21a727e3ef
2010,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,0a8e1bd8-247f-46fc-a4a6-80a62e61f05a
2015P,,Presidential Dollars,1,1,Pending,,0a9a6a0e-5959-405f-8218-fc24d4eccf63
1977,,Roosevelt Dimes,Dime,Dime,Pending,,0a9f303d-715f-4696-84cf-bb184181c2d0
1936D,,Washington Silver Quarter,Quarter,Quarter,Pending,,0aa9e58b-bcd8-4f53-bcc9-00f3cef4199c
1972,D,Jefferson Nickel Series,Nickel,Nickel,Pending,,0aaf3833-8eb9-439c-9fb8-adabef3a4bc6
1952D,,Washington Silver Quarter,Quarter,Quarter,Pending,,0abe8591-00a1-45eb-bc8a-b8ab7334f230
1973,S,,Dollar,Dollar,Pending,,0adb6a72-ba33-4843-8ee1-14422217f0d6
1898,,Morgan Silver Dollar,Dollar,Dollar,Pending,,0aea51be-b4a0-404e-8d2c-28bbdd4c1b6c
2006D,,Roosevelt Dimes,Dime,Dime,Pending,,0b01dca8-9894-4410-b5f0-19dad76019b1
1964D,,Washington Silver Quarter,Quarter,Quarter,Pending,,0b057de6-cd17-4077-813d-d00293b45359
,,Morgan Silver Dollar,1,1,Pending,,0b05d020-ed14-4617-b117-46a9f0d59ecd
1994,S,Lincoln Memorial Cent,Penny,Penny,Pending,,0b1da053-c1d2-4401-b527-1a01c819c57e
1942,D,,Dime,Dime,Pending,,0b25974f-ad87-4ad5-bf38-e4562d568dcc
1911,,Lincoln Head Cent,Penny,Penny,Pending,,0b574132-834d-429e-9c36-c0d0a8e46e78
1821,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,0b611b95-3074-4edc-8201-425131d826a9
2023,D,U.S. Innovation Dollar Program,U.S. Innovation Dollar,U.S. Innovation Dollar,Pending,,0ba1ad3c-0c0d-4b1f-aa19-b1e4862acc32
1908,S,Barber Silver Quarters,25 Cents,25 Cents,Pending,,0ba688eb-107b-4f17-b2a9-d56bbed3a2b3
1914,PENDING,Barber Series,Dime,Dime,Pending,,0bb5b09e-67f3-4834-94e2-58922165d47f
2001S,,State and Territory Quarters,Quarter,Quarter,Pending,,0bd3cdfd-2e53-44b8-8950-cc194063f161
1926,,Lincoln Wheat Cent,Penny,Penny,Pending,,0bd881f7-0178-4101-8d4e-21f1f7f8af3e
1911,S,Lincoln Wheat Cent,Penny,Penny,Pending,,0be2188f-2438-4e6d-95b4-e84ab5da2e8d
2017,D,National Park Quarters,Quarter,Quarter,Pending,,0be93993-8018-4c2c-84bf-ba372707e711
1825,,,Capped Bust Silver Quarter,Capped Bust Silver Quarter,Pending,,0bf6bbd0-e486-4b3b-b2c9-73f4aaecfc0b
1905,S,Barber Series,Dime,Dime,Pending,,0bf90be2-3306-46d6-ab5b-b01a0e6c6783
2019,P,America the Beautiful Quarters,Quarter,Quarter,Pending,,0c370f79-91b3-4a2a-ba5d-c790fec1645b
2023,D,US Women's Quarters,Quarter,Quarter,Pending,,0c479256-8ac4-48e7-bae2-37009d82f78e
1944,D,Lincoln Head Penny,Penny,Penny,Pending,,0c63383c-4250-4767-853c-9199c12b2485
1908,,Indian Head Cent,Penny,Penny,Pending,,0c65ea8c-90f2-4c7c-9d2d-5cf435d85181
1880,,Morgan Silver Dollar,Dollar,Dollar,Pending,,0c70b390-1cb0-448e-8eda-ce66b5f90f30
1996S,,Roosevelt Dimes,Dime,Dime,Pending,,0c75fed9-cc6f-4bf4-a666-ef99a7845fc8
1946,S,Mercury Dime,Dime,Dime,Pending,,0c989f04-3d6d-4ed2-b33a-253428c3d060
1915,P,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,0c9fc9c8-139f-4bf0-855f-b4c82aa796a5
1915,,Barber Silver Quarters,25 Cents,25 Cents,Pending,,0ca1a5c8-7700-45db-bc45-1a9e4b7d5fe5
2019,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,0cd5931b-aa13-441b-8055-5016f6437d8a
2010P,,Roosevelt Dimes,Dime,Dime,Pending,,0cd8e3ed-2796-4828-a1dd-b81649a04b4e
2008S,,State and Territory Quarters,Quarter,Quarter,Pending,,0ce3f6f6-81b1-4c26-8ce3-165417eb0c7a
2006D,,State and Territory Quarters,Quarter,Quarter,Pending,,0ceef253-03c5-4b42-87b0-7ec0b539684c
1940,S,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,0cf9f7e7-f3fa-44f1-959e-67f2bb8e8ce7
1916,S,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,0cfab2fa-0247-4da2-bc64-f2c801675b7f
1905,O,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,0d06f0d9-0c05-488e-b02e-49e8f213d3a2
1928,,Lincoln Head Cent,Penny,Penny,Pending,,0d086656-6a71-40c7-996c-f76c27f4dc1a
1942,S,The World War II U.S. Coin Collection,Lincoln Cent,Lincoln Cent,Pending,,0d0b22fc-fb75-4e94-a7bd-58bf1b67f4d0
1987,,Lincoln Cent Series,Penny,Penny,Pending,,0d204bc5-7ab1-468b-a1d7-e58ceeb5587e
1975D,,Roosevelt Dimes,Dime,Dime,Pending,,0d2dbc3e-8055-4fa9-90ee-5b4a0ecef868
2013,D,Lincoln Head Penny,Penny,Penny,Pending,,0d45c9d9-bcc7-4a67-abfb-fa20e5ed8982
1878,,Liberty Seated,Quarter,Quarter,Pending,,0d51929b-270a-48f4-b841-c4eb966d1e60
1976,D,U.S. Bicentennial,1 Dollar,1 Dollar,Pending,,0dcc6dd6-5548-4798-91f7-723c4c6b66b1
1921,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,0de09bb5-c169-46f1-8d4b-9a2a97fc4c74
1955,D,Jefferson Nickel Series,Nickel,Nickel,Pending,,0df66aea-659f-44a6-b8fc-e2cd4a8bb6aa
1959,,Washington Silver Quarter,Quarter,Quarter,Pending,,0e10f21c-d085-4894-a93d-5edd3ee858f8
1935,,Lincoln Wheat Cent,Penny,Penny,Pending,,0e1883bf-430e-4d3c-970a-154252766685
2014S,,Presidential Dollars,1,1,Pending,,0e315295-ee6b-4c8a-b976-fa2143adc724
1843,,Liberty Seated,Dollar,Dollar,Pending,,0e3b7e6f-f8ee-429b-a0ca-ffb527e19ac9
1857,O,,Nickel,Nickel,Pending,,0e41d691-2f12-48d0-b8de-00f8571c53d7
1877,CC,Liberty Seated,Half Dollar,Half Dollar,Pending,,0e4d3f87-dbce-402f-9a5c-03331393d002
1951,,Lincoln Wheat Cent,Penny,Penny,Pending,,0e62099d-9511-458e-ad36-9275cd37fd40
2004,W,American Eagle,Dollar,Dollar,Pending,,0e6addf9-43b7-46bd-a85f-541d94263d05
1940,S,Mercury Dime,Dime,Dime,Pending,,0e6cef49-dfc0-4f9e-a710-4fe9e0a0088a
2004S,,State and Territory Quarters,Quarter,Quarter,Pending,,0ea66dce-0212-4a2f-9dba-12d7e02faa38
1906,,,Barber Silver Dime,Barber Silver Dime,Pending,,0eb3910d-667f-4d91-859c-c791e7eadee6
