Year,Denomination,Program/Series,Mint Mark,Count_Missing,Count_Has_Image
1964-2012,Unknown,Kennedy 50 cent year set  48 coins including 2005 coin,,1,0
Unknown,Unknown,Mint Set,,1,0
1899,Penny,Indian Head Cent,,1,2
1883,Unknown,Hawaiian Silver Quarter PCGS,,1,0
2018-20,Unknown,P&D American Innovation Set (18),,1,0
1972S,Unknown,Clad Proof set 5 coins,,1,0
2021S,Unknown,Clad Proof Set7 coins,,1,0
1916-1920,Unknown,5 Different Mint Weat Cents,,1,0
1978S,Unknown,Clad  Proof Set 6 coins,,1,0
2003S,Unknown,Clad Proof Set 10 Coins,,1,0
1996S,Unknown,Clad proof set 5 coins,,1,0
1998S,Unknown,Clad Proof Set 5 coins,,1,0
2005S,Unknown,Clad Proof set  11 coins,,1,0
1968S,Unknown,Clad Proof Set 5 coins,,1,0
2022S,Unknown,Clad Proof Set 10 coins,,1,0
1979S,Unknown,Clad Proof Set 6 coins,,1,0
2021S,Unknown,Washington Crossing the Delaware silver,,1,0
2006P,Dollar,"Franklin dollar commemorative ""Scientist"" no case PR63",,1,0
1943,Cent,Lincoln Steel Cent,P,1,1
2007S,Unknown,Clad Proof Set 14 coins,,1,0
2009,Unknown,Lincoln Bicentennial cents colorized and gold plated 8 coin set,,1,0
2020S,Quarter,National Park quarters Silver Proof Year set 5 coins,,1,0
2006S,Unknown,Clad Proof Set 10 Coins,,1,0
1943-46,Penny,Wartime Lincoln Head Cent Set with folder 12 coins,,1,0
1971S,Unknown,Clad  Proof Set 5 coins,,1,0
1885,multiple,1880-1885CC 6 piece carson city Morgan dollar set PCGS MS64,CC,1,0
2015S,Unknown,Clad Proof Set 14 coins,,1,0
Unknown,Unknown,100 coins from ioo countries with treasure chest,,1,0
1987S,Dollar,Consitution silver dollar commemorative in case79.95,,1,0
1995S,Unknown,Clad  Proof Set 5 coins,,1,0
1980S,Unknown,Clad  Proof Set 6 coins,,1,0
2018S,Unknown,National Park Year Set San Francisco Mint 5 coins,,1,0
2001S,Unknown,Clad  Proof Set 10 coins,,1,0
1982S,Unknown,Clad  Proof Set 5 coins,,1,0
1981S,Unknown,Filled S Proof Set 6 Coins,,1,0
2021P,Unknown,Washington Crossing the Delaware,,1,0
2018-20,Unknown,Complete 50 Native American Quarters and folder,,1,0
1977S,Unknown,Clad  Proof Set 6 coins,,1,0
2018-20,Unknown,41 Native American quarters and folder,,1,0
2009S,Unknown,Clad US Mint Proof set 18 coins,,1,0
2002S,Unknown,Clad Proof Set 10 Coins,,1,0
Unknown,Dime,Mercury Silver Dime PDS Set 3 coins,,1,0
2021,Dollar,2021s ase t-1 & t-2 Emergency issue set FDOI NGC MS70 signed by John Mercanti,S,1,0
2008S,Unknown,Clad Proof Set 14 coins,,1,0
1967,Unknown,Special Mint Set hard holder,,1,0
1941-45,Unknown,World War II Coin collection,,1,0
2004S,Unknown,Clad  Proof Set 11 coins,,1,0
2016S,Unknown,Clad  Proof Set 13 coins,,1,0
2021S,Unknown,Washington Crossing the Delaware,,1,0
Unknown,Unknown,George Washimgtom Coin Note and stamp set,,1,0
1979-99,Unknown,Susan B. Anthony 4 coin Year Set,,1,0
2017S,Unknown,Clad Proof Set 10 coins,,1,0
Unknown,Unknown,50 bank notes from 50 countries with chart,,1,0
1985S,Unknown,Clad  Proof Set 5 coins,,1,0
1883,Dime,Hawaiian Silver Dime PCGS,,1,0
2018-20,Unknown,P&D American Innovation set (18),,1,0
2021S,Unknown,Clad Silver Proof Set 7 coins,,1,0
1964,Unknown,silver proof set 5 coins,,1,0
2017S,quarter,National Park Quarters,,1,0
1965,Unknown,Special Mint Set soft holder,,1,0
2021P,quarter,National Park Quarters,,1,0
2001S,Unknown,Silver Proof set 10 coins,,1,0
1987S,Unknown,Clad Proof Set 5 coins,,1,0
2017S,Unknown,National Park Year Set San Francisco Mint 5 coins,,1,0
2019S,Unknown,Clad Proof Set 11 coins,,1,0
11914-16,Nickel,Buffalo Nickel 3 coin mint set,,1,0
1999S,Unknown,Clad  Proof Set 9 coins,,1,0
2021D,Unknown,Washington Crossing the Delaware,,1,0
1954,Half Dollar,Franklin Half Dollar,S,0,2
2010,Penny,Lincoln Cent,D,0,2
1955,Cent,Lincoln Wheat Cent,,0,1
1903,Half Dollar,Barber,,0,1
1873,1 Dollar,Trade Dollar,,0,1
2024,Half Dollar,Kennedy Half Dollar,P,0,1
1867,Half Dollar,Liberty Seated,S,0,1
2023,Native American Dollar,Native American Dollar Program,P,0,2
1978,Dime,Roosevelt Dimes,D,0,2
1925,Penny,Lincoln Head Cent,,0,1
1939,Penny,Lincoln Cent,,0,1
1958,Quarter,Washington Silver Quarter,,0,3
1980,Penny,Lincoln Memorial Cent,D,0,1
1981,Susan B. Anthony Dollar,Susan B. Anthony Dollar,S,0,4
1974,Penny,Lincoln Head Penny,S,0,1
2022,Quarter,American Women Quarters,D,0,3
1915,Penny,Lincoln Head Cent,S,0,1
1954,Nickel,Jefferson Nickel,S,0,1
2012,Penny,Lincoln Cent,D,0,1
2009,Dime,Roosevelt Dime,S,0,1
1893,Dollar,Morgan Dollar,CC,0,1
1980,Kennedy Half Dollar,Kennedy Half Dollar,S,0,2
1959,Penny,Lincoln Cent,,0,1
1971,Dollar,Eisenhower Dollar,,0,2
2006,Quarter,50 State Quarters,S,0,1
1959,Quarter,Washington Silver Quarter,D,0,1
2000,Quarter,State and Territory Quarters,S,0,10
2015,Dime,Roosevelt Dimes,P,0,1
1819,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,2
1838,Penny,Coronet Head Large Cent,,0,1
1936,Cent,Lincoln Wheat Cent,,0,1
2023,Washington Quarter,American Women Quarters Program,S,0,5
2016,$1,Presidential Dollars,P,0,3
1912,Barber Silver Dimes,Barber Dimes,D,0,1
2007,Quarter,State and Territory Quarters,D,0,5
1924,Penny,Lincoln Wheat Cent,,0,1
2015,Quarter,America the Beautiful Quarters,D,0,5
2021,Native American Dollar,Native American Dollar Series,P,0,1
2004,1 Dollar,Sacagawea Dollar,S,0,1
1864,Half Dollar,Liberty Seated,O,0,1
1957,Penny,Lincoln Head Cent,,0,1
1961,Cent,Lincoln Memorial Cent,,0,1
2018,Quarter,National Park Quarters,D,0,3
1976,Dime,Roosevelt Dimes,S,0,1
2022,1 Dollar,Native American Dollar,P,0,2
1972,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1972,Dollar,Eisenhower Dollar,S,0,4
2014,Dime,Roosevelt Dimes,P,0,1
2013,Penny,Lincoln Cent Series,,0,1
1982,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
2001,Dime,Roosevelt Dimes,D,0,1
1953,Penny,Lincoln Cent,,0,3
1992,Dollar,American Eagle,,0,1
2017,Dollar,American Eagle,,0,2
2003,Quarter,State and Territory Quarters,P,0,5
1925,Nickel,Buffalo Nickel,,0,1
1936,Nickel,Buffalo Nickel,,0,1
1963,Dime,Unknown,D,0,1
1974,Quarter,Washington Silver Quarter,S,0,1
2014,Dollar,American Eagle,W,0,1
1849,Half Dollar,Liberty Seated,O,0,1
1997,Quarter,Washington Silver Quarter,S,0,1
1979,Kennedy Half Dollar,Kennedy Half Dollar,,0,1
1951,Penny,Lincoln Wheat Cent Series,,0,1
1938,Half Dollar,Liberty Walking Half Dollar,D,0,1
1930,Quarter,Standing Liberty Silver Quarter,,0,1
1900,Dollar,Morgan Silver Dollar,O/CC,0,1
1914,Penny,Lincoln Wheat Cent Series,,0,2
2022,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1957,Penny,Lincoln Cent,D,0,1
1829,Nickel,Capped Bust,,0,2
2024,Lincoln Cent,Unknown,,0,1
2001,Quarter,State and Territory Quarters,S,0,8
2024,Dollar,American Eagle Silver Dollar,W,0,1
2018,Quarter,America the Beautiful Quarters,D,0,5
1962,Dime,Roosevelt Dimes,,0,2
1878,1 Dollar,Morgan Silver Dollars,,0,3
1949,Penny,Lincoln Cent,D,0,1
1897,1 Dollar,Morgan Silver Dollars,O,0,1
1998,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
1892,$1,Morgan Silver Dollar,S,0,3
1948,Cent,Lincoln Wheat Cent,,0,1
2014,Kennedy Half Dollar,Kennedy Half Dollars,D,0,1
1979,Quarter,Washington Silver Quarter,S,0,2
2019,$1,Destination Silver Eagle Signed by Tom Cleveland,W,0,1
1920,Penny,Lincoln Wheat Cent Series,,0,2
1948,Penny,Lincoln Cent,,0,1
2012,Quarter,National Park Quarters,S,0,10
1840,Seated Liberty Silver Half Dollar,Seated Liberty Half Dollar,O,0,1
1827,Capped Bust Silver Dime,Capped Bust Dime,,0,1
1881,1 Dollar,Morgan Silver Dollars,CC,0,1
1872,Nickel,Mintmark above Bow,S,0,1
1907,Half Dollar,Barber,O,0,1
2004,Quarter,State and Territory Quarters,D,0,5
1830,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
2013,Quarter,America the Beautiful Quarters,S,0,5
2016,Penny,Lincoln Shield Cent,D,0,1
1921,Penny,Lincoln Cent,S,0,1
2017,Quarter,National Park Quarters,D,0,3
1973,Dollar,Eisenhower Dollar,D,0,2
2004,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1935,Quarter,Washington Silver Quarter,,0,2
2009,Penny,Lincoln Cent Series,,0,4
2009,Penny,Lincoln Cent,P,0,3
2023,U.S. Innovation Dollar,U.S. Innovation Dollar Program,P,0,3
1973,Dollar,Eisenhower Dollar,S,0,5
2015,Quarter,National Park Quarters,S,0,5
1949,Nickel,Jefferson Nickel,,0,2
1846,Half Dollar,Liberty Seated,O,0,1
1883,Morgan Silver Dollar,Morgan Silver Dollar,CC,0,1
2012,$1,Presidential Dollars,S,0,4
1877,1 Dollar,Trade Dollar,S,0,1
2017,Quarter,National Park Quarters,S,0,12
2024,Washington Quarter,American Women Quarters Program,D,0,5
1878,1 Dollar,Morgan Silver Dollar,CC,0,1
1993,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1952,Quarter,Washington Quarter,S,0,1
1963,Dime,Roosevelt Dime,,0,1
Unknown,Kennedy Half Dollar,The Half Dollar Club,,0,1
2024,Washington Quarter,American Women Quarters Program,S,0,6
2003,Quarter,State and Territory Quarters,S,0,9
1922,Penny,Lincoln Cent,D,0,2
2019,Dollar,American Eagle,W,0,1
1956,Dime,Roosevelt Dime,,0,1
1875,Half Dollar,Liberty Seated,S,0,1
1985,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1938,Quarter,Washington Silver Quarter,S,0,1
1907,Barber Silver Dimes,Barber Dimes,O,0,1
1997,Dollar,American Eagle,,0,1
1839,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,2
1920,Half Dollar,Walking Liberty Half Dollar,S,0,1
2025,Quarter,American Women Quarters,S,0,6
1970,Kennedy Half Dollar,Kennedy Half Dollar,D,0,1
1953,Penny,Lincoln Cent,D,0,1
1911,Half Dollar,Barber Half Dollar,S,0,1
1911,Barber Silver Dimes,Barber Dime,P,0,1
1853,Dime,Liberty Seated Dime,,0,1
1947,Quarter,Washington Quarter,,0,1
1964,Cent,Lincoln Memorial Cent,,0,1
2022,Quarter,US Women's Quarters,P,0,1
1930,Penny,Lincoln Head Cent,D,0,1
2009,Quarter,State and Territory Quarters,S,0,8
1947,Half Dollar,Liberty Walking Half Dollar,P,0,1
1911,25 Cents,Barber Silver Quarters,,0,1
1862,Quarter,Liberty Seated,,0,1
1828,Half Cent,Classic Head,,0,1
1904,1 Dollar,Morgan Silver Dollars,S,0,1
2024,Morgan Silver Dollar,Unknown,,0,1
2007,$1,Presidential Dollars,D,0,9
1959,Dime,Roosevelt Dimes,D,0,2
1936,Quarter,Washington Quarters,S,0,1
2022,1 Dollar,Native American Dollar,D,0,1
2020,Dollar,American Innovation Dollar,,0,8
2024,Washington Quarter,American Women Quarters Program,P,0,5
1993,Dime,Roosevelt Dimes,S,0,2
2010,Quarter,America the Beautiful Quarters,S,0,3
2024,1 Quarter,American Women Quarters Program,P,0,2
2015,$1,Presidential Dollars,P,0,6
1977,Dime,Roosevelt Dimes,,0,1
1936,Quarter,Washington Silver Quarter,D,0,1
1972,Nickel,Jefferson Nickel Series,D,0,1
1952,Quarter,Washington Silver Quarter,D,0,1
1973,Dollar,Unknown,S,0,1
1898,Dollar,Morgan Silver Dollar,,0,2
2006,Dime,Roosevelt Dimes,D,0,1
1964,Quarter,Washington Silver Quarter,D,0,2
1883,$1,Morgan Silver Dollar,CC,0,3
1994,Penny,Lincoln Memorial Cent,S,0,1
1942,Dime,Unknown,D,0,1
1949,Penny,Lincoln Cent,,0,2
1911,Penny,Lincoln Cent,,0,2
1821,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
1939,Cent,Lincoln Wheat Cent,,0,1
2023,U.S. Innovation Dollar,American Innovation $1 Coin Program,D,0,1
1908,25 Cents,Barber Quarters,S,0,1
2023,Quarter,American Women Quarters Program,P,0,2
1914,Dime,Barber Series,Pending,0,1
1909,1 Cent,Lincoln Cent,S,0,1
1926,Penny,Lincoln Wheat Cent,,0,1
1911,Penny,Lincoln Wheat Cent,S,0,1
2017,Quarter,America the Beautiful Quarters,D,0,2
1825,Quarter,Capped Bust,,0,1
1905,Dime,Barber Series,S,0,1
1961,Nickel,Jefferson Nickel,,0,1
2019,Quarter,America the Beautiful Quarters,P,0,1
2023,Quarter,American Women Quarters,D,0,2
1909,1 Cent,Lincoln Cent (Wheat Reverse),D,0,1
1944,Penny,Lincoln Head Penny,D,0,1
1880,Dollar,Morgan Silver Dollar,,0,1
1996,Dime,Roosevelt Dimes,S,0,2
1943,Penny,Lincoln Cent,,0,2
1946,Dime,Mercury Dime,S,0,1
1915,Dime,Barber Dimes,P,0,1
1915,25 Cents,Barber Silver Quarters,,0,1
2019,Quarter,America the Beautiful Quarters,S,0,9
2010,Dime,Roosevelt Dimes,P,0,1
2008,Quarter,State and Territory Quarters,S,0,4
2006,Quarter,State and Territory Quarters,D,0,8
1940,Half Dollar,Walking Liberty Half Dollar,S,0,1
1916,Dime,Barber Dimes,S,0,1
1905,Dime,Barber Dimes,O,0,1
1928,Penny,Lincoln Head Cent,,0,2
1942,Lincoln Cent,The World War II U.S. Coin Collection,S,0,1
1987,Penny,Lincoln Cent Series,,0,1
1975,Dime,Roosevelt Dimes,D,0,1
1952,Penny,Lincoln Cent,,0,1
2013,Penny,Lincoln Head Penny,D,0,1
1878,Quarter,Liberty Seated,,0,1
2024,1 Quarter,American Women Quarters Program,D,0,2
1912,Nickel,Liberty Head Nickel,,0,3
1873,Half Dollar,Liberty Seated,,0,3
2008,Penny,Lincoln Cent,D,0,2
1976,1 Dollar,U.S. Bicentennial,D,0,2
1921,Penny,Lincoln Wheat Cent Series,,0,2
1955,Nickel,Jefferson Nickel Series,D,0,1
1959,Quarter,Washington Silver Quarter,,0,2
1935,Penny,Lincoln Wheat Cent,,0,1
1937,Nickel,Buffalo Nickel,,0,1
2014,$1,Presidential Dollars,S,0,4
1843,Dollar,Liberty Seated,,0,1
1857,Nickel,Stars,O,0,1
1877,Half Dollar,Liberty Seated,CC,0,1
1951,Penny,Lincoln Wheat Cent,,0,1
2004,Dollar,American Eagle,W,0,1
1940,Dime,Mercury Dime,S,0,1
2004,Quarter,State and Territory Quarters,S,0,7
1906,Barber Silver Dime,Unknown,,0,1
2013,$1,Presidential Dollars,D,0,3
2020,Quarter,National Park Quarters,S,0,14
1952,Dime,Roosevelt Dimes,S,0,1
1879,1 Dollar,Morgan Silver Dollars,CC,0,1
1860,Nickel,Unknown,,0,1
1965,Quarter,Washington Silver Quarter,,0,1
1923,Dollar,Peace Dollar,S,0,2
2015,$1,Presidential Dollars,S,0,4
1953,Quarter,Washington Quarter,,0,2
1947,Penny,Lincoln Cent,,0,1
2018,Quarter,National Park Quarters,S,0,8
1980,Susan B. Anthony Dollar,Susan B. Anthony Dollar,S,0,2
1961,Penny,Lincoln Cent,,0,1
1947,Cent,Lincoln Wheat Cent,,0,1
1964,Penny,Lincoln Cent,D,0,1
1841,Half Dollar,Liberty Seated,O,0,2
1989,$1,Unknown,W,0,1
Unknown,Unknown,The Celebrating America Coin Collection,,0,2
1857,Half Dollar,Liberty Seated,O,0,1
1939,Half Dollar,Walking Liberty Half Dollar,,0,1
1917,Quarter,Standing Liberty Silver Quarter (Type 1),S,0,1
1982,Quarter,Washington Silver Quarter,S,0,1
1890,1 Dollar,Morgan Silver Dollars,O,0,1
1903,Cent,Indian Head Cent,,0,1
1854,Nickel,Arrows,,0,1
2005,Quarter,State and Territory Quarters,D,0,6
1978,Dime,Roosevelt Dimes,S,0,2
1948,Penny,Lincoln Wheat Cent,,0,1
1918,1 Dime,Mercury Silver Dime,D,0,1
1915,Dime,Barber Series,S,0,1
1992,Dime,Roosevelt Dimes,S,0,2
2024,Dollar,U.S. Innovation Dollar,P,0,2
1892,1 Dollar,Morgan Silver Dollars,CC,0,2
1957,Penny,Lincoln Wheat Cent Series,,0,2
1951,Penny,Lincoln Cent,S,0,1
1873,Half Dollar,Liberty Seated,S,0,1
1943,Half Dollar,Liberty Walking Half Dollar,P,0,1
1840,Nickel,Stars and Drapery,,0,1
1934,Quarter,Washington Silver Quarter,D,0,2
1956,Cent,Lincoln Wheat Cent,,0,1
1924,Nickel,Buffalo Nickel,D,0,1
1978,1 Dollar,Eisenhower Dollar,D,0,1
2006,Quarter,State and Territory Quarters,S,0,9
1910,Penny,Lincoln Head Penny,S,0,1
2001,Dime,Roosevelt Dimes,P,0,1
1926,Nickel,Unknown,,0,2
1930,Quarter,Standing Liberty Silver Quarter,P,0,1
1898,Half Dollar,Barber,O,0,1
1915,Half Dollar,Barber,D,0,1
1924,Penny,Lincoln Cent Series,D,0,1
1974,Dollar,Eisenhower Dollar,D,0,2
1958,Quarter,Washington Silver Quarter,D,0,1
2011,Penny,Lincoln Head Penny,D,0,1
1917,Penny,Lincoln Wheat Cent,,0,1
1937,Quarter,Washington Silver Quarter,S,0,1
1960,Penny,Lincoln Cent,D,0,3
1889,$1,Morgan Silver Dollar,CC,0,1
2011,Quarter,National Park Quarters,D,0,4
1917,Penny,Lincoln Cent,,0,2
2019,Dime,Roosevelt Dime,S,0,1
1967,Kennedy Half Dollar,Kennedy Half Dollar,,0,1
1927,Nickel,Unknown,,0,1
1956,Quarter,Washington Silver Quarter,,0,2
1911,Penny,Lincoln Head Penny,,0,1
1930,Penny,Lincoln Wheat Cent Series,,0,2
1983,Penny,Lincoln Cent Series,S,0,1
1920,Penny,Lincoln Wheat Cent,,0,1
1902,Penny,Indian Head Cent,,0,1
2008,Penny,Lincoln Cent Series,,0,1
1966,Kennedy Half Dollar,Kennedy Half Dollar Series,,0,1
1905,25 Cents,Barber Silver Quarters,,0,1
1980,Dime,Roosevelt Dimes,P,0,1
1974,Dollar,Eisenhower Dollar,S,0,6
1969,Dime,Roosevelt Dimes,,0,1
1988,Penny,Lincoln Cent,D,0,1
1912,Dime,Barber Series,S,0,1
2022,Dime,Roosevelt Dimes,D,0,1
1925,Penny,Lincoln Head Penny,,0,2
1860,Nickel,Unknown,O,0,1
2006,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,1
1990,Quarter,Washington Silver Quarter,D,0,1
1930,Penny,Lincoln Wheat Cent,,0,1
2017,Kennedy Half Dollar,Kennedy Half Dollar,S,0,2
1893,$1,Morgan Silver Dollar,CC,0,1
2008,$1,Presidential Dollars,P,0,3
1950,Dime,Roosevelt Dimes,D,0,2
2023,Morgan Silver Dollar,Modern Morgan and Peace Silver Dollar Collection,,0,1
1872,Nickel,Shield Nickel,,0,1
1999,Quarter,State and Territory Quarters,D,0,5
1980,Kennedy Half Dollar,Kennedy Half Dollar,D,0,1
2012,Quarter,National Park Quarters,D,0,3
1882,$1,Morgan Silver Dollar,CC,0,2
1929,Nickel,Buffalo Nickel,S,0,1
1943,Nickel,Jefferson Nickel Series,S,0,2
1963,Cent,Lincoln Memorial Cent,,0,1
1828,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,4
1937,Penny,Lincoln Cent,,0,1
1953,Dime,Roosevelt Dimes,S,0,1
2009,Dime,Roosevelt Dimes,P,0,1
1985,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1984,Quarter,Washington Silver Quarter,D,0,1
1846,Large Cent,Braided Hair Large Cents,,0,2
2020,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,2
2006,Dime,Roosevelt Dimes,P,0,1
2025,Roosevelt Dime,Unknown,P,0,2
1989,Dime,Roosevelt Dimes,D,0,1
2023,U.S. Innovation Dollar,U.S. Innovation Dollar Program,D,0,2
1918,Dime,Mercury Dime,,0,1
1959,Penny,Lincoln Memorial Cent,,0,1
1904,Half Dollar,Barber,O,0,1
1905,Half Dollar,Barber,S,0,1
2007,$1,Presidential Dollars,P,0,7
2004,Penny,Lincoln Cent,D,0,2
2015,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1934,Penny,Lincoln Wheat Cent,,0,1
1993,Penny,Lincoln Cent,S,0,1
1826,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
1946,Quarter,Washington Silver Quarter,,0,2
1989,Kennedy Half Dollar,Kennedy Half Dollar,D,0,1
2005,Quarter,State and Territory Quarters,S,0,9
1999,Dollar,American Eagle,,0,1
1973,1 Dollar,Eisenhower Dollar,,0,1
1950,Half Dollar,Franklin Half Dollar,,0,4
1884,$1,Morgan Silver Dollar,CC,0,1
1859,Nickel,Stars,O,0,1
1954,Nickel,Jefferson Nickel Series,P,0,1
1918,Half Dollar,Liberty Walking Half Dollar,P,0,1
2015,$1,Presidential Dollars,D,0,5
2005,1 Dollar,Sacagawea Dollar,D,0,1
1945,Quarter,Washington Quarter,S,0,2
1926,Quarter,Standing Liberty Quarter,,0,1
2011,Quarter,National Park Quarters,P,0,6
2007,Dime,Roosevelt Dimes,S,0,2
2022,Native American Dollar,Native American Dollar,D,0,1
1887,1 Dollar,Morgan Silver Dollars,S,0,1
1935,Half Dollar,Liberty Walking Half Dollar,D,0,1
2023,Quarter,US Women's Quarters,S,0,1
1929,Quarter,Standing Liberty Silver Quarter,,0,1
1995,Penny,Lincoln Cent Series,D,0,1
2021,Dime,Roosevelt Dimes,S,0,2
2005,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1870,Quarter,Liberty Seated,,0,1
1965,Penny,Lincoln Cent,,0,1
1942,Penny,Lincoln Cent,S,0,1
1973,1 Dollar,Eisenhower Dollar,D,0,1
1920,Quarter,Standing Liberty Silver Quarter,D,0,1
2014,Quarter,National Park Quarters,S,0,5
2016,Quarter,America the Beautiful Quarters,S,0,7
1997,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,1
1929,Dime,Mercury Dime,D,0,2
1966,Dime,Roosevelt Dime,,0,1
1872,Half Dollar,Walking Liberty Half Dollar,P,0,1
1898,Half Dollar,Barber,S,0,1
N/A,$5,"Liberty Head Half Eagle (with motto, 1866-1908)",,0,1
1941,Dime,Mercury Dime,D,0,1
1958,Penny,Lincoln Cent,,0,2
1888,Dime,Liberty Seated,,0,1
1834,Dime,Capped Bust,,0,1
2009,Penny,Lincoln Cent,D,0,3
1979,Penny,Lincoln Memorial Cent,,0,1
1984,Penny,Lincoln Cent,S,0,1
1882,Liberty Seated Dime,Liberty Seated,,0,1
1943,Lincoln Cent,Steel Cent,"P, D, S",0,1
1992,Penny,Lincoln Head Penny,,0,1
1992,Quarter,Washington Silver Quarter,P,0,1
2011,Quarter,America the Beautiful Quarters,S,0,1
2018,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,2
1931,Penny,Lincoln Wheat Cent Series,,0,2
2001,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1942,Dime,Mercury Dime,D,0,2
Multiple,$1,Morgan Silver Dollar Set,,0,1
1916,Penny,Lincoln Wheat Cent Series,,0,2
1978,Dime,Roosevelt Dimes,,0,1
1962,Quarter,Washington Silver Quarter,,0,2
1875,20 Cents,20 Cent Piece,S,0,1
1934,Half Dollar,Liberty Walking Half Dollar,S,0,1
2023,Morgan Silver Dollar,The Ultimate Modern Morgan and Peace Silver Dollar Collection,,0,2
2012,Dime,Roosevelt Dimes,D,0,1
1942,Kennedy Half Dollar,The World War II U.S. Coin Collection,S,0,1
2012,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1866,Unknown,Unknown,,0,1
2009,Quarter,State and Territory Quarters,D,0,8
1935,Dime,Mercury Dime,,0,3
1932,Penny,Lincoln Cent,,0,1
2001,Dollar,American Eagle,,0,1
1905,Cent,Indian Head Cent,,0,1
1942,Quarter,Washington Silver Quarter,,0,2
1824,Dime,Capped Bust,,0,1
1810,Half Dollar,Capped Bust Half Dollar,,0,1
1956,Quarter,Washington Quarter,,0,1
1876,Quarter,Liberty Seated,S,0,1
1950,Quarter,Washington Silver Quarter,S,0,1
1923,Penny,Lincoln Head Penny,S,0,1
1990,Dime,Roosevelt Dimes,S,0,1
1956,Penny,Lincoln Cent,,0,2
1919,Penny,Lincoln Wheat Cent Series,,0,1
1911,Half Dollar,Barber,D,0,1
1824,Capped Bust Silver Half Dollar,The Half Dollar Club Selection,,0,1
1891,Dime,Liberty Seated Silver Dime,,0,1
2021,Native American Dollar,Native American Dollar,D,0,1
1957,Quarter,Washington Silver Quarter,D,0,2
1847,Half Dollar,Liberty Seated,O,0,1
2022,Quarter,American Women Quarters,S,0,7
