doc_id,raw_denom,raw_program,source_document_name,invoice_number,original_description,assigned_category,reason,dry_run
023eccfd-4304-44dc-a511-ed589e7d54ce,Dime,U.S. Dime Collection Selection,Receipt_2026-06-03_094010.pdf,67593420,"U.S. DIME COLLECTION SELECTION
1849 Liberty Seated Silver Dime
Stars
Taxable Item",(no change),,False
02a0180b-b70d-4845-b308-575e4903bd70,Cent,USA Invoice Import,Receipt_2026-06-03_091509.pdf,67054670,2023-S Lincoln Head Cent Ch Proof-63,(no change),,False
02a1632e-df62-4e2f-a236-563c3f1d37a0,Dollar,USA Invoice Import,Scan_20260128 (8).pdf,65712953,1974-S Eisenhower Dollar Silver Clad Ch Proof-63,(no change),,False
0b5595f3-aadc-4150-93eb-70d5a70cb1b6,Half Dollar,The Half Dollar Club,Scan_20260129 (41).pdf,67268238,THE HALF DOLLAR CLUB,(no change),,False
126a6715-745f-4b1c-9b9f-6d36e308a944,Half Dollar,Advertisement Items,Receipt_2026-06-03_102540.pdf,68564410,"Advertisement Items
1982-D or S George Washington Silver
Commemorative Half Dollar",other,commercial placeholder,False
17e6602f-f930-4872-b7da-1a8916a108fb,Mixed,Prestige Proof Set,Scan_20260129 (52).pdf,67343149,1990 6 Coin Prest Prf Set Ike$ Ch Proof-63,set,set denomination: Mixed,False
254a80a6-bae1-489d-882d-b57869fc3ac5,Dime,USA Invoice Import,Scan_20260129 (32).pdf,65773987,1892 Barber Silver Dime Tax Free Item Good,(no change),,False
27653b41-f822-4107-b085-6e18a570ab8a,Year Set,USA Invoice Import,2026-06-03_091725.pdf,67305371,1964 5-Coin Time Capsule Year Set Tax Free Item Circulated,set,set denomination: Year Set,False
32fd4983-6705-4e13-bc5f-05a22ef7b3db,Mixed,The World War II U.S. Coin Collection,Scan_20260129 (102).pdf,406380469,"THE WORLD WAR II U.S. COIN COLLECTION
ENCLOSED IS SHIPMENT # 2
1941-S LINCOLN PENNY
1941-S JEFFERSON NICKEL
1941-S MERC. DIME & WASHINGTON QUARTER
1941-S WALKING LIBERTY HALF-DOLLAR
1940 3C TORCH OF ENLIGHTENMENT STAMP (5)",set,set denomination: Mixed,False
37b23c58-23ba-40eb-b648-1384be8bb707,Various,U.S. Uncirculated Coin Mint Sets,Scan_20260129 (122)_Part4.pdf,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 81 2022 DENVER MINT PANEL,set,set denomination: Various,False
396ba4ea-6400-405d-9fc7-f75a89a045df,Half Dollar,Capped Bust,Scan_20260129 (Train with).pdf,65696398,WASHINGTON QUARTER CLUB SELECTION 1824 Capped Bust Silver Half Dollar Normal Date Ovt# 106A NGC Taxable Item Extra Fine 4,(no change),,False
3c7ce9a7-8e5a-4193-bf41-aed48d3facfd,Mixed,The World War II U.S. Coin Collection,Scan_20260129 (101).pdf,406380469,"THE WORLD WAR II U.S. COIN COLLECTION ENCLOSED IS SHIPMENT # 3: 1941-D LINCOLN PENNY, 1941-D JEFFERSON NICKEL, 1941-D MERC. DIME & WASHINGTON QUARTER, 1941-D WALKING LIBERTY HALF-DOLLAR, 1940 2C 90MM ANTI-AIRCRAFT GUN STAMP (9)",set,set denomination: Mixed,False
522797ed-82cc-4ca2-937a-d92fd312f778,5-Coin Set,America Revisited Club,Scan_20260129 (47).pdf,67573806,1954 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
55f1bafd-dd46-49ae-b130-d833ce46445e,Various,Time Capsule Year Set,Scan_20260129 (46).pdf,67417854,1942 5-Coin Time Capsule Year Set Taxable Item Circulated o,set,set denomination: Various,False
5b0e227f-48f5-455f-826f-7369743e0373,Mixed,The World War II U.S. Coin Collection,Scan_20260129 (59).pdf,406380469,"THE WORLD WAR II U.S. COIN COLLECTION
ENCLOSED IS SHIPMENT # 6
1942-S LINCOLN PENNY
1942-S JEFFERSON WARTIME SILVER NICKEL
1942-S MERC. DIME & WASHINGTON QUARTER
1942-S WALKING LIBERTY HALF-DOLLAR
1943 1C FOUR FREEDOMS STAMP (6)",set,set denomination: Mixed,False
5b13cbdc-6cb4-4595-91e7-65475ff4e52a,5-Coin Set,Time Capsule Year Set,Scan_20260129 (48).pdf,67521147,1961 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
5bc529a5-7d8a-4c90-8869-4ae229ee436c,Proof Set,USA Invoice Import,2026-06-03_091725.pdf,67305371,2024-S Clad Proof Set 10 Coins Ch Proof-63,set,set denomination: Proof Set,False
5c8bd99f-cdbc-40bf-9f0e-d20747f0c685,Birth Year Set,Birth Year Sets,Scan_20260128.pdf,71802670-1,1942 Birth Yr Coin and Silver Comm. Set,set,set denomination: Birth Year Set,False
6e3c0dcc-db1b-4306-bb1c-07b7159e5ce3,Mint Set,U.S. Uncirculated Coin Mint Sets,Receipt_2026-06-03_095940.pdf,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 84 ONE PANEL AT $39.95 PLUS $4.50 SHIPPING AND SERVICE 2024 DENVER MINT PANEL,set,set denomination: Mint Set,False
7e07d8a3-0260-4e10-8a0d-fa30667096f9,5-Coin Set,America Revisited Club,Scan_20260129 (47).pdf,67573806,YEAR SETS: AMERICA REVISITED SELECTION 1939 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
80bf650a-e6a6-43bb-b276-eff16ff95f6f,Kennedy Half Dollar & Native American Dollar,USA Invoice Import,Receipt_2026-06-03_091829.pdf,67290645,2024 P and D Mint Kennedy Half Dollars and Native American Dollars in Showpak,set,multi-coin denomination text: Kennedy Half Dollar & Native American Dollar,False
832aa84c-9c38-4a9c-87a4-b5dc167e29e2,Mint Set,U.S. Uncirculated Coin Mint Sets,Receipt_2026-06-03_095940.pdf,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 81 2022 DENVER MINT PANEL,set,set denomination: Mint Set,False
83c3f2a9-a51f-4d6d-b8ff-a0cfda76819f,Mint Set,U.S. Uncirculated Coin Mint Sets,Receipt_2026-06-03_095940.pdf,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 82 2023 DENVER MINT PANEL,set,set denomination: Mint Set,False
99b9b27b-9926-4c39-99e8-849c73a561d8,Prestige Proof Set,USA Invoice Import,Receipt_2026-06-03_101701_Part1.pdf,67343149,1990 6 Coin Prest Prf Set Ike$,set,set denomination: Prestige Proof Set,False
9e227c76-aac2-4739-8e8c-553c6e3f03a0,Mint Set,U.S. Uncirculated Coin Mint Sets,Receipt_2026-06-03_095940.pdf,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 85 2024 PHILADELPHIA MINT PANEL,set,set denomination: Mint Set,False
a1b3365c-87a8-431a-aee1-bb850ab9ec38,Proof Set,USA Invoice Import,Receipt_2026-06-03_101701_Part1.pdf,67506820,1983-S Clad Proof Set 5 Coins,set,set denomination: Proof Set,False
a72e3346-283a-4227-918b-b5704c95e470,Half Dollar,The U.S. Coin Complete Denomination Set,Receipt_2026-06-03_095754.pdf,406368555,THE U.S. COIN COMPLETE DENOMINATION SET ENCLOSED IS SHIPMENT # 3 WALKING LIBERTY HALF-DOLLAR,set,set program keyword 'denomination set': The U.S. Coin Complete Denomination Set,False
a9981b16-48ba-4125-a26d-14bcef77b1b2,Dime,The U.S. Coin Complete Denomination Set,Receipt_2026-06-03_095754.pdf,406368555,THE U.S. COIN COMPLETE DENOMINATION SET ENCLOSED IS SHIPMENT # 2 MERCURY DIME,set,set program keyword 'denomination set': The U.S. Coin Complete Denomination Set,False
aba9c78e-dd1f-4c6d-b141-5ad291ffdebe,5-Coin Set,Time Capsule Year Set,Scan_20260129 (43).pdf,68120353,1956 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
aea35072-c05d-47c8-8af2-fbb67a008564,Mint Set,U.S. Uncirculated Coin Mint Sets,Receipt_2026-06-03_095940.pdf,362308793,U.S. UNCIRCULATED COIN MINT SETS SHIPMENT 83 2023 PHILADELPHIA MINT PANEL,set,set denomination: Mint Set,False
b25c8741-0651-4791-91d7-bcc644100337,Dollar,Statehood Innovation Dollar Coin Collection,Scan_20260129 (116).pdf,389188129,THE STATEHOOD INNOVATION DOLLAR COIN COLLECTION SHIPMENT 26 ARKANSAS,(no change),,False
b7b05393-971d-481a-90d7-b5e889b287d4,5-Coin Set,Time Capsule Year Set,Scan_20260129 (43).pdf,68120353,1951 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
d32e2153-6e7e-448b-a990-dc15f52492f7,Various,Time Capsule Year Set,Scan_20260129 (46).pdf,67417854,YEAR SETS: AMERICA REVISITED SELECTION 1935 5-Coin Time Capsule Year Set Taxable Item Circulated o,set,set denomination: Various,False
d7844735-849e-4484-a30a-9a1773b32bdf,Birth Year Set,Birth Year Set,Receipt_2026-06-03_091154.pdf,71802670-1,1942 Birth Yr Coin and Silver Comm. Set,set,set denomination: Birth Year Set,False
d83f9c09-3920-419b-bffb-fa10e03e7b49,5-Coin Set,Time Capsule Year Set,Scan_20260129 (43).pdf,68120353,1937 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
d98905f1-133a-492b-9fc0-bc3a3fe5a610,Half Dollar,Half Dollar Club,Scan_20260129 (49).pdf,68120369,THE HALF DOLLAR CLUB SELECTION 1819 9/8 Capped Bust Silver Half Dollar Small 9/8 NGC XFineDetails Taxable Item,(no change),,False
e51474e4-40e0-4e8b-99af-4a488f7bb392,5-Coin Set,Time Capsule Year Set,Scan_20260129 (43).pdf,68120353,YEAR SETS: AMERICA REVISITED SELECTION 1934 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
e890d7de-51bc-4e39-b103-21f3fb1f59d7,Half Dollar,Capped Bust,Scan_20260129 (38).pdf,66803808,THE HALF DOLLAR CLUB SELECTION 1824 Capped Bust Silver Half Dollar Over Various Dates Tax Free Item,(no change),,False
ef4e3c7c-280c-4585-99b8-f684024ade8e,5-Coin Set,Time Capsule Year Set,Scan_20260128 (14).pdf,67305371,"1964 5-Coin Time Capsule Year Set
Tax Free Item",set,set denomination: 5-Coin Set,False
f2390946-f278-4030-af2a-88af8701c04a,Half Dollar,Coins-on-Approval,Receipt_2026-06-03_102540.pdf,68564410,"1986-S Statue of Liberty
Commemorative Half Dollar
Taxable Item Ch Proof-63",other,commercial placeholder,False
faa6f5ec-467e-4657-b06d-3a3be047c78e,"Lincoln Cent, Jefferson Nickel",Transition Set,Receipt_2026-01-28_161141.pdf,67226944,21st Century Penny and Nickel Transition Set Tax Free Item,set,"multi-coin denomination text: Lincoln Cent, Jefferson Nickel",False
fc5b1bb6-6a65-4b7c-bed5-68133a3ff125,Half Dollar,Proof U.S. Half-Dollars,Receipt_2026-06-03_102331.pdf,407840339,PROOF U.S. HALF-DOLLARS ENCLOSED IS SHIPMENT # 1 1986 STATUE OF LIBERTY CENTENNIAL,(no change),,False
fcffa3d4-4dbe-4bf8-aa9c-2f6d48f6a298,5-Coin Set,Time Capsule Year Set,Scan_20260129 (48).pdf,67521147,YEAR SETS: AMERICA REVISITED SELECTION 1936 5-Coin Time Capsule Year Set Taxable Item,set,set denomination: 5-Coin Set,False
