category,status,denomination,year,mint_mark,program,condition,grading_service,cert_number,image_url_obverse,image_url_reverse,doc_id
SET/COLLECTION RECORD,MISSING_BOTH,,1979S,,Clad Proof Set 6 coins,ch proof 63,,,,,71692645-e377-4760-b4f5-814b888016b5
SET/COLLECTION RECORD,MISSING_BOTH,,1980S,,Clad  Proof Set 6 coins,ch proog 63,,,,,9e9cc96d-e1e0-401a-b2db-3f4d324696b6
SET/COLLECTION RECORD,MISSING_BOTH,,1981S,,Filled S Proof Set 6 Coins,ch proof 63,,,,,a7e2f803-1ccd-46ea-a7c1-7be33f4ee08b
SET/COLLECTION RECORD,MISSING_BOTH,,1982S,,Clad  Proof Set 5 coins,ch proog 63,,,,,a51a5054-788f-457f-b29f-54d787de7acc
SET/COLLECTION RECORD,MISSING_BOTH,,1983S,,Clad  Proof Set 6 coins,ch proog 63,,,,,16514dac-1400-4c41-8b91-9a22ea5c5191
SET/COLLECTION RECORD,MISSING_BOTH,,1985S,,Clad  Proof Set 5 coins,ch proog 63,,,,,d1eff7aa-7484-4297-94fd-8675609d6ccb
SET/COLLECTION RECORD,MISSING_BOTH,,1987S,,Clad Proof Set 5 coins,ch proof 63,,,,,e914d030-594e-4715-91a1-9b26d3820c58
SET/COLLECTION RECORD,MISSING_BOTH,,1989S,,Clad  Proof Set 5 coins,ch proog 63,,,,,07d4031a-a0bd-42a2-a702-a4e81b5b01e7
SET/COLLECTION RECORD,MISSING_BOTH,,1989S,,Clad  Proof Set 5 coins,ch proog 63,,,,,c81c7942-47c0-49c5-a53f-b1a1a9420a68
SET/COLLECTION RECORD,MISSING_BOTH,,1995S,,Clad  Proof Set 5 coins,ch proog 63,,,,,99046f2e-7d32-4957-acce-01f8e46399dc
SET/COLLECTION RECORD,MISSING_BOTH,,1996S,,Clad proof set 5 coins,ch proof 63,,,,,594aaaef-70f6-4d77-8443-4da736df9153
SET/COLLECTION RECORD,MISSING_BOTH,,1998S,,Clad Proof Set 5 coins,ch proof 63,,,,,5bfd2a89-7bbd-4f78-b828-a88e574e340a
SET/COLLECTION RECORD,MISSING_BOTH,,1999S,,Clad  Proof Set 9 coins,ch proog 63,,,,,f55555a4-2e15-4551-bba4-a3f03863a97a
SET/COLLECTION RECORD,MISSING_BOTH,,2000S,,Clad Proof Set 10 Coins,ch proof 63,,,,,3c85311b-2391-4b6f-84ba-52a2cef9d096
SET/COLLECTION RECORD,MISSING_BOTH,,2001S,,Clad  Proof Set 10 coins,ch proog 63,,,,,a34d398d-792c-40b8-a35e-4cb895462543
SET/COLLECTION RECORD,MISSING_BOTH,,2001S,,Silver Proof set 10 coins,ch proof 63,,,,,e8356cde-97ea-4283-93e9-b7d997269730
SET/COLLECTION RECORD,MISSING_BOTH,,2002S,,Clad Proof Set 10 Coins,ch proof 63,,,,,b3adf0c3-5c6b-4a65-892a-accf5bc3c813
SET/COLLECTION RECORD,MISSING_BOTH,,2003S,,Clad Proof Set 10 Coins,ch proof 63,,,,,56965cd9-fcd6-4110-9db1-1de8bd398505
SET/COLLECTION RECORD,MISSING_BOTH,,2004S,,Clad  Proof Set 11 coins,ch proog 63,,,,,c0699946-4625-46ef-ad1e-32dec04f60f9
SET/COLLECTION RECORD,MISSING_BOTH,,2005S,,Clad Proof set  11 coins,ch proof 63,,,,,5cfd9020-ef60-4a9c-b8e8-6ccfc4eb1b45
SET/COLLECTION RECORD,MISSING_BOTH,,2006S,,Clad Proof Set 14 Coins,ch proof 63,,,,,0ae6ce64-6ec6-4599-92dc-2413ef43b60c
SET/COLLECTION RECORD,MISSING_BOTH,,2006S,,Silver Proof set 10 coins,ch proof 63,,,,,3baddf53-e57c-4280-9c12-25f6aa3935b1
SET/COLLECTION RECORD,MISSING_BOTH,,2006S,,Clad Proof Set 10 Coins,ch proof 63,,,,,7d33a2ce-c0cd-40d8-a2d3-906cc80617cd
SET/COLLECTION RECORD,MISSING_BOTH,,2007S,,Clad Proof Set 14 coins,ch proof 63,,,,,767bca45-aabb-46ea-ac10-14c94118134c
SET/COLLECTION RECORD,MISSING_BOTH,,2008S,,Clad Proof Set 14 coins,ch proof 63,,,,,b97b09d3-c61a-482b-9311-63cf8cbeac7f
SET/COLLECTION RECORD,MISSING_BOTH,,2009,,Lincoln Bicentennial cents colorized and gold plated 8 coin set,,,,,,782d600f-041e-4d29-bb2f-819205fe4260
SET/COLLECTION RECORD,MISSING_BOTH,,2009S,,Clad US Mint Proof set 18 coins,ch proof 63,,,,,b2cffe39-88c2-4dd6-b09b-cff247e99883
SET/COLLECTION RECORD,MISSING_BOTH,,2013S,,Clad Proof Set 14 coins,ch proof 63,,,,,7afa9416-4e1e-45c6-9c86-242716e90e3e
SET/COLLECTION RECORD,MISSING_BOTH,,2013S,,Clad Proof Set 14 coins,ch proof 63,,,,,83203916-5509-47aa-9131-d639ba17ed4e
SET/COLLECTION RECORD,MISSING_BOTH,,2014S,,Clad  Proof Set 14 coins,ch proog 63,,,,,24712445-a2b9-477f-ab46-4663d5834f35
SET/COLLECTION RECORD,MISSING_BOTH,,2015S,,Clad Proof Set 14 coins,ch proof 63,,,,,83ba22b0-4bb3-43cf-8560-d27e65a694bd
SET/COLLECTION RECORD,MISSING_BOTH,,2016S,,Clad  Proof Set 13 coins,ch proog 63,,,,,c3439d5a-b9c2-497f-a6ac-21a32bc94821
SET/COLLECTION RECORD,MISSING_BOTH,,2017S,,Clad Proof Set 10 coins,ch proof 63,,,,,cb23c3dd-b320-4b2f-8c4b-30750587340d
SET/COLLECTION RECORD,MISSING_BOTH,,2017S,,National Park Year Set San Francisco Mint 5 coins,uncirculated,,,,,e9584d04-8ac0-4bd6-a190-d3d4ec961cb6
SET/COLLECTION RECORD,MISSING_BOTH,,2018-20,,P&D American Innovation Set (18),uncirculated,,,,,50587c4e-9fb7-4f8b-a078-8faab1a69c9c
SET/COLLECTION RECORD,MISSING_BOTH,,2018-20,,Complete 50 Native American Quarters and folder,uncirculated,,,,,ac023324-941d-4407-9ba6-823f7cf84f94
SET/COLLECTION RECORD,MISSING_BOTH,,2018-20,,41 Native American quarters and folder,circulated,,,,,acdfa271-9d92-428f-8625-8d7d2adf08ac
SET/COLLECTION RECORD,MISSING_BOTH,,2018-20,,P&D American Innovation set (18),uncirculated,,,,,d6fa0ed7-ef8f-4161-beb6-3c64963fabbf
SET/COLLECTION RECORD,MISSING_BOTH,,2018S,,Clad  Proof Set 10 coins,ch proog 63,,,,,3ac52092-ab2a-454d-9823-5a62daebf5c8
SET/COLLECTION RECORD,MISSING_BOTH,,2018S,,National Park Year Set San Francisco Mint 5 coins,uncirculated,,,,,a309093b-e598-420a-a268-b7a45fae02ff
SET/COLLECTION RECORD,MISSING_BOTH,,2019S,,Clad Proof Set 11 coins,ch proof 63,,,,,eb1510e8-07f6-4ac4-9b00-e43bce8c4f70
SET/COLLECTION RECORD,MISSING_BOTH,,2020S,,AI$ Proof Set,ch proof 63,,,,,31cf4601-c9b1-4da1-bfd3-da27619c50c1
SET/COLLECTION RECORD,MISSING_BOTH,,2021S,,Clad Silver Proof Set 7 coins,ch proof 63,,,,,dbaced33-6b8a-409a-b312-07d9d5702cd6
SET/COLLECTION RECORD,MISSING_BOTH,,2022S,,Clad Proof Set 10 coins,ch proof 63,,,,,6a4b0ac2-123e-42c4-9a0b-fe97ff49c7c4
SET/COLLECTION RECORD,MISSING_BOTH,Dime,,,Mercury Silver Dime PDS Set 3 coins,average circ,,,,,b4024931-11e2-4f84-b297-c30293873752
SET/COLLECTION RECORD,MISSING_BOTH,Dollar,1971-78,,Eisenhower Dollar set 16 coins with lbum,unc Proog 63,,,,,4583bee5-e188-46f6-bec7-991df646c3b2
SET/COLLECTION RECORD,MISSING_BOTH,Dollar,2021,S,2021s ase t-1 & t-2 Emergency issue set FDOI NGC MS70 signed by John Mercanti,,,,,,b945df94-501f-44a6-9e03-da2f20791619
SET/COLLECTION RECORD,MISSING_BOTH,multiple,1885,CC,1880-1885CC 6 piece carson city Morgan dollar set PCGS MS64,,,,,,810449e9-409a-4e40-b185-211ab9af083a
SET/COLLECTION RECORD,MISSING_BOTH,Nickel,,,Buffalo Nickel 3 coin All Mint set,fine,,,,,393be615-0383-4b0d-95d6-3a9e372935df
SET/COLLECTION RECORD,MISSING_BOTH,Nickel,11914-16,,Buffalo Nickel 3 coin mint set,average circ,,,,,ed7ca15b-e10b-4f6a-bdc4-2e3ab23c394b
SET/COLLECTION RECORD,MISSING_BOTH,Penny,1943-46,,Wartime Lincoln Head Cent Set with folder 12 coins,average circ,,,,,80aa32b3-2227-4faf-b490-e1bc2dc4fc27
SET/COLLECTION RECORD,MISSING_BOTH,Penny,19th & 20th century,,Indian Head Cent 2 coin set with case,extra fine,,,,,41a697a1-2a51-4b08-a3ba-0f6ad94e230f
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,1883,,Hawaiian Silver Quarter PCGS,very ch unc,,,,,4b608086-063a-4f7e-870b-14538d71d791
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,1916-1920,,5 Different Mint Weat Cents,,,,,,537b08c8-95c6-4311-9599-fbd96fe5f16c
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,1968-98,,31 different US proof sets,ch proof 63,,,,,0ae1daa6-c92a-4b2b-99c2-1c04bee4d227
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,2021D,,Washington Crossing the Delaware,uncirculated,,,,,fd14d0d4-245b-4cbd-b106-7ef55afe7673
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,2021P,,Washington Crossing the Delaware,uncirculated,,,,,abde55bf-a51a-49be-a344-303d271e3cf1
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,2021S,,Clad Proof Set7 coins,ch proof 63,,,,,530211bf-d177-40a1-b84c-e759d045103b
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,2021S,,Washington Crossing the Delaware silver,proof,,,,,71f71910-ff08-4582-90f3-7141811e53b4
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,,2021S,,Washington Crossing the Delaware,proof,,,,,c6f6b9b9-696c-4fc0-826a-7c0cd4dc427b
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Cent,1943,S,Lincoln Steel Cent,,,,,,416cadeb-1436-4edd-948a-11d94eedfeee
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Cent,1943,D,Lincoln Steel Cent,,,,,,cffe4e8d-026f-4334-bf00-6db1f6cf49f5
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Cent,1943,P,Lincoln Steel Cent,,,,,,eaabfde2-3cc6-4105-ba20-2504d7cd1245
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Dime,1883,,Hawaiian Silver Dime PCGS,about unc 50,,,,,d283d60b-5cb1-4632-a505-ba2dd6fbc754
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Dollar,1987S,,Consitution silver dollar commemorative in case79.95,,,,,,8fb30fc1-8a61-48c6-bd35-e5511ad31798
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Dollar,2006P,,"Franklin dollar commemorative ""Scientist"" no case PR63",ch proof 63,,,,,739baa56-197f-414a-8df1-dd40c29fdbcf
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Dollar,2021,W,2021 W ASE T-1 FDOI PF70 ULTRA CAMEO signed by John Mercanti,,,,,,2e922f8d-b9ff-4fde-8868-c40414305f4a
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,multiple,,,25 Mixed Peace Dollars AU/BU,,,,,,1e3ea95e-c750-4b62-90a4-01e9eaa87404
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Nickel,,,Buffalo Nickel,,,,,,65b471d0-a182-4cd5-971b-f2121e93898d
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Nickel,,,Buffalo Nickel,,,,,,740898ca-a9dc-4c46-b1a0-3b51ff2e60d9
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Nickel,,,Buffalo Nickel,,,,,,7f2ac628-7dc3-4e1f-8c1a-721e25a5a72c
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Nickel,,,Buffalo Nickel,,,,,,9ff5191f-baef-4bbf-97e2-6247b0a440d2
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Nickel,1936-38,,Last seven Buffalo Nickels,genuine or B,,,,,0e48a7da-5939-45cb-a1bd-3d31bb35ce97
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Penny,1899,,Indian Head Cent,Good,,,,,491cd15e-25d9-455c-a02e-356055cb4bbf
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Penny,1900,,Indian Head Cent,Good,,,,,041191a5-08b7-4e80-b569-0f9f9400fe2d
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Penny,1908,,Indian Head Cent,Good,,,,,bac811e8-5bf2-49b7-a16d-be737d064c4a
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Penny,1909,,Lincoln Cent,Very Fine,,,,,79af72ea-e5a1-4770-b862-52c5e7302a43
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Penny,1909,,Lincoln Cent,Extra Fine,,,,,810c17b4-dea9-44cc-8abc-7b37fc2ce920
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Penny,1941,S,Lincoln Cent,Average Circulated,,,,,7bf94375-b8e7-4209-8083-f1b5fcec250d
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,164dd6b9-e049-4856-9aec-acf21b7500bf
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Ch Proof-63,None,,,,1dec046e-52bf-42f8-8d3c-f08c8263c63f
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,32c862a4-a4ce-4501-8305-848320b0081f
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,33b72c4a-030e-4f53-9bb6-db18c380716a
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,6c442551-200a-490c-ba0e-457572ae7c9a
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Ch Proof-63,None,,,,86d48b2f-1066-46eb-8b51-01a982bef40b
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,8ded18a3-50ce-457f-9d4d-354d63990a98
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,9a450d35-cca8-4e9d-b812-c8e5cae9b0b2
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Ch Proof-63,None,,,,a30614b8-2b63-4e2d-84ba-7325a0a34305
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Ch Proof-63,None,,,,a34ce55b-846c-4b8b-a035-e2b66ed557f7
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,c731f144-73a5-4048-bf57-7e191a547153
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,d9797ec2-5c2a-43e7-9af2-25feb6ba605d
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,e3af3be5-2c6c-4033-8dae-46fe13ea9fd8
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Ch Proof-63,None,,,,e63bb5b7-e2ea-4ce7-846d-fbecb4ba88a2
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2023,S,American Women Quarters,Proof-63,None,,,,ec9e51e5-050e-4cd8-bbde-5836021a9f30
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,1339742c-737f-47d7-853b-50c2dc95b76b
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Ch Proof-63,None,,,,1bf11658-89d5-4e76-b691-5a0514425f2d
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,P,American Women Quarters,Uncirculated,None,,,,259f5738-ba14-4987-ac71-8869f78bb5d2
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,380064e6-44e3-49cc-83c2-3f00ef525a69
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Ch Proof-63,None,,,,45854b50-a3bc-431b-928b-fc92420b0644
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,59ba65c4-fc37-4aeb-bcab-a9dcea74b1d2
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Ch Proof-63,None,,,,65bce2a8-4509-4e41-b103-62bd1a64a634
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,D,American Women Quarters,Uncirculated,None,,,,6da29950-10fb-42b8-b8ae-6e0896170004
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,75631af9-903f-43fc-8708-46f027a1afc0
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,D,American Women Quarters,Uncirculated,None,,,,75748608-aff4-4b82-bbec-f842294fcc2a
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,P,American Women Quarters,Uncirculated,None,,,,987e1aad-b8c0-4ef3-80a9-c40a4d483065
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,D,American Women Quarters,Uncirculated,None,,,,9f1d0319-1267-453a-a2bc-f94c59d41118
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,9f51e0a1-a7d2-4de4-89c0-89633abcf24e
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,be83a83f-f21a-4533-bdc7-64f4a0452e0d
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Ch Proof-63,None,,,,ce446654-0cbb-4736-a730-04f5488f98ae
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,df84b4ed-5802-4e80-9119-3ba68a6b9f2e
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,P,American Women Quarters,Uncirculated,None,,,,dfcc44ff-585e-405d-aec4-442211ad1abf
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Ch Proof-63,None,,,,e428e26c-3915-48c1-b061-2172eb296a0e
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,e8ee38b9-871b-4562-85af-05eae7cf827c
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,effecf13-03c9-4a17-896c-3d4c311e68e2
SINGLE COIN NEEDS IMAGE,MISSING_BOTH,Washington Quarter,2024,S,American Women Quarters,Proof-63,None,,,,f9089b68-bf65-482a-b1bd-66ef105327a6
