"Name","RelPath"
"1907-saint-gaudens-semiq-gold-obverse.jpg","US Mint\HighRes_Scrape\1907-saint-gaudens-semiq-gold-obverse.jpg"
"1907-saint-gaudens-semiq-gold-reverse.jpg","US Mint\HighRes_Scrape\1907-saint-gaudens-semiq-gold-reverse.jpg"
"1908-indian-head-quarter-eagle-reverse.jpg","US Mint\Bulk_Scrape\Gold_Eagles\1908-indian-head-quarter-eagle-reverse.jpg"
"1913-buffalo-nickel-obverse.jpg","US Mint\Bulk_Scrape\Nickel\1913-buffalo-nickel-obverse.jpg"
"1916%20Standing%20Liberty%20Quarter%20Obverse%20Philadelphia.jpg","US Mint\Bulk_Scrape\Generic_Quarters\1916%20Standing%20Liberty%20Quarter%20Obverse%20Philadelphia.jpg"
"1916%20Walking%20Liberty%20Half%20Dollar%20Obverse%20Philadelphia.jpg","US Mint\Bulk_Scrape\Half_Dollar\1916%20Walking%20Liberty%20Half%20Dollar%20Obverse%20Philadelphia.jpg"
"1916%20Walking%20Liberty%20Half%20Dollar%20Reverse.jpg","US Mint\Bulk_Scrape\Half_Dollar\1916%20Walking%20Liberty%20Half%20Dollar%20Reverse.jpg"
"1916_Standing_Liberty_quarter_obverse_1__attr__Lost_Dutchman_Rare_Coins.png","wikipedia\historic_quarters\1916_Standing_Liberty_quarter_obverse_1__attr__Lost_Dutchman_Rare_Coins.png"
"1916_Standing_Liberty_quarter_reverse__attr__Lost_Dutchman_Rare_Coins.jpg","wikipedia\historic_quarters\1916_Standing_Liberty_quarter_reverse__attr__Lost_Dutchman_Rare_Coins.jpg"
"1916-Mercury-Dime-Obverse-Denver.jpg","US Mint\Bulk_Scrape\Dime\1916-Mercury-Dime-Obverse-Denver.jpg"
"1916-Mercury-Dime-Reverse-Denver.jpg","US Mint\Bulk_Scrape\Dime\1916-Mercury-Dime-Reverse-Denver.jpg"
"1919-buffalo-nickel-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Nickel\1919-buffalo-nickel-reverse-2000x2000.jpg"
"1932-george-washington-quarter-obverse.jpg","US Mint\Bulk_Scrape\Generic_Quarters\1932-george-washington-quarter-obverse.jpg"
"1942-philadelphia-nickel-reverse.jpg","US Mint\Bulk_Scrape\Nickel\1942-philadelphia-nickel-reverse.jpg"
"1943-penny-reverse.jpg","US Mint\Bulk_Scrape\Penny\1943-penny-reverse.jpg"
"1943-steel-penny-obverse.jpg","US Mint\Bulk_Scrape\Penny\1943-steel-penny-obverse.jpg"
"1946-booker-t-washington-commemorative-silver-half-dollar-coin-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1946-booker-t-washington-commemorative-silver-half-dollar-coin-obverse.jpg"
"1946-iowa-statehood-centennial-commemorative-silver-half-dollar-coin-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1946-iowa-statehood-centennial-commemorative-silver-half-dollar-coin-reverse.jpg"
"1952-george-w-carver-booker-t-washington-commemorative-silver-half-dollar-coin-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1952-george-w-carver-booker-t-washington-commemorative-silver-half-dollar-coin-obverse.jpg"
"1974-Gerald-Ford-Mary-Brooks-First-Strike.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1974-Gerald-Ford-Mary-Brooks-First-Strike.jpg"
"1975-1975%20kennedy%20half%20dollar%20obverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1975-1975%20kennedy%20half%20dollar%20obverse.jpg"
"1975-1975%20kennedy%20half%20dollar%20obverse.jpg","US Mint\Bulk_Scrape\Half_Dollar\1975-1975%20kennedy%20half%20dollar%20obverse.jpg"
"1975-1976%20bicentennial%20quarter%20obverse.jpg","US Mint\Bulk_Scrape\Bicentennial\1975-1976%20bicentennial%20quarter%20obverse.jpg"
"1975-1976%20bicentennial%20quarter%20obverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1975-1976%20bicentennial%20quarter%20obverse.jpg"
"1976-anthony-wayne-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-anthony-wayne-medal-obverse2000x2000.jpg"
"1976-anthony-wayne-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-anthony-wayne-medal-reverse2000x2000.jpg"
"1976-army-medal-obverse1050x1050.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-army-medal-obverse1050x1050.jpg"
"1976-army-medal-reverse1050x1050.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-army-medal-reverse1050x1050.jpg"
"1976-bicentennial-dollar-reverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-bicentennial-dollar-reverse.jpg"
"1976-bicentennial-dollar-reverse.jpg","US Mint\Bulk_Scrape\Dollar\1976-bicentennial-dollar-reverse.jpg"
"1976-bicentennial-dollar-reverse.jpg","US Mint\Bulk_Scrape\Bicentennial\1976-bicentennial-dollar-reverse.jpg"
"1976-bicentennial-half-dollar-reverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-bicentennial-half-dollar-reverse.jpg"
"1976-bicentennial-half-dollar-reverse.jpg","US Mint\Bulk_Scrape\Bicentennial\1976-bicentennial-half-dollar-reverse.jpg"
"1976-bicentennial-half-dollar-reverse.jpg","US Mint\Bulk_Scrape\Half_Dollar\1976-bicentennial-half-dollar-reverse.jpg"
"1976-bicentennial-quarter-reverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-bicentennial-quarter-reverse.jpg"
"1976-bicentennial-quarter-reverse.jpg","US Mint\Bulk_Scrape\Generic_Quarters\1976-bicentennial-quarter-reverse.jpg"
"1976-bicentennial-quarter-reverse.jpg","US Mint\Bulk_Scrape\Bicentennial\1976-bicentennial-quarter-reverse.jpg"
"1976-daniel-morgan-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-daniel-morgan-medal-obverse2000x2000.jpg"
"1976-daniel-morgan-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-daniel-morgan-medal-reverse2000x2000.jpg"
"1976-de-fleury-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-de-fleury-medal-obverse2000x2000.jpg"
"1976-de-fleury-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-de-fleury-medal-reverse2000x2000.jpg"
"1976-eisenhower-dollar-obverse.jpg","US Mint\Bulk_Scrape\Dollar\1976-eisenhower-dollar-obverse.jpg"
"1976-eisenhower-dollar-obverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-eisenhower-dollar-obverse.jpg"
"1976-henry-lee-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-henry-lee-medal-obverse2000x2000.jpg"
"1976-henry-lee-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-henry-lee-medal-reverse2000x2000.jpg"
"1976-horatio-gates-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-horatio-gates-medal-obverse2000x2000.jpg"
"1976-horatio-gates-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-horatio-gates-medal-reverse2000x2000.jpg"
"1976-john-howard-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-john-howard-medal-obverse2000x2000.jpg"
"1976-john-howard-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-john-howard-medal-reverse2000x2000.jpg"
"1976-john-paul-jones-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-john-paul-jones-medal-obverse2000x2000.jpg"
"1976-john-paul-jones-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-john-paul-jones-medal-reverse2000x2000.jpg"
"1976-nathaniel-greene-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-nathaniel-greene-medal-obverse2000x2000.jpg"
"1976-nathaniel-greene-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-nathaniel-greene-medal-reverse2000x2000.jpg"
"1976-national-medal-gold-obverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-national-medal-gold-obverse.jpg"
"1976-national-medal-gold-reverse.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-national-medal-gold-reverse.jpg"
"1976-washington-boston-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-washington-boston-medal-obverse2000x2000.jpg"
"1976-washington-boston-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-washington-boston-medal-reverse2000x2000.jpg"
"1976-william-washington-medal-obverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-william-washington-medal-obverse2000x2000.jpg"
"1976-william-washington-medal-reverse2000x2000.jpg","US Mint\Bulk_Scrape\Bicentennial_Retry\1976-william-washington-medal-reverse2000x2000.jpg"
"1982-george-washington-commemorative-clad-half-dollar-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1982-george-washington-commemorative-clad-half-dollar-obverse-2000x2000.jpg"
"1982-george-washington-commemorative-clad-half-dollar-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives\1982-george-washington-commemorative-clad-half-dollar-obverse-2000x2000.jpg"
"1982-george-washington-commemorative-clad-half-dollar-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1982-george-washington-commemorative-clad-half-dollar-reverse-2000x2000.jpg"
"1983-olympics-Los-Angeles-dollar-discus-throw-commemorative-silver-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1983-olympics-Los-Angeles-dollar-discus-throw-commemorative-silver-dollar-proof-obverse.jpg"
"1983-olympics-Los-Angeles-dollar-discus-throw-commemorative-silver-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives\1983-olympics-Los-Angeles-dollar-discus-throw-commemorative-silver-dollar-proof-obverse.jpg"
"1983-olympics-Los-Angeles-dollar-discus-throw-commemorative-silver-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1983-olympics-Los-Angeles-dollar-discus-throw-commemorative-silver-dollar-proof-reverse.jpg"
"1984_Olympic_Runners-Proof_Ten_Dollars_attr_National_Museum_of_American_History.jpg","AJ's\1984_Olympic_Runners-Proof_Ten_Dollars_attr_National_Museum_of_American_History.jpg"
"1984-olympics-Los-Angeles-coliseum-commemorative-silver-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1984-olympics-Los-Angeles-coliseum-commemorative-silver-dollar-proof-obverse.jpg"
"1984-olympics-Los-Angeles-coliseum-commemorative-silver-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1984-olympics-Los-Angeles-coliseum-commemorative-silver-dollar-proof-reverse.jpg"
"1984-olympics-los-angeles-runners-commemorative-gold-ten-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1984-olympics-los-angeles-runners-commemorative-gold-ten-dollar-proof-obverse.jpg"
"1984-olympics-los-angeles-runners-commemorative-gold-ten-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1984-olympics-los-angeles-runners-commemorative-gold-ten-dollar-proof-reverse.jpg"
"1986-statue-of-liberty-commemorative-clad-half-dollar-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1986-statue-of-liberty-commemorative-clad-half-dollar-obverse-2000x2000.jpg"
"1986-statue-of-liberty-commemorative-clad-half-dollar-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1986-statue-of-liberty-commemorative-clad-half-dollar-reverse-2000x2000.jpg"
"1986-statue-of-liberty-commemorative-gold-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1986-statue-of-liberty-commemorative-gold-obverse-2000x2000.jpg"
"1986-statue-of-liberty-commemorative-gold-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives\1986-statue-of-liberty-commemorative-gold-obverse-2000x2000.jpg"
"1986-statue-of-liberty-commemorative-gold-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1986-statue-of-liberty-commemorative-gold-reverse-2000x2000.jpg"
"1986-statue-of-liberty-silver-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1986-statue-of-liberty-silver-dollar-proof-obverse.jpg"
"1986-statue-of-liberty-silver-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1986-statue-of-liberty-silver-dollar-proof-reverse.jpg"
"1987-constitution-bicentennial-commemorative-gold-five-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1987-constitution-bicentennial-commemorative-gold-five-dollar-proof-obverse.jpg"
"1987-constitution-bicentennial-commemorative-gold-five-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1987-constitution-bicentennial-commemorative-gold-five-dollar-proof-reverse.jpg"
"1987-constitution-bicentennial-silver-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives\1987-constitution-bicentennial-silver-dollar-proof-obverse.jpg"
"1987-constitution-bicentennial-silver-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1987-constitution-bicentennial-silver-dollar-proof-obverse.jpg"
"1987-constitution-bicentennial-silver-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1987-constitution-bicentennial-silver-dollar-proof-reverse.jpg"
"1988-olympics-seoul-korea-commemorative-silver-one-dollar-proof-obverse-768x723.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1988-olympics-seoul-korea-commemorative-silver-one-dollar-proof-obverse-768x723.jpg"
"1988-olympics-seoul-korea-commemorative-silver-one-dollar-proof-reverse-768x739.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1988-olympics-seoul-korea-commemorative-silver-one-dollar-proof-reverse-768x739.jpg"
"1988-olympics-seoul-korea-gold-fivedollar-uncirculated-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1988-olympics-seoul-korea-gold-fivedollar-uncirculated-obverse.jpg"
"1988-olympics-seoul-korea-gold-fivedollar-uncirculated-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1988-olympics-seoul-korea-gold-fivedollar-uncirculated-reverse.jpg"
"1989-congress-bicentennial-commemorative-clad-half-dollar-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1989-congress-bicentennial-commemorative-clad-half-dollar-obverse-2000x2000.jpg"
"1989-congress-bicentennial-commemorative-clad-half-dollar-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1989-congress-bicentennial-commemorative-clad-half-dollar-reverse-2000x2000.jpg"
"1989-congress-bicentennial-commemorative-silver-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1989-congress-bicentennial-commemorative-silver-obverse-2000x2000.jpg"
"1989-congress-bicentennial-commemorative-silver-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1989-congress-bicentennial-commemorative-silver-reverse-2000x2000.jpg"
"1989-congress-bicentennial-gold-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1989-congress-bicentennial-gold-obverse-2000x2000.jpg"
"1989-congress-bicentennial-gold-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1989-congress-bicentennial-gold-reverse-2000x2000.jpg"
"1990-eisenhower-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives\1990-eisenhower-obverse-2000x2000.jpg"
"1990-eisenhower-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1990-eisenhower-obverse-2000x2000.jpg"
"1990-eisenhower-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1990-eisenhower-reverse-2000x2000.jpg"
"1991-1995-WWII-fiftieth-anniversary-commemorative-clad-half-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-1995-WWII-fiftieth-anniversary-commemorative-clad-half-dollar-proof-obverse.jpg"
"1991-1995-WWII-fiftieth-anniversary-commemorative-clad-half-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-1995-WWII-fiftieth-anniversary-commemorative-clad-half-dollar-proof-reverse.jpg"
"1991-korean-war-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives\1991-korean-war-obverse-2000x2000.jpg"
"1991-korean-war-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-korean-war-obverse-2000x2000.jpg"
"1991-korean-war-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-korean-war-reverse-2000x2000.jpg"
"1991-mount-rushmore-commemorative-clad-half-dollar-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-mount-rushmore-commemorative-clad-half-dollar-obverse-2000x2000.jpg"
"1991-mount-rushmore-commemorative-clad-half-dollar-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives\1991-mount-rushmore-commemorative-clad-half-dollar-obverse-2000x2000.jpg"
"1991-mount-rushmore-commemorative-clad-half-dollar-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-mount-rushmore-commemorative-clad-half-dollar-reverse-2000x2000.jpg"
"1991-mount-rushmore-commemorative-gold-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-mount-rushmore-commemorative-gold-obverse-2000x2000.jpg"
"1991-mount-rushmore-commemorative-gold-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-mount-rushmore-commemorative-gold-reverse-2000x2000.jpg"
"1991-mount-rushmore-silver-dollar-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-mount-rushmore-silver-dollar-obverse-2000x2000.jpg"
"1991-mount-rushmore-silver-dollar-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-mount-rushmore-silver-dollar-reverse-2000x2000.jpg"
"1991-USO-50th-Anniversary-Silver-Dollar-Proof-Obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-USO-50th-Anniversary-Silver-Dollar-Proof-Obverse.jpg"
"1991-USO-50th-Anniversary-Silver-Dollar-Proof-Reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-USO-50th-Anniversary-Silver-Dollar-Proof-Reverse.jpg"
"1991-wwii-gold-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-wwii-gold-obverse-2000x2000.jpg"
"1991-wwii-gold-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1991-wwii-gold-reverse-2000x2000.jpg"
"1992-christopher-columbus-commemorative-clad-proof-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-christopher-columbus-commemorative-clad-proof-obverse-2000x2000.jpg"
"1992-christopher-columbus-commemorative-clad-proof-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-christopher-columbus-commemorative-clad-proof-reverse-2000x2000.jpg"
"1992-christopher-columbus-commemorative-gold-proof-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-christopher-columbus-commemorative-gold-proof-obverse-2000x2000.jpg"
"1992-christopher-columbus-commemorative-gold-proof-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-christopher-columbus-commemorative-gold-proof-reverse-2000x2000.jpg"
"1992-christopher-columbus-commemorative-silver-proof-obverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-christopher-columbus-commemorative-silver-proof-obverse-2000x2000.jpg"
"1992-christopher-columbus-commemorative-silver-proof-reverse-2000x2000.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-christopher-columbus-commemorative-silver-proof-reverse-2000x2000.jpg"
"1992-olympics-france-and-spain-commemorative-clad-half-dollar-proof-obverse-768x768.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-olympics-france-and-spain-commemorative-clad-half-dollar-proof-obverse-768x768.jpg"
"1992-olympics-france-and-spain-commemorative-clad-half-dollar-proof-reverse-768x768.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-olympics-france-and-spain-commemorative-clad-half-dollar-proof-reverse-768x768.jpg"
"1992-olympics-france-and-spain-commemorative-gold-five-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-olympics-france-and-spain-commemorative-gold-five-dollar-proof-obverse.jpg"
"1992-olympics-france-and-spain-commemorative-gold-five-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-olympics-france-and-spain-commemorative-gold-five-dollar-proof-reverse.jpg"
"1992-olympics-france-and-spain-commemorative-silver-one-dollar-proof-obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-olympics-france-and-spain-commemorative-silver-one-dollar-proof-obverse.jpg"
"1992-olympics-france-and-spain-commemorative-silver-one-dollar-proof-reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-olympics-france-and-spain-commemorative-silver-one-dollar-proof-reverse.jpg"
"1992-White-House-200th-Silver-Dollar-Proof-Obverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-White-House-200th-Silver-Dollar-Proof-Obverse.jpg"
"1992-White-House-200th-Silver-Dollar-Proof-Reverse.jpg","US Mint\Bulk_Scrape\Commemoratives_All\1992-White-House-200th-Silver-Dollar-Proof-Reverse.jpg"
