doc_id,cat,denom,year,desc,missing
82f1cccd-23c1-4c70-9a77-a733ab04a3db,Legal Tender Note,$5,1917,$5 Legal Tender Note Large Size,OBV+REV
841d190b-01de-43b8-8f5d-b1d496eebe7d,Federal Reserve Note,$20,1985,$20 Federal Reserve Note small size DD Block Inverted Back error FR1978 PMG,REV
846f58f9-9736-4a9a-ac44-ce27f9447595,Legal Tender Note,$2,1953B,$2 Legal Tender Note,REV
848ec127-f51c-4870-b438-5e468bf5168f,Unknown,$10,1800's,$10 canal Bank New Orleans Note with Bank,OBV+REV
858bd0d0-3c85-468c-9644-87d89aa75e0e,Federal Reserve Note,$2,1978,$2 federal reserve Note,OBV+REV
8623bb2f-6d9f-4c85-88b4-eb9176f4b367,Obsolete Currency,$100,1826,$100New York Marble Manufacturing Obsolete Bote NY 1705-024,OBV+REV
8686be42-0159-48d8-a923-e341cfc7f342,Silver Certificate,$2,1899,$2 Silver Certicate large size,OBV+REV
87189b96-278e-43de-8a20-efe597886f50,Silver Certificate,$1,1899,$1 silver certificate large size eagle,OBV+REV
8a457305-0b05-4766-be46-f8aa48e8cc41,Unknown,$10,1850's-1860's,$10 Falls Village Iton Bank (CT120G14C) PMG EDQ63,REV
8b809532-3fcf-4940-a2ff-f5bfc749d709,Legal Tender Note,$5,1928F,$5 Legal Tender Note,OBV+REV
8c02cf6c-7cd7-423f-99e6-bc934e8bf4de,Treasury Note,$1,1891,$1 Treasury Note Large size,REV
8d727753-884c-4a40-af67-e33df1c4fbab,Silver Certificate,$5,1934B,$5 Silver Certificate,REV
8dc33722-02b1-4ed4-886c-9b65d3135c74,National Bank Note,$5,1902,$5 Farmers and Merchants National Bank of Fort Branch Indiana #9077,OBV+REV
8dd18743-92d4-4843-a98a-9c4b0b5e4281,Unknown,$1,1850's-1860's,"The West River Bank Jamaica Vermont Uncut sheet of 4 ($1, $2, $3, & $5)",OBV+REV
8e0ac89a-d7be-4587-bc28-35b153ee841b,Legal Tender Note,,1928 C,5 Legal Tender Note,OBV+REV
8fe20fb4-3ae9-45c1-9a44-c2d18c4156bb,Silver Certificate,$10,1934A,$10 Silver Certificate,REV
90dc83e8-3467-43bf-86b3-695b2192a197,Silver Certificate,$10,1953,$10 silver certificate Star note,REV
92a5779f-f1fc-4908-973f-f0d742366a31,Federal Reserve Note,$50,1914,$50 Federal Reserve Note Large Size,REV
92fe14e6-968e-456c-a80e-b8c40d5b2325,Unknown,,,"W-CT- 250 CT Nank of NewEngland Uncut sheet 1,1,2,5 USO 20",OBV+REV
931605ae-2aa6-4b1d-a87a-98a6b32307a1,Legal Tender Note,$10,1880,$10 Legal Tender Note Large Size,OBV+REV
9934eed2-537a-42b8-87ed-9806982bd3e9,National Bank Note,$5,1929,$5 National Bank Note T1,OBV+REV
997f2950-8bda-4d90-a8ec-06b33a37e063,Silver Certificate,$10,1934,$10 Silver Certificate,REV
99d9085e-2896-427e-950a-f9e94b2e2939,Silver Certificate,$5,1953B,$5 Silver Certificate,REV
9a1a7689-e753-4199-9db8-ea4d90ecc18d,Federal Reserve Note,$5,1928A,$5 Federal Reserve Note,OBV+REV
9b09ff02-81c1-46c6-9c2f-b53ffa8bf53f,Legal Tender Note,$5,1953C,$5 Legal Tender Star Note,OBV+REV
9e7414d5-6ba0-4a67-b153-97d8f1d0d311,Silver Certificate,$5,1934C,$5 Silver Certificate,REV
9f7e5d43-c246-4c5b-9eed-12bfc40a3949,Legal Tender Note,$2,1917,$2 Legal Tender Note Large Size,REV
a178a481-fdbd-4aa4-9814-8c9e98e53863,Federal Reserve Note,$5,1934A,$5 Federal Reserve Note Hawaii,REV
a22becee-0cbd-459b-a3c1-cf8e321d9707,Federal Reserve Note,$10,1934A,$10 Federal Reserve Note,REV
a305e205-af44-460e-8d98-54e1ebd3891a,Federal Reserve Note,$20,1934A,$20 Federal Reserve Note Hawaii,REV
a42c9fcc-fb3e-4d31-b0c2-089594b46a16,Legal Tender Note,$2,1953A,$2 legal tender note,REV
a4619e29-fd5c-4e2e-812b-b26d57288f21,Federal Reserve Note,$5,1914,$5 Federal Rserve Note,REV
a4970d83-0f18-47c4-b568-3343766109c6,National Bank Note,$5,1929,$5 National Bank Note t1,OBV+REV
a71f5749-c9ea-4fa3-8b82-59238b7e9c19,Fractional Currency,50,1862-76,50C Fractional currency,REV
a89c4662-dcbb-4b53-a4b3-171ff779e1a0,Federal Reserve Note,$50,1934,$50 Federal Reserve Note,REV
ab4c04f3-692c-4d86-8cf7-474b327aa7e7,Federal Reserve Bank Note,$1,1918,$1 Federal Reserve Bank Note Large Size,REV
ab9458d8-6487-4970-a8ce-38646717444a,Silver Certificate,$5,1934,$5 Silver Certificate,REV
abce5a9c-25b1-4bbc-961f-50b0d1397521,Federal Reserve Note,$5,1999,$5 federal reserve star note,OBV+REV
ad94e93f-1c47-4554-8003-eed0e4c9aef1,Federal Reserve Note,$5,1914,$5 Federal Reserve Red Seal Note Large size,REV
ae619cb4-d90b-4bbd-9e63-56d90f24e5d7,Unknown,$1,1860,$1 Bank of America State of Rhode Island W_RI-820-001-00108,OBV+REV
b0407c13-17fe-4400-997f-8a8fa9abeeaf,Fractional Currency,10,1869-75,10C Fractional Currency,OBV+REV
b0a04f63-8daf-4bbe-9d63-8dfd4caf48a6,Legal Tender Note,$2,1953C,$2 Legal Tender Star Note,REV
b0efe82b-310a-4286-b5ef-73084dd0bcbf,Unknown,$10,1865,$10 State of Georgia Note From Milledgeville,OBV+REV
b4492142-593e-4f87-960a-536db5224c48,Federal Reserve Note,$2,2003,$2 Federal reserve star note,OBV+REV
b4ab6acc-0e3d-4fbe-9fa1-7a657b05686b,Federal Reserve Note,$2,1995,$2 Federal Reserve Note with courtsey signed Mary Ellen Withrow Autograph (FR1936F),OBV+REV
b5694584-c8d3-48ed-bfe9-832846358029,Silver Certificate,$5,1953A,$5 silver certificate,REV
b65865b8-2295-4f23-9c4b-47a30d7bbc22,Silver Certificate,$5,1899,$5 Silver Certificate Indian Large size,OBV+REV
b7306c36-314e-451c-8b5c-8cc951f88f18,Silver Certificate,,1923,$! Silver certificate large size PCGS PPQ64 2 consecutive serial #s (FR238),REV
ba8b6759-f931-46d6-acc8-f979d167b0e4,Federal Reserve Bank Note,$1,1918,$1 Federal Reserve Bank Note Large size PMG EPQ 65,REV
bb777fe7-7a21-49dd-aea3-77cbf34ef035,Confederate,,1864,50 Conferate Note,REV
bca4f87f-3bec-45b6-b03c-c0dcd3149366,Silver Certificate,$1,1891,$1 Silver Certificate Large Size Martha Washington,OBV+REV
bd1d545f-52d3-4a19-95ad-af1412a41c98,Legal Tender Note,$100,1966,$100 Legal Tender Note,OBV+REV
bdc7e4c8-e220-4714-917e-e65844c9a0e9,Federal Reserve Note,$500,1934,$500 Federal Reserve Note,REV
be0b5e30-8f6c-4b48-b30e-0f526a5c01af,Silver Certificate,$1,1923,$1 Silver Certificate Large Size PCGS,REV
be40d2ef-1061-4611-8d6a-2c84fd29a439,Fractional Currency,10,1864-1869,10C Fractional Currency,OBV+REV
be97b17d-e346-4213-b123-71f7a59fb3d6,Federal Reserve Note,$2,2003A,$2 Federal Reserve Note,OBV+REV
bf35ce79-068d-4d96-8b49-70efed55acdc,Unknown,,1850's,#3 West River Bank Vermont Note Jamaica,OBV+REV
bf62e319-76b2-4897-af3f-a375682145c4,Silver Certificate,$1,1899,$1 Silver Certificate Eagle large size Star Note,OBV+REV
c0f11f40-29a8-4503-908a-5ba0d269e2c0,Unknown,$1,1830's,$1 Bamk of Windsor Vermont PMG,REV
c0f6ca0c-b618-4703-96f2-45735307b2d9,Silver Certificate,$10,1934D,$10 Silver Certificate,REV
c12fbd3d-ced1-4ae6-864d-298fa940a09a,Legal Tender Note,$5,1907,$5 legal tender note Large size PCGS choice about new PPQ58,REV
c1be944b-d999-41eb-a178-e8749c0418b2,Federal Reserve Note,$5,1914,$5 Federal Reserve Note - Large Size,REV
c1c65d19-ea92-4829-9baf-9962bba1c97f,National Bank Note,$5,1902,$5 National Bank Note Dennison Ohio charter #6843,OBV+REV
c21c58d7-7bfb-4ec8-926d-ca8b0a063be9,Fractional Currency,5,1862-63,5C Fractional Currency,REV
c549ddae-778b-4eec-8b33-2010fc13355f,Federal Reserve Note,$2,2003A,$2 federal reserve note,OBV+REV
c5da0c2c-3160-4086-b40e-ce4a044dfaeb,Fractional Currency,2,1864-69,2C Fractional Currency,OBV+REV
c79fcdc8-c79d-4d23-acd3-0b77870992a3,Legal Tender Note,$2,1953C,$2 Legal Tender Note,REV
c7bb2f5b-3afb-483d-b5d9-a12b8f31ceb2,Silver Certificate,$2,1899,$2 Silver Certificate Large Size,OBV+REV
c7fe1c85-7ab5-465e-a957-b6b8b807e4ce,Silver Certificate,$2,1899,$2 Silver Certificate Large Size,OBV+REV
c8222810-d0aa-4e23-9ed7-fe3b246bf00f,Federal Reserve Note,$10,1934A,$10 Federal Reserve Note Hawaii,REV
cbec4d30-83f0-4961-bae4-ab8c69a3fca5,Legal Tender Note,$5,1953A,$5 Legal tender Note,OBV+REV
cfbe5c4b-ad5e-41e9-8fdc-374bb4d6dece,Legal Tender Note,$5,1953,$5 Legal Tender Star Note,OBV+REV
d042604e-65e9-4bc6-bddf-67b13aeb8c49,Treasury Note,,1891,$! Treasury Note Large size,REV
d235728c-9326-49f2-970e-0fab6dcc655f,Legal Tender Note,$1,1917,$1 Legal Tender Note Large Size,REV
d3aabb05-5708-4ea5-b2d3-d6307d49c01b,Federal Reserve Note,$2,2003A,$2 Federal Reserve Note,OBV+REV
d3f76b10-1455-42dc-bb89-c0e3b4696ece,National Bank Note,$5,1902,$5 National Bank Note large size Lewiston ME charter #330,OBV+REV
d45fa07f-4370-43f8-aa43-e2569f84b570,Federal Reserve Note,$5,1914,$5 Federal Reserve Note - Large Size,REV
d7833c80-d073-4949-94bc-c4d535d86107,Silver Certificate,$1,1923,$1 Silver Cerificate Large Size,REV
d7d0414f-de22-4893-94cb-937a2bc3ebb4,Fractional Currency,15,1869-1875,15C Fractional Currency,REV
d9d75c78-21dc-4776-a872-44f8ac66dd34,National Bank Note,,1929,5 National Bank Note Oakland Maryland #13776  V fine/EF,OBV+REV
d9d96ac1-417b-4088-96ea-7aa1f39aea10,Unknown,,1963,#2 Leal Tender Star Note,OBV+REV
da327acc-9708-4332-98c1-0fb0d82b9379,Silver Certificate,$5,1934D,$5 Silver Certificate,REV
da735250-20a9-4f50-a215-6bf6728a727d,Gold Certificate,$20,1922,$20 Gold Certificate Large Size,REV
dba43bd9-514a-4ef1-be59-71a35b6ed2a0,Federal Reserve Note,$5,1914,$5 Federal Reserve Note Large Size,REV
dc122fde-efab-454f-8c5d-423228facd9b,Fractional Currency,,1864-69,% cents fractional currency PCGS,REV
dc94176a-8faf-4149-9b47-65173ec4fbb1,Legal Tender Note,$1,1917,$1 Legal Tender Note Large sixe PCGS,REV
df2e6ec8-ca64-4930-afaa-76c7a55e38a4,Unknown,$500,,$500 3rd Bank of the United States Philadelphia PA Haxby 3 PCGS,REV
dfea2ebd-8b66-43c8-a21a-02cc02b6aa64,Unknown,$5,1953C,$5Legal Tender Note,OBV+REV
e1e2921b-55fe-480f-9206-d1d7190bc0c4,Federal Reserve Bank Note,$1,1918,$1 Federal Reserve Bank Note large size PCGS PPQ35,REV
e201deae-06b0-46a5-9206-bf024f2dd25a,Silver Certificate,$5,1899,$5 silver certificate Large size Indian,OBV+REV
e24971c5-2d60-465f-a7b2-5fb824b56e2d,Federal Reserve Note,$100,1914,$100 Federal Reserve note large size,REV
e4abb3d1-6835-4134-9d96-8fefb14281a5,Fractional Currency,25,1874-1876,25C Fractional Currency,REV
e5ca8883-d3d0-43b0-af70-d22289357b20,Fractional Currency,25,1874-1876,25C Fractional Currency,REV
e71e9192-1ba6-4f18-a614-3b31b268b5eb,Federal Reserve Note,$2,2013,$2 federal reserve note,OBV+REV
e94f7f6a-d924-4930-aeee-0093045ad0ea,Federal Reserve Note,$5,2003,$5 Federal Reserve Star Note,OBV+REV
eb22cb95-582b-4a94-b78e-6d81ae7cb4a8,Unknown,$1,1999,$1 Federl Reserve Note 4 Subject Sheet with Withrow Courtsey Autograph,OBV+REV
ec3916df-8c41-4f7f-9bb2-a0a4f19cb91a,Silver Certificate,$1,1928,$1 Silver Certificate Funnyback,REV
ed88d202-b144-475a-83ac-7ae8e405b0d6,National Bank Note,$20,1929,$20 National Bank Note T2,OBV+REV
ee958b47-da4f-46ef-aad9-280e44a23502,Silver Certificate,$1,1923,$1 silver certificate Large size PCGS PPQ64 cpnsecutive serial numbers,REV
eeece5b0-292f-4371-a169-65d58683d83b,Silver Certificate,$5,1953,$5 Silver Certificate,REV
f0ab304f-4f6a-45b2-b7fe-37e2283fb22a,Silver Certificate,$1,1923,$1 Silver Certificate Large Size,REV
f0e5fbe8-329a-4942-a665-cecd159d991e,Fractional Currency,10,1874-76,10C Fractional Currency,REV
f30166f8-3f2c-4177-9050-79262b0d8f13,Federal Reserve Note,$10,1934C,$10 Federal Reserve Note,OBV+REV
f35ef8cf-44bb-47ef-809d-48137dacde05,Silver Certificate,$1,1923,$1 Silver Certificate Large Size PCGS PPQ64,REV
f3f5514e-c53e-4a42-988d-8fd4c76ef45c,Fractional Currency,25,1862-63,25C Fractional Currency,REV
f4aa820a-2f49-484e-987b-98fbc2a83188,Unknown,,1850-60's,7 note set West Riverbank Jamaica VT,OBV+REV
f637e7d8-ef8b-4acf-87cc-26ecaed3b456,Silver Certificate,$5,1934A,$5 Silver Certificate Yellow Seal PCGS PPQ,REV
f6b100d2-d353-488a-9fbb-486177e300cf,Federal Reserve Note,$2,1995,$2 Federal Reserve Note,OBV+REV
f708fe82-714c-4d24-b629-488ecef09db5,Legal Tender Note,$5,1953 B,$5 Legal Tender Star Note,OBV+REV
f76398a8-328f-4ac8-b243-a11145e0d5c0,Legal Tender Note,$5,1928E,$5 Legal Tender Note,OBV+REV
f7d7f452-e40b-4ed2-a45c-1a2e75d7af09,Federal Reserve Note,$2,2013,$2 Federal Reserve Note,OBV+REV
f8738f58-afc1-4c59-98b2-d837b41a3941,Fractional Currency,15,1869-1875,15C Fractional Currency,REV
f8a40b38-36c4-44fb-852c-d7a31b7a10fe,Fractional Currency,50,1864-69,50C Fractional Currency,REV
f9950251-a300-49b0-8ce0-9e8a7c34023e,Federal Reserve Note,$2,1995,$2 federal reserve star note,OBV+REV
