coin_id,year,mint_mark,program_series,program_slug,theme_subject,denomination,condition,personal_obverse_url,personal_reverse_url,has_personal_obverse,has_personal_reverse,has_ref_obverse_in_index,has_ref_reverse_in_index,obverse_status,reverse_status
b77f1c4f-b9ac-4445-a6a3-bcfdc62fb0d4,1995,,American Gold Eagle,unknown,,$5,NGC MS70,,,NO,NO,NO,NO,MISSING,MISSING
b7cc66c9-d3d5-432c-8c19-00f6fe385dc2,1992,,American Silver Eagle,american-eagle-silver,,$1,NGC MS 70,,,NO,NO,NO,NO,MISSING,MISSING
bdb485a3-0d8a-4367-a448-b2eeb45ceb7b,,,Morgan Silver Dollar,morgan-dollar,,$1,Choice AU,,,NO,NO,NO,NO,MISSING,MISSING
be7982fd-2932-4739-a1da-a04b8b967abe,,,Morgan Silver Dollar,morgan-dollar,,$1,Choice BU,,,NO,NO,NO,NO,MISSING,MISSING
biYewmiKW3zjESQWOVzR,2011,W,2011-(W) $1 Silver Eagle Struck at West Point,dollar,,$1,MS69,,,NO,NO,NO,YES,MISSING,ref_index
ce275231-c2ed-48f9-881b-d7be7aa93a87,,,Morgan Silver Dollar,morgan-dollar,,$1,Choice BU,,,NO,NO,NO,NO,MISSING,MISSING
ce6ae436-5d55-47c9-96c0-c711a53cecfd,,,Morgan Silver Dollar,morgan-dollar,,$1,Uncirculated,,,NO,NO,NO,NO,MISSING,MISSING
d3fa0dd8-69e4-40bd-86ed-26b427ce8ef4,,,Morgan Silver Dollar Set,morgan-dollar,,$1,Gem BU,,,NO,NO,NO,NO,MISSING,MISSING
d47bf35c-befb-4276-9e29-c7baab1ba845,2006,P,Westward Journey,unknown,Return to Monticello,Nickel,Uncirculated,,,NO,NO,NO,NO,MISSING,MISSING
d55107c1-3267-4b2f-b77d-59d185ccc828,,,Morgan Silver Dollar,morgan-dollar,,$1,PCGS MS66+SQ,,,NO,NO,NO,NO,MISSING,MISSING
e2c661ec-2404-42f3-8f52-765641164610,1890,CC,Morgan Silver Dollar,morgan-dollar,,$1,in display,,,NO,NO,NO,NO,MISSING,MISSING
e37925c9-4b07-4ee3-8dfc-bdfc8101a704,1964,,Jefferson Nickel,jefferson-nickel,Thomas Jefferson / Monticello,Nickel,Average Circulated,,,NO,NO,NO,NO,MISSING,MISSING
f5106ef9-ce3b-452a-900b-33e8af27c6f0,,,Morgan Silver Dollar,morgan-dollar,,$1,Uncirculated W/Original Gov't Box & COA,,,NO,NO,NO,NO,MISSING,MISSING
f8ad5811-2635-4e1c-b2eb-021a46c218e7,2006,,American Gold Eagle,unknown,,$5,Gem BU,,,NO,NO,NO,NO,MISSING,MISSING
ff7c13a5-cec1-4bdc-8dfc-68ff060d73d5,Multiple,,Morgan Silver Dollar Set,morgan-dollar,,Multiple,,,,NO,NO,NO,NO,MISSING,MISSING
wTQBu4OqjcqGR3K8ZSeP,1921,,Morgan Silver Dollar,morgan-dollar,,$1,Ungraded,,,NO,NO,NO,NO,MISSING,MISSING
778f7a31-9f82-4312-9ef1-506909af40f6,1893,CC,Morgan Dollar,morgan-dollar,,$1,in display,,,NO,NO,YES,YES,ref_index,ref_index
hWFT9nbScE9A7g0iPU2s,2025,W,American Silver Eagle,american-eagle-silver,U.S. Army 250th Anniversary,$1,PR70DCAM,https://firebasestorage.googleapis.com/v0/b/studio-9101802118-8c9a8.firebasestorage.app/o/users%2Feric.seaman%40yahoo.com%2Fcoins%2FhWFT9nbScE9A7g0iPU2s%2Fobverse.jpg?alt=media&token=31cb3e41-389b-45fa-ac79-ff213ce16c24,,YES,NO,YES,YES,personal,ref_index
