doc_key,year,mint,program,subject,side,public_url,attribution,source_tier,source_label
1795_coins__nnc__reverse,1795,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1795-G_245-Turban_Head__28small_eagle_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1795_dollar_obverse,1795,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Draped_Bust_dollar/NNC-US-1795-_241-Draped_bust__28small_eagle_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1795_flowing-hair_obverse,1795,,flowing-hair,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Flowing_Hair_dollar/NNC-US-1795-_241-Flowing_hair_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1796_coins__nnc__obverse,1796,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1796-G_242_C2_BD-Turban_Head__28stars_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1796_coins__nnc__reverse,1796,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1796-G_242_C2_BD-Turban_Head__28no_stars_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1796_quarter_obverse,1796,,quarter,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/generic_quarters/1796-draped-bust-quarter-obverse.jpg,,2,Numista Reference Library
1797_aj_collection_obverse,1797,,aj_collection,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/aj_collection/NNC-US-1797-G$10-Turban_Head_heraldic_eagle.jpg,,2,Numista Reference Library
1797_coins__nnc__obverse,1797,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1797-G_245-Turban_Head__28heraldic_eagle_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1798_dollar_obverse,1798,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Draped_Bust_dollar/NNC-US-1798-_241-Draped_bust__28heraldic_eagle_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1800_coins__nnc__obverse,1800,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1800-5C-Draped_Bust__28heraldic_eagle_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1800_coins__nnc__reverse,1800,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1800-10C-Draped_Bust__28heraldic_eagle_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1803_cent_obverse,1803,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1803-1C-Draped_Bust_Cent_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1804_dollar_obverse,1804,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/us_mint_manual/highres_scrape/1804-Dollar-Silver-Medal-Obverse.jpg,,2,Numista Reference Library
1804_dollar_reverse,1804,,dollar,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/us_mint_manual/highres_scrape/1804-Dollar-Silver-Medal-Reverse.jpg,,2,Numista Reference Library
1806_cent_obverse,1806,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1806-_C2_BDC-Draped_Bust_Half_Cent_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1807_coins__nnc__obverse,1807,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1807-G_245-Capped_Bust_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1808_american-eagle-gold_obverse,1808,,american-eagle-gold,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/gold_eagles/gold-eagle-obverse-1808.jpg,,2,Numista Reference Library
1808_american-eagle-gold_reverse,1808,,american-eagle-gold,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/gold_eagles/gold-eagle-reverse-1808.jpg,,2,Numista Reference Library
1808_coins__nnc__obverse,1808,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1808-G_242_C2_BD-Capped_Bust__28left_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1808_coins__nnc__reverse,1808,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1808-G_242_C2_BD-Capped_Bust__28left_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1813_cent_obverse,1813,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1813-1C-Classic_Head_Cent_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1813_coins__nnc__obverse,1813,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1813-G_245-Capped_Head__28bold_relief_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1814_dime_obverse,1814,,dime,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/United_States_dimes/Usa-10-cents-1814.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1817_cent_obverse,1817,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1817-1C-Coronet_Cent_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1820_coins__nnc__obverse,1820,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1820-10C-Capped_Bust_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1821_coins__nnc__obverse,1821,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1821-G_242_C2_BD-Capped_Head_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1822_coins__nnc__obverse,1822,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1822-G_245-Capped_Head__28large_diameter_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1828_cent_obverse,1828,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1828-_C2_BDC-Classic_Head_Half_Cent__28proof_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1829_coins__nnc__obverse,1829,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1829-5C-Capped_Bust_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1831_aj_collection_reverse,1831,,aj_collection,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/aj_collection/1831-5C_clashed_reverse_die_Capped_Bust_.jpg,,2,Numista Reference Library
1831_coins__nnc__obverse,1831,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/1831-5C__28clashed_rev_die_29__28obv_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1831_coins__nnc__reverse,1831,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/1831-5C__28clashed_reverse_die_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1831_quarter_reverse,1831,,quarter,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/historic_quarters/1831-5C_clashed_reverse_die_Capped_Bust.jpg,,2,Numista Reference Library
1834_coins__nnc__obverse,1834,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1834-G_245-Classic_Head_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1834_coins__nnc__reverse,1834,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1834-G_242_C2_BD-Capped_Head__28reduced_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1835_coins__nnc__obverse,1835,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1835-G_242_C2_BD-Classic_Head_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1836_dollar_obverse,1836,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/United_States_dollar_coin_patterns/Gobrecht_dollar/NNC-US-1836-1_24-Gobrecht_dollar_obverse__28plain_edge__26_name_29__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1836_dollar_reverse,1836,,dollar,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/United_States_dollar_coin_patterns/Gobrecht_dollar/NNC-US-1836-1_24-Gobrecht_dollar_reverse__28plain_edge__26_name_29__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1837_coins__nnc__obverse,1837,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1837-5C-Seated_Liberty__28no_stars_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1837_coins__nnc__reverse,1837,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1837-5C-Seated_Liberty__28no_stars_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1838_O_coins__nnc__obverse,1838,O,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1838-O-10C-Seated_Liberty__28no_stars_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1838_O_coins__nnc__reverse,1838,O,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1838-O-10C-Seated_Liberty__28no_stars_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1838_quarter_obverse,1838,,quarter,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/generic_quarters/1838-seated-liberty-quarter-obverse.jpg,,2,Numista Reference Library
1839_O_coins__nnc__obverse,1839,O,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1839-O-5C-Seated_Liberty__28no_drapery_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1839_aj_collection_obverse,1839,,aj_collection,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/aj_collection/NNC-US-1839-G$10-Liberty_Head_old_style.jpg,,2,Numista Reference Library
1839_cent_obverse,1839,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1839-1C-Matron_Head_Cent__28obverse_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1839_coins__nnc__obverse,1839,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1839-G_2410-Liberty_Head__28old_style_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1839_dollar_obverse,1839,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/United_States_dollar_coin_patterns/Gobrecht_dollar/NNC-US-1839-1_24-Gobrecht_dollar__28stars_on_edge__26_name_omitted_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1839_dollar_reverse,1839,,dollar,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/United_States_dollar_coin_patterns/Gobrecht_dollar/NNC-US-1839-1_24-Gobrecht_dollar__28stars_on_edge__26_name_omitted_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1839_kennedy-half-dollar_obverse,1839,,kennedy-half-dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Half_dollar__United_States_/Usa-1-2-dollar-1839.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1840_coins__nnc__obverse,1840,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1840-G_245-Liberty_Head__28no_motto_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1840_coins__nnc__reverse,1840,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1840-10C-Seated_Liberty__28stars_2C_no_drapery_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1841_dollar_obverse,1841,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/United_States_quarters/Seated_Liberty_quarter/Usa-1-4-dollar-1841.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1844_cent_obverse,1844,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1844-_C2_BDC-Braided_Hair_Half_Cent__28proof_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1847_dollar_obverse,1847,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Usa-1-dollar-1847.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1848_coins__nnc__obverse,1848,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1848-G_242_C2_BD-Liberty_Head__28CAL_29__28obverse_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1848_coins__nnc__reverse,1848,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1848-G_242_C2_BD-Liberty_Head__28CAL_29__28reverse_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1849_coins__nnc__obverse,1849,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1849-G_2420-Liberty_Head__28Twenty_D._29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1849_coins__nnc__reverse,1849,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1849-G_2420-Liberty_Head__28Twenty_D._29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1849_dollar_obverse,1849,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Gold_dollar__United_States_/NNC-US-1849-G_241-Liberty_head__28Ty1_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1851_cent_obverse,1851,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1851-3C-Three-Cent_2C_Silver__28TyI_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1852_dime_obverse,1852,,dime,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/United_States_dimes/Usa-1-dime-1852.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1853_coins__nnc__obverse,1853,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1853-10C-Seated_Liberty__28stars__26_arrows_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1853_coins__nnc__reverse,1853,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1853-10C-Seated_Liberty__28stars__26_arrows_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1854_D_dollar_obverse,1854,D,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Gold_dollar__United_States_/1854-D_G_241__28Variety_6-H_29__28obv_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1854_D_dollar_reverse,1854,D,dollar,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Gold_dollar__United_States_/1854-D_G_241__28Variety_6-H_29__28rev_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1854_cent_obverse,1854,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1854-3C-Three-Cent_2C_Silver__28TyII_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1854_coins__nnc__obverse,1854,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1854-G_243-Indian_Princess_Head_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1854_coins__nnc__reverse,1854,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1854-G_243-Indian_Princess_Head_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1854_dollar_obverse,1854,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Gold_dollar__United_States_/NNC-US-1854-G_241-Indian_head__28Ty2_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1855_coins__nnc__obverse,1855,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1855-5C-Seated_Liberty__28arrows_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1855_coins__nnc__reverse,1855,,coins__nnc_,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1855-5C-Seated_Liberty__28arrows_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1856_coins__nnc__obverse,1856,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1856-10C-Seated_Liberty__28stars_resumed_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1856_dollar_obverse,1856,,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Gold_dollar__United_States_/NNC-US-1856-G_241-Indian_head__28Ty3_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1857_cent_obverse,1857,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/United_States_cents/Obverses_of_United_States_cents/1857.Eagle.Cent.obverse.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1857_cent_reverse,1857,,cent,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/United_States_cents/Flying_Eagle_cent/1857.Eagle.Cent.reverse.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1858_cent_obverse,1858,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/United_States_cents/Flying_Eagle_cent/NNC-US-1858-1C-Flying_Eagle_Cent__28TFA_29_RIGHT.png,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1858_coins__nnc__obverse,1858,,coins__nnc_,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1858-5C-Seated_Liberty__28stars_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1859_O_dollar_obverse,1859,O,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Seated_Liberty_dollar/1859-O__241_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1859_O_kennedy-half-dollar_obverse,1859,O,kennedy-half-dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Half_dollar__United_States_/Seated_Liberty_half_dollar/1859-O_half_dollar_obverse.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1859_O_kennedy-half-dollar_reverse,1859,O,kennedy-half-dollar,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Half_dollar__United_States_/Seated_Liberty_half_dollar/1859-O_half_dollar_reverse.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1859_O_quarter_obverse,1859,O,quarter,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/bulk_programs/historic_quarters/1859-O_$1_Seated_Liberty_.jpg,,2,Numista Reference Library
1859_cent_obverse,1859,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1859-3C-Three-Cent_2C_Silver__28TyIII_29_RIGHT.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1860_O_dollar_obverse,1860,O,dollar,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Seated_Liberty_dollar/1860-O_Seated_Liberty_dollar_obverse.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1860_O_dollar_reverse,1860,O,dollar,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Dollar_coins_of_the_United_States/Seated_Liberty_dollar/1860-O_Seated_Liberty_dollar_reverse.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1860_cent_obverse,1860,,cent,,obverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1860-1C-Indian_Head_Cent__28wreath__26_shield_29_obverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
1860_cent_reverse,1860,,cent,,reverse,https://storage.googleapis.com/numista-reference-library/reference_library/wikimedia_uscoin/Coins__NNC_/NNC-US-1860-1C-Indian_Head_Cent__28wreath__26_shield_29_reverse__28cropped_29.jpg,Wikimedia Commons / Public Domain,3,Wikimedia Commons
